 ,Area,Mean,Mode,Min,Max,Median,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
14,61567,20498,0,85,225,0,Asteraceae,1423.658,452.548,191.113,2.368,46.432,66013.500,1056.845,279.981,453.164,95.556,226.274,150.542,2320.871,67927.292,0.422,3.125,32.920,0.383,0.619,0.933,0.742,4446.500,86487.715,0.712,0.422,2.620,4.946,0.618,0.382,60143.342,33.086,5.520,23.683,560.131,5247554,0.996,0.026,4.684E-4,78.867,0.975,0.644,0.962,254.977,15.968,0.797,0.384,0.620,9.080,0.339,0.583,8.022,85.233,0.040,1.351,254.641,8.490,254.977,0.752
15,54694,18172,0,85,225,0,Asteraceae,1147.225,349.677,216.249,1.617,58.846,64645.000,943.573,263.891,365.173,108.125,174.838,136.889,903.870,59389.790,0.618,4.553,24.063,0.570,0.755,0.846,0.822,9951.000,75617.430,0.723,0.618,1.915,0.782,0.723,0.522,53546.775,91.431,2.655,44.602,2000.903,4652266,0.999,0.009,1.084E-4,76.899,0.977,0.640,0.965,254.975,15.968,1.169,0.104,0.323,4.604,0.100,0.317,4.444,85.060,0.025,1.638,254.879,5.353,254.977,1.069
16,45959,15278,0,85,240,0,Asteraceae,1042.899,304.322,242.720,1.254,58.635,56058.500,835.612,241.902,331.965,121.360,152.161,122.541,180.343,58013.541,0.798,9.125,23.665,0.632,0.795,0.820,0.801,10099.500,73865.134,0.622,0.798,1.883,0.929,0.729,0.531,44916.101,24.861,3.700,36.091,1309.879,3911258,0.998,0.013,2.105E-4,77.889,0.977,0.645,0.966,254.983,15.968,0.823,0.171,0.413,6.109,0.156,0.395,5.589,85.103,0.024,1.132,254.830,6.100,254.984,0.744
17,27138,9032,0,85,252,0,Asteraceae,815.301,297.617,120.204,2.476,30.335,28363.000,688.169,185.885,259.518,60.102,148.809,96.110,848.784,28097.389,0.404,3.299,24.494,0.390,0.625,0.957,0.844,1225.000,35774.707,0.759,0.404,1.949,0.223,0.716,0.513,26322.699,33.529,5.080,25.164,638.082,2312257,0.997,0.025,3.967E-4,75.708,0.977,0.645,0.967,254.939,15.967,1.713,0.343,0.585,8.522,0.330,0.574,8.209,85.204,0.156,5.033,254.626,9.320,254.945,1.522
18,25783,8562,0,85,228,0,Asteraceae,828.347,264.849,145.295,1.823,51.128,42541.000,643.248,181.185,263.671,72.648,132.425,93.984,295.783,30223.098,0.549,5.465,26.613,0.468,0.684,0.606,0.777,16758.000,38481.244,0.670,0.549,2.118,0.045,0.687,0.472,24954.653,12.068,1.610,81.159,6631.978,2192070,1.000,0.002,3.984E-5,70.318,0.979,0.641,0.967,254.996,15.969,0.418,0.033,0.182,2.658,0.031,0.176,2.493,85.020,0.004,0.332,254.965,2.819,254.996,0.418
19,22207,7403,0,85,225,0,Asteraceae,855.502,243.772,140.738,1.732,39.590,30319.500,605.126,168.151,272.315,70.369,121.886,88.068,287.215,26945.473,0.577,5.197,32.957,0.476,0.690,0.732,0.707,8112.500,34308.041,0.647,0.577,2.623,2.337,0.617,0.381,21351.498,3.308,6.395,18.387,339.345,1895370,0.994,0.045,6.286E-4,60.067,0.982,0.646,0.968,254.842,15.964,3.029,0.612,0.782,11.134,0.597,0.773,10.869,85.350,0.233,5.622,254.287,12.968,254.861,2.634
20,23691,7891,0,85,218,0,Asteraceae,1036.597,251.873,145.000,1.737,51.002,40357.000,627.371,173.679,329.959,72.500,125.936,91.061,290.414,28683.984,0.576,5.343,45.356,0.475,0.690,0.587,0.605,16666.000,36521.583,0.649,0.576,3.609,0.006,0.526,0.277,22654.403,9.147,5.519,20.430,419.393,2020181,0.995,0.036,4.682E-4,69.980,0.979,0.642,0.968,254.829,15.963,3.529,0.491,0.701,9.936,0.496,0.704,10.029,85.272,0.324,6.807,254.435,11.425,254.875,2.576
21,62458,20801,0,85,235,0,Asteraceae,1293.433,461.169,173.636,2.656,48.218,69858.000,1064.061,282.000,411.712,86.818,230.585,155.434,2435.139,62891.316,0.377,3.150,26.785,0.374,0.611,0.894,0.823,7400.000,80075.710,0.780,0.377,2.132,0.070,0.685,0.469,61164.567,75.466,5.833,22.629,512.303,5325073,0.996,0.030,5.230E-4,111.869,0.974,0.518,0.941,254.966,15.968,1.053,0.426,0.653,9.609,0.384,0.619,8.640,85.259,0.057,2.119,254.587,9.320,254.967,1.024
22,63650,21212,0,85,251,0,Asteraceae,1579.346,477.202,179.711,2.655,48.322,72443.000,1102.057,284.678,502.722,89.855,238.601,151.464,2726.942,67354.427,0.377,2.900,39.188,0.356,0.597,0.879,0.698,8793.000,85758.320,0.742,0.377,3.119,0.004,0.566,0.321,62070.654,117.548,6.524,20.832,436.955,5430376,0.995,0.037,6.542E-4,126.472,0.975,0.454,0.934,254.929,15.967,1.759,0.519,0.720,10.667,0.501,0.708,10.292,85.316,0.132,3.960,254.447,11.358,254.937,1.525
23,44616,15039,0,85,247,0,Asteraceae,2156.515,376.524,243.900,1.544,57.125,67572.500,966.292,238.342,686.440,121.950,188.262,127.134,892.024,72126.278,0.648,4.257,104.235,0.401,0.633,0.660,0.448,22956.500,91834.030,0.486,0.648,8.295,0.059,0.347,0.121,42459.485,47.286,12.855,9.939,97.950,3850161,0.980,0.140,0.003,116.484,0.978,0.454,0.939,254.700,15.959,3.760,2.176,1.475,21.517,2.011,1.418,19.868,86.296,0.423,6.314,252.731,22.474,254.714,3.545
