@relation FeaturesBW

@attribute Area numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}
@attribute Perimeter numeric
@attribute *Feret numeric
@attribute *Breadth numeric
@attribute *AspRatio numeric
@attribute *RFactor numeric
@attribute *ConvexArea numeric
@attribute *ConvexPerimeter numeric
@attribute *ArEquivD numeric
@attribute *PerEquivD numeric
@attribute *MinR numeric
@attribute *MaxR numeric
@attribute *avgR numeric
@attribute *VarianceR numeric
@attribute *EquivEllAr numeric
@attribute *ModRatio numeric
@attribute *HaralickRatio numeric
@attribute *ThinnessR numeric
@attribute *Roundness numeric
@attribute *Compactness numeric
@attribute *Solidity numeric
@attribute *Convexity numeric
@attribute *Concavity numeric
@attribute *ArBBox numeric
@attribute *Rectang numeric
@attribute *Sphericity numeric
@attribute *Elongation numeric
@attribute '*Bending Energy' numeric
@attribute *Jaggedness numeric
@attribute *Circularity numeric
@attribute *Endocarp numeric
@attribute 'Distance CM-FB' numeric

@data
2940,'Amorpha fruticosa',290.919,117456,40.362,2.91,11495,4241.5,260.679,61183,92602,20.181,58728,35382,161234,3723369,344,2786,28787,271,521,693,0.896,1301.5,4740.74,0.62,344,2291,10967,0.661,0.437,2649.081,9435
2333,'Amorpha fruticosa',268.333,102.45,37421,2738,9459,3044.5,236.77,54.502,85413,18.71,51225,31301,160166,3011005,365,2.473,30.863,0.283,532,0.766,882,711.5,3833.73,609,365,2456,5083,638,0.407,2064667,16127
1781,'Amorpha fruticosa',217.279,90.25,32235,2.8,9828,2786.5,201851,47.62,69.162,16118,45125,25104,96.72,2284885,0.357,2553,26.508,278,528,639,929,1005.5,2909.206,612,0.357,2109,531,0.689,474,1563721,11429
1408,'Amorpha fruticosa',238894,99045,28338,3495,7475,2326,217114,42341,76042,14169,49523,28885,199.991,2204.378,0.286,2043,40533,183,0.427,605,909,918,2806.701,502,0.286,3.226,1.782,557,0.31,1169106,11842
2360,'Amorpha fruticosa',264534,105309,37215,2.83,10922,3613.5,238885,54816,84204,18608,52655,31.856,147939,3078052,353,2.619,29.652,271,521,653,903,1253.5,3919097,602,353,2.36,10.847,0.651,424,2095466,14064
2343,'Amorpha fruticosa',243078,100603,36429,2762,9464,2991,224625,54619,77374,18.214,50302,30.591,113851,2878.35,0.362,2867,25219,295,0.543,0.783,924,648,3664829,639,0.362,2.007,3168,706,498,2099922,6006
1593,'Amorpha fruticosa',214593,91285,28505,3202,8895,2551,199.186,45036,68307,14252,45643,26123,110177,2043.653,312,2489,28908,243,493,624,0.928,958,2602.059,612,312,2.3,1.602,659,435,1378.407,4769
1368,'Amorpha fruticosa',230.936,92.13,27.727,3323,7129,2063.5,203.664,41735,73509,13864,46065,30.883,128486,2006316,301,2725,38985,205,0.453,0.663,882,695.5,2554.52,536,301,3102,19347,568,322,1137.064,14305
1703,'Amorpha fruticosa',226.35,89.157,31.798,2804,11446,3206,200.469,46565,72.05,15.899,44.579,29229,86163,2226623,0.357,3.149,30085,273,522,531,0.886,1503,2835.024,601,0.357,2394,1014,0.646,418,1476.65,9914
1636,'Amorpha fruticosa',205238,84.172,30837,2.73,16392,4334.5,191588,45.64,65329,15419,42.086,26.47,101757,2038.61,366,2.624,25747,294,542,377,0.933,2698.5,2595639,0.63,366,2049,12534,0.699,488,1430.762,7987
