@relation FeaturesColour

@attribute MeanIntensityR numeric
@attribute StdDevR numeric
@attribute MeanSqrtR numeric
@attribute MeanIntensityG numeric
@attribute StdDevG numeric
@attribute MeanSqrtG numeric
@attribute MeanIntensityB numeric
@attribute StdDevB numeric
@attribute MeanSqrtB numeric
@attribute MeanIntensityH numeric
@attribute StdDevH numeric
@attribute MeanSqrtH numeric
@attribute MeanIntensityS numeric
@attribute StdDevS numeric
@attribute MeanSqrtS numeric
@attribute MeanIntensityV numeric
@attribute StdDevV numeric
@attribute MeanSqrtV numeric
@attribute label {'Amorpha fruticosa_All.jpg','Anagyris foetida_All.jpg','Anthyllis barba-jovis_All.jpg','Anthyllis cytisoides_All.jpg','Astragalus glycyphyllos_All.jpg','Calicotome villosa_All.jpg','Caragana arborescens_All.jpg','Ceratonia siliqua_All.jpg','Colutea arborescens_All.jpg','Cytisus purgans_All.jpg','Cytisus scoparius_All.jpg','Dorycnium pentaphyllum_All.jpg','Dorycnium rectum_All.jpg','Hedysarum coronarium_All.jpg','Lathyrus aphaca_All.jpg','Lathyrus ochrus_All.jpg','Medicago sativa_All.jpg','Melilotus officinalis_All.jpg','Pisum sativum subsp. elatius_All.jpg','Senna alexandrina_All.jpg','Spartium junceum_All.jpg','Trifolium angustifolium_All.jpg','Vicia faba_All.jpg'}

@data
104.561763,52.911006,10.225545,75.26653,48.201252,8.675629,49.695028,40.327019,7.04947,0.125343,0.156322,0.354038,0.612253,0.259404,0.782466,0.418084,0.201462,0.646594,'Amorpha fruticosa_All.jpg'
118.659839,48.759025,10.89311,95.190396,43.977126,9.756557,60.885829,37.161701,7.802937,0.135872,0.129455,0.368608,0.550488,0.231102,0.741949,0.474749,0.183936,0.689021,'Amorpha fruticosa_All.jpg'
106.420695,56.196937,10.316041,80.412387,48.800633,8.967295,56.445619,41.669878,7.51303,0.149942,0.17747,0.387223,0.571093,0.268888,0.755707,0.430742,0.209587,0.656309,'Amorpha fruticosa_All.jpg'
105.767454,46.987621,10.28433,85.334189,40.92206,9.237651,55.606776,36.266864,7.456995,0.143503,0.128131,0.378818,0.561637,0.239365,0.749424,0.428556,0.173098,0.654642,'Amorpha fruticosa_All.jpg'
128.535526,54.67109,11.337351,98.175573,50.296538,9.908359,62.254844,42.664429,7.890174,0.125991,0.123789,0.354953,0.58904,0.245319,0.767489,0.513067,0.204653,0.716287,'Amorpha fruticosa_All.jpg'
100.196464,55.755252,10.009818,72.660773,48.488884,8.524129,48.943026,38.799532,6.995929,0.154122,0.203234,0.392583,0.627922,0.253794,0.792415,0.404461,0.208239,0.635972,'Amorpha fruticosa_All.jpg'
108.29257,47.259304,10.406372,88.344427,44.685542,9.399172,57.736842,39.38818,7.598476,0.137831,0.11883,0.371257,0.555132,0.248603,0.745072,0.436259,0.177751,0.660499,'Amorpha fruticosa_All.jpg'
100.711219,56.708838,10.035498,78.801939,48.021647,8.877046,53.397507,39.886932,7.30736,0.146234,0.156062,0.382406,0.594514,0.251281,0.771047,0.409429,0.211148,0.639867,'Amorpha fruticosa_All.jpg'
113.856735,47.063952,10.670367,91.843516,43.800736,9.583502,58.142908,37.811092,7.62515,0.129549,0.103501,0.359929,0.560113,0.236042,0.748407,0.456531,0.178521,0.675671,'Amorpha fruticosa_All.jpg'
124.75629,45.741117,11.169436,92.412653,42.504556,9.61315,60.667146,38.819073,7.788912,0.108138,0.094948,0.328844,0.563802,0.238292,0.750867,0.495259,0.173855,0.703747,'Amorpha fruticosa_All.jpg'
