@relation FeaturesGray_RGB

@attribute Mean numeric
@attribute Min numeric
@attribute Max numeric
@attribute Mode numeric
@attribute StD numeric
@attribute Skewness numeric
@attribute Kurtosis numeric
@attribute IntensitySum numeric
@attribute Uniformity numeric
@attribute Entropy numeric
@attribute SmothnessR numeric
@attribute GLCM_Contrast numeric
@attribute GLCM_Correlation numeric
@attribute GLCM_Energy numeric
@attribute GLCM_Homogeneity numeric
@attribute MeanIntensityR numeric
@attribute StdDevR numeric
@attribute MeanSqrtR numeric
@attribute MeanIntensityG numeric
@attribute StdDevG numeric
@attribute MeanSqrtG numeric
@attribute MeanIntensityB numeric
@attribute StdDevB numeric
@attribute MeanSqrtB numeric
@attribute MeanIntensityH numeric
@attribute StdDevH numeric
@attribute MeanSqrtH numeric
@attribute MeanIntensityS numeric
@attribute StdDevS numeric
@attribute MeanSqrtS numeric
@attribute MeanIntensityV numeric
@attribute StdDevV numeric
@attribute MeanSqrtV numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}

@data
88.210648,1,214,111,3077,44.811,2006,171073,0.999,6,0.000146,294806,852,0.21,0.78,110.568981,49.771687,10.515179,83.301852,43.256269,9.126985,54.831944,36.984518,7.40486,0.139235,0.158725,0.373142,0.583802,0.240888,0.764069,0.444911,0.184869,0.667017,'Amorpha fruticosa'
55.58908,0,166,46,2194,48.734,2373,202237,0.999,5,0.000104,208764,887,94,721,71.998563,37.33407,8.485197,51.353927,33.45106,7.166165,34.399425,30.882134,5.865102,0.152612,0.188709,0.390656,0.648421,0.26544,0.805246,0.297267,0.137833,0.545222,'Amorpha fruticosa'
89.657218,2,208,104,2.601,53.404,2850,242814,0.999,5,0.000104,322812,0.916,68,693,112.805249,45.71211,10.620982,85.213648,40.089593,9.231124,51.711811,35.644522,7.191092,0.122765,0.10315,0.350378,0.600652,0.237615,0.775018,0.452193,0.171627,0.672453,'Amorpha fruticosa'
84.59067,5,216,105,0,54.194,2935,189210,1,-0,0,291825,0.881,0.08,0.704,104.869827,40.580135,10.240597,80.216704,38.110548,8.956378,53.828442,34.880442,7.336787,0.128451,0.120383,0.358401,0.554288,0.256449,0.744505,0.423084,0.152114,0.650449,'Amorpha fruticosa'
89.8264,2,208,93,0,54.194,2935,183260,1,-0,0,312282,894,81,718,108.091936,43.884358,10.396727,87.695942,39.612992,9.364611,52.803801,36.802192,7.266622,0.139502,0.10447,0.3735,0.583115,0.245518,0.76362,0.436595,0.163818,0.660754,'Amorpha fruticosa'
84.910467,0,212,93,3025,54.194,2935,250064,0.999,4,0.000141,425.646,924,0.104,0.694,102.265306,52.279224,10.112631,82.061883,45.625778,9.058801,54.056616,38.283021,7.35232,0.152098,0.156863,0.389997,0.574069,0.247633,0.757674,0.414333,0.196112,0.643687,'Amorpha fruticosa'
87.338679,0,229,56,2.422,48.27,2328,198422,0.999,5,0.000336,358.989,935,0.104,0.707,108.940988,56.204951,10.43748,82.575369,50.483115,9.087099,55.133419,42.104829,7.425188,0.151482,0.188768,0.389207,0.599198,0.257911,0.774079,0.438562,0.210076,0.66224,'Amorpha fruticosa'
81.1143,0,233,19,4.674,29796,885913,151664,998,0.014,0.000336,383151,0.93,0.103,0.712,104.561763,52.911006,10.225545,75.26653,48.201252,8.675629,49.695028,40.327019,7.04947,0.125343,0.156322,0.354038,0.612253,0.259404,0.782466,0.418084,0.201462,0.646594,'Amorpha fruticosa'
98.291807,0,211,137,3091,37.483,1403001,119796,0.999,8,0.000147,284212,882,84,706,118.659839,48.759025,10.89311,95.190396,43.977126,9.756557,60.885829,37.161701,7.802937,0.135872,0.129455,0.368608,0.550488,0.231102,0.741949,0.474749,0.183936,0.689021,'Amorpha fruticosa'
85.457704,0,223,92,0,48.374,2338,200600,1,-0,0,375.387,0.933,0.101,0.7,106.420695,56.196937,10.316041,80.412387,48.800633,8.967295,56.445619,41.669878,7.51303,0.149942,0.17747,0.387223,0.571093,0.268888,0.755707,0.430742,0.209587,0.656309,'Amorpha fruticosa'
