Area,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB
2118,Senna alexandrina,210451.0,61.4,49.0,1253.0,11968.0,2308.5,174488.0,51.93,66.98899999999999,24.5,30.7,26677.0,4635.0,2362.961,0.7979999999999999,12.390999999999998,20.911,715.0,846.0,917.0,0.8290000000000001,190.5,3008616.0,0.7040000000000001,0.7979999999999999,1.664,184.0,775.0,601.0,1907549.0,7.923999999999999
2072,Senna alexandrina,194.652,56727.0,48.0,1182.0,12432.0,2215.5,168.96200000000005,51363.0,61.96,24.0,28364.0,26112.0,2.52,2138573.0,846.0,16.45,18.286,0.82,905.0,935.0,868.0,143.5,2722.916,0.7609999999999999,846.0,1455.0,0.036000000000000004,0.8290000000000001,687.0,1877348.0,9956.0
1707,Senna alexandrina,178551.0,59034.0,39257.0,1504.0,10013.0,1857.0,159499.0,46.62,56835.0,19629.0,29517.0,23.757,15.982,1820165.0,665.0,5943.0,18676.0,624.0,0.79,919.0,893.0,150.0,2317507.0,737.0,665.0,1486.0,309.0,0.82,0.6729999999999999,1528.4489999999996,5.049
1533,Senna alexandrina,172.51,58.822,34.599000000000004,1.7,9162.0,1693.0,157614.0,44.18,54912.0,17.3,29.411,23.931,27.442,1598431.0,588.0,4.5680000000000005,19413.0,564.0,0.7509999999999999,905.0,914.0,160.0,2035.186,753.0,588.0,1545.0,152.0,805.0,647.0,1360.49,11681.0
1726,Senna alexandrina,184894.0,58.79600000000001,41.8,1.4069999999999998,10319.0,1906.0,158184.0,46879.0,58854.0,20.9,29.398000000000003,23655.0,11.859000000000002,1930247.0,711.0,6869.0,19.806,636.0,797.0,0.906,856.0,180.0,2457666.0,0.7020000000000001,711.0,1.5759999999999998,0.08900000000000001,797.0,634.0,1541106.0,3839.0
1902,Senna alexandrina,197078.0,54562.0,49977.0,1092.0,12123.0,2078.0,162236.0,49.21100000000001,62732.0,24989.0,27281.0,24.793000000000006,1.833,2141667.0,0.916,18311.0,20421.0,813.0,902.0,915.0,823.0,176.0,2726.856,698.0,0.916,1625.0,223.0,784.0,615.0,1704922.0,2.389
1685,Senna alexandrina,178.06599999999997,58258.0,42128.0,1383.0,10963.0,2006.5,155489.0,46.319,56.68,21064.0,29129.0,23.321,8096.0,1927.577,723.0,8196.0,18.818,632.0,795.0,0.84,873.0,321.5,2454.2670000000007,687.0,723.0,1.497,0.037000000000000005,0.8170000000000001,0.6679999999999999,1506934.0,2072.0
1779,Senna alexandrina,187865.0,53254.0,48.0,1109.0,14698.0,2459.0,159733.0,47593.0,59799.0,24.0,26627.0,23815.0,3965.0,2007.633,0.901,11.961,19.839,799.0,894.0,723.0,0.85,680.0,2556197.0,696.0,0.901,1579.0,38.0,0.7959999999999999,633.0,1591135.0,3.434
1575,Senna alexandrina,209179.0,56.43600000000001,38541.0,1464.0,12499.0,2216.0,156019.0,44.78100000000001,66584.0,19.27,28.218000000000004,22875.0,11785.0,1708296.0,0.6829999999999999,6.6629999999999985,27781.0,0.63,0.7929999999999999,711.0,746.0,641.0,2175.07,0.7240000000000001,0.6829999999999999,2211.0,474.0,0.6729999999999999,452.0,1365.821,9891.0
1718,Senna alexandrina,180794.0,56.08,43.709,1.283,11724.0,2065.5,157067.0,46.77,57548.0,21855.0,28.04,23.819000000000006,8326.0,1925184.0,779.0,8254.0,19026.0,696.0,0.8340000000000001,0.8320000000000001,0.8690000000000001,347.5,2451.22,701.0,779.0,1514.0,1565.0,813.0,0.66,1537.206,5.582999999999998
