Area,Perimeter,x_Feret,x_Breadth,x_AspRatio,x_RFactor,x_ConvexArea,x_ConvexPerimeter,x_ArEquivD,x_PerEquivD,x_MinR,x_MaxR,x_avgR,x_VarianceR,x_EquivEllAr,x_ModRatio,x_HaralickRatio,x_ThinnessR,x_Roundness,x_Compactness,x_Solidity,x_Convexity,x_Concavity,x_ArBBox,x_Rectang,x_Sphericity,x_Elongation,x_BendingEnergy,x_Jaggedness,x_Circularity,x_Endocarp,DistanceCM_FB,Mean,Min,Max,Mode,StD,Skewness,Kurtosis,IntensitySum,Uniformity,Entropy,SmothnessR,GLCM_Contrast,GLCM_Correlation,GLCM_Energy,GLCM_Homogeneity,Label
2323,265948.0,106.66799999999999,37104.0,2875.0,8599.0,2881.5,239.51,54385.0,84654.0,18552.0,53.333999999999996,32777.0,178956.0,3108489.0,348.0,2.45,30447.0,0.26,0.51,0.8059999999999999,0.9009999999999999,558.5,3957.8509999999997,0.5870000000000001,348.0,2423.0,2127.0,642.0,413.0,2057052.0,16086.0,84.5673249551167,0,225,88,7015.0,17.69,319.09,198399,993.0,43.0,0.0007563,268306.0,0.8809999999999999,102.0,737.0,Amorpha fruticosa
1901,230.49200000000002,95.71799999999999,33119.0,2.89,7931.0,2385.0,213.99599999999998,49198.0,73368.0,16.56,47.858999999999995,28052.0,118.60600000000001,2489806.0,0.34600000000000003,2576.0,27947.0,264.0,514.0,797.0,0.9279999999999999,484.0,3170119.0,0.6,0.34600000000000003,2224.0,5.797999999999999,0.6709999999999999,0.45,1670.5079999999998,8455.0,101.09009009009,0,238,127,0.0,39.9,1590001.0,161585,1.0,-0.0,0.0,475151.0,872.0,73.0,0.6859999999999999,Amorpha fruticosa
1760,213.38,87664.0,31.32,2799.0,8355.0,2301.0,200646.0,47338.0,67921.0,15.66,43832.0,26086.0,113395.0,2156422.0,0.35700000000000004,2.45,25.87,292.0,0.54,765.0,0.94,541.0,2745.6420000000003,0.6409999999999999,0.35700000000000004,2059.0,552.0,0.6970000000000001,486.0,1546.62,12022.0,75.57507396449701,1,213,87,0.0,39.9,1590001.0,149600,1.0,-0.0,0.0,386344.0,893.0,62.0,662.0,Amorpha fruticosa
1595,218.30900000000003,87464.0,29614.0,2.9530000000000003,7555.0,2076.0,197.97799999999998,45065.0,69.49,14807.0,43732.0,29325.0,90193.0,2034.3229999999999,0.33899999999999997,3088.0,29.88,265.0,515.0,768.0,907.0,481.0,2590181.0,616.0,0.33899999999999997,2378.0,1952.0,649.0,0.42100000000000004,1376691.0,13.824000000000002,97.6269455252918,0,240,136,3205.0,39.9,1590001.0,135703,0.9990000000000001,8.0,0.0001579,315818.0,0.8859999999999999,0.08,701.0,Amorpha fruticosa
1604,224208.0,89694.0,29186.0,3073.0,8831.0,2488.5,199234.0,45192.0,71368.0,14593.0,44847.0,30504.0,82825.0,2056042.0,325.0,3352.0,31.34,254.0,504.0,645.0,889.0,884.5,2617834.0,613.0,325.0,2494.0,0.006999999999999999,633.0,401.0,1379.7920000000001,13583.0,96.5096097845079,0,233,115,4751.0,28314.0,800586.0,136609,998.0,15.0,0.0003469,293163.0,0.89,81.0,706.0,Amorpha fruticosa
1409,195.43900000000002,84054.0,28.276999999999997,2.9730000000000003,9242.0,2440.5,185923.0,42356.0,62.21,14138.0,42027.0,25684.0,83038.0,1866.6960000000001,336.0,2819.0,27109.0,254.0,504.0,0.5770000000000001,951.0,1031.5,2376751.0,593.0,336.0,2157.0,3767.0,0.6809999999999999,0.46399999999999997,1213.5610000000001,7.17,95.264756201882,1,217,109,4342.0,37497.0,1404001.0,119928,0.9990000000000001,8.0,0.00028989999999999995,334913.0,0.8859999999999999,0.08,0.7120000000000001,Amorpha fruticosa
2011,247.38,98184.0,32.54,3017.0,8377.0,2584.0,219.75900000000001,50.601000000000006,78743.0,16.27,49092.0,29747.0,123521.0,2509228.0,331.0,2677.0,30.430999999999997,266.0,515.0,778.0,888.0,573.0,3194849.0,629.0,331.0,2.4219999999999997,2435.0,643.0,413.0,1763.62,14.325999999999999,88.21064814814821,1,214,111,3077.0,44.81100000000001,2006.0,171073,0.9990000000000001,6.0,0.0001456,294806.0,852.0,0.21,0.78,Amorpha fruticosa
2378,254593.0,103465.0,37417.0,2765.0,9077.0,2950.5,233.80900000000003,55025.0,81039.0,18709.0,51732.0,32793.0,114429.0,3040.5559999999996,0.36200000000000004,3.0660000000000003,27.256999999999998,0.28300000000000003,532.0,0.8059999999999999,0.9179999999999999,572.5,3871.3559999999998,614.0,0.36200000000000004,2169.0,13635.0,679.0,461.0,2123407.0,9214.0,55.589080459770095,0,166,46,2194.0,48.733999999999995,2373.0,202237,0.9990000000000001,5.0,0.0001041,208764.0,887.0,94.0,721.0,Amorpha fruticosa
2855,286534.0,112898.0,39.64,2.8480000000000003,9596.0,3403.5,253.65200000000002,60292.0,91.20700000000001,19.82,56449.0,36931.0,147381.0,3514843.0,0.35100000000000003,3042.0,28.756999999999998,285.0,534.0,0.8390000000000001,885.0,548.5,4475238.0,638.0,0.35100000000000003,2.2880000000000003,166.0,0.6609999999999999,0.43700000000000006,2568466.0,12307.0,89.65721784776899,2,208,104,2.6010000000000004,53.403999999999996,2850.0,242814,0.9990000000000001,5.0,0.0001041,322812.0,0.9159999999999999,68.0,693.0,Amorpha fruticosa
2226,251421.0,102.46,34435.0,2975.0,8654.0,2785.5,230326.0,53.236999999999995,80.03,17218.0,51.23,30365.0,148536.0,2771079.0,336.0,2491.0,28397.0,0.27,0.52,799.0,0.9159999999999999,559.5,3528.2470000000003,631.0,336.0,2.26,171.0,665.0,0.44299999999999995,1974579.0,14171.0,84.5906696764485,5,216,105,0.0,54.193999999999996,2935.0,189210,1.0,-0.0,0.0,291825.0,0.8809999999999999,0.08,0.7040000000000001,Amorpha fruticosa
