@relation FeaturesGray

@attribute Skewness numeric
@attribute Kurtosis numeric
@attribute 'Intensity sum' numeric
@attribute Uniformity numeric
@attribute Entropy numeric
@attribute 'Smothness R' numeric
@attribute GLCM-Contrast numeric
@attribute GLCM-Correlation numeric
@attribute GLCM-Energy numeric
@attribute GLCM-Homogeneity numeric
@attribute Mean numeric
@attribute Mode numeric
@attribute Min numeric
@attribute Max numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}

@data
89.437,7997,680264,1,2,1698,39635,983,0.69,961,2657,0,85,179,'Anagyris foetida'
8235,65.886,691085,972,157,3,41227,982,0.692,0.96,2699,0,85,209,'Anagyris foetida'
?,?,673625,1,-0,0,44.13,982,684,0.959,2631,0,85,85,'Anagyris foetida'
61254,3750215,638410,0.999,4,2153,40817,983,695,0.962,2493,0,85,158,'Anagyris foetida'
54.209,2940.481,996644,0.999,5,6474,84764,982,259,0.869,3893,0,85,201,'Anagyris foetida'
50287,2565.58,820466,0.999,6,6034,85566,983,235,0.86,3204,0,85,198,'Anagyris foetida'
?,?,803335,1,-0,0,75954,0.984,249,868,3138,0,85,85,'Anagyris foetida'
?,?,712980,1,-0,0,76542,0.984,237,0.864,2785,0,85,85,'Anagyris foetida'
13.653,184767,709504,0.989,68,1,90.94,981,0.22,853,2771,0,85,210,'Anagyris foetida'
89677,8040,683912,1,2,1447,85.043,982,221,856,2671,0,85,172,'Anagyris foetida'
?,?,699805,1,-0,0,80.47,983,223,858,2733,0,85,85,'Anagyris foetida'
41949,1764682,888840,0.999,8,6276,169.21,0.964,551,888,3472,0,85,178,'Anagyris foetida'
?,?,703545,1,-0,0,167757,0.964,0.566,0.891,2748,0,85,85,'Anagyris foetida'
40062,1622162,788791,0.999,0.009,0.000126,170.616,963,564,0.891,3081,0,85,212,'Anagyris foetida'
92.347,8526,725238,1,2,1912,176638,0.962,0.56,0.886,2832,0,85,188,'Anagyris foetida'
63.49,4029.536,685703,1,4,3021,179.288,961,564,887,2678,0,85,175,'Anagyris foetida'
63.483,4078.214,658835,0.999,4,2907,179878,0.96,574,889,2573,0,85,180,'Anagyris foetida'
?,?,621265,1,-0,0,179.339,961,0.572,889,2426,0,85,85,'Anagyris foetida'
?,?,1165775,1,-0,0,174.897,0.928,779,922,4553,0,85,85,'Anagyris foetida'
46.476,2178312,891082,0.999,0.007,8557,172.08,927,785,924,3480,0,85,207,'Anagyris foetida'
?,?,758965,1,-0,0,182.56,0.923,0.783,924,2964,0,85,85,'Anagyris foetida'
?,?,724540,1,-0,0,176.189,0.923,792,927,2830,0,85,85,'Anagyris foetida'
36.38,1335.676,756794,998,0.011,0.00013,176149,924,789,0.926,2956,0,85,199,'Anagyris foetida'
?,?,694450,1,-0,0,175428,0.923,0.791,0.926,2712,0,85,85,'Anagyris foetida'
?,?,663425,1,-0,0,173.78,0.926,785,0.923,2591,0,85,85,'Anagyris foetida'
?,?,720715,1,-0,0,191.241,951,643,897,2815,0,85,85,'Anagyris foetida'
39787,1581001,134940,0.999,8,0.000164,44395,0.811,401,0.829,527,0,85,215,'Anthyllis barba-jovis'
39319,1544001,131794,0.999,8,0.000165,65413,807,405,835,514,0,85,214,'Anthyllis barba-jovis'
10725,113738,89808,983,0.097,3,124949,0.761,0.41,836,350,0,85,239,'Anthyllis barba-jovis'
32542,1057001,90401,998,0.011,0.000248,108875,732,386,825,353,0,85,216,'Anthyllis barba-jovis'
?,?,73270,1,-0,0,109829,0.781,392,831,286,0,85,85,'Anthyllis barba-jovis'
?,?,57630,1,-0,0,115665,0.793,0.443,841,225,0,85,85,'Anthyllis barba-jovis'
25.71,659002,56557,997,16,0.000317,145.712,799,0.416,0.837,220,0,85,202,'Anthyllis barba-jovis'
?,?,61030,1,-0,0,150607,742,0.42,818,238,0,85,85,'Anthyllis barba-jovis'
25.179,632002,54265,997,17,0.000347,190.121,0.734,408,838,211,0,85,205,'Anthyllis barba-jovis'
35.581,1264001,107983,998,0.009,0.000169,301.859,863,382,841,421,0,85,203,'Anthyllis barba-jovis'
22.24,492.692,127186,996,24,0.00046,309652,898,344,0.827,496,0,85,209,'Anthyllis barba-jovis'
22884,522216,89527,996,0.022,0.000562,321222,889,317,0.817,349,0,85,228,'Anthyllis barba-jovis'
?,?,69105,1,-0,0,377.25,877,311,0.81,269,0,85,85,'Anthyllis barba-jovis'
26.458,698.001,59914,997,16,0.000553,300438,884,298,802,234,0,85,244,'Anthyllis barba-jovis'
9218,83191,60343,977,122,3,304334,894,0.347,0.827,235,0,85,218,'Anthyllis barba-jovis'
