@relation FeaturesBW_Gray

@attribute Area numeric
@attribute Perimeter numeric
@attribute x_Feret numeric
@attribute x_Breadth numeric
@attribute x_AspRatio numeric
@attribute x_RFactor numeric
@attribute x_ConvexArea numeric
@attribute x_ConvexPerimeter numeric
@attribute x_ArEquivD numeric
@attribute x_PerEquivD numeric
@attribute x_MinR numeric
@attribute x_MaxR numeric
@attribute x_avgR numeric
@attribute x_VarianceR numeric
@attribute x_EquivEllAr numeric
@attribute x_ModRatio numeric
@attribute x_HaralickRatio numeric
@attribute x_ThinnessR numeric
@attribute x_Roundness numeric
@attribute x_Compactness numeric
@attribute x_Solidity numeric
@attribute x_Convexity numeric
@attribute x_Concavity numeric
@attribute x_ArBBox numeric
@attribute x_Rectang numeric
@attribute x_Sphericity numeric
@attribute x_Elongation numeric
@attribute x_BendingEnergy numeric
@attribute x_Jaggedness numeric
@attribute x_Circularity numeric
@attribute x_Endocarp numeric
@attribute DistanceCM_FB numeric
@attribute Mean numeric
@attribute Min numeric
@attribute Max numeric
@attribute Mode numeric
@attribute StD numeric
@attribute Skewness numeric
@attribute Kurtosis numeric
@attribute IntensitySum numeric
@attribute Uniformity numeric
@attribute Entropy numeric
@attribute SmothnessR numeric
@attribute GLCM_Contrast numeric
@attribute GLCM_Correlation numeric
@attribute GLCM_Energy numeric
@attribute GLCM_Homogeneity numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}

@data
8388,355806,119887,87245,1374,42927,16168,336.854,103344,113257,43.623,59.944,53261,31.523,8214981,728,9486,15093,743,862,519,0.947,7780,10459.639,802,728,1.201,2,912,833,8032194,10.29,84.181583,1,225,111,0,75628,5737.164,712980,1,-0,0,236662,914,755,914,'Ceratonia siliqua'
11326,425505,144838,96,1.509,27.958,12721.5,394023,120086,135442,48,72419,64559,40929,10920.516,0.663,10.091,15.986,687,0.829,0.89,0.926,1395.5,13904433,815,0.663,1272,0.013,887,0.786,10900495,22377,87.472766,7,200,95,1571,75628,5737.164,962946,1,3,0.000307,222919,0.916,763,0.916,'Ceratonia siliqua'
11335,419505,144257,99,1.457,31392,14226.5,393.247,120134,133532,49.5,72128,62.984,43.196,11216597,0.686,9583,15526,0.694,833,797,937,2891.5,14281415,794,0.686,1235,0.009,0.9,809,10915495,4755,96.088964,5,222,94,2012,49577,2512038,963947,0.999,0.007,0.000307,214.409,917,768,0.918,'Ceratonia siliqua'
11084,404718,143.21,101.4,1412,42714,19217.5,389411,118796,128826,50.7,71605,58216,65146,11405126,708,7.213,14.778,688,0.83,0.577,0.962,8133.5,14521457,763,708,1176,32,922,0.85,10679282,7.089,88.934223,3,199,97,4.47,21079,451231,944525,995,33,0.000307,197.751,925,0.761,922,'Ceratonia siliqua'
11009,442.86,149496,95139,1571,45982,21595.5,394.43,118.394,140967,47.57,74748,59.601,109.192,11170638,636,5704,17815,627,792,0.51,0.891,10586.5,14222.898,774,636,1.418,87,0.84,705,10566.14,20.784,86.418302,2,194,108,1608,52707,2785972,936102,0.999,5,0.000347,190.216,0.928,763,924,'Ceratonia siliqua'
9662,373.99,127.769,99.108,1.289,46033,18477.5,359.891,110915,119045,49.554,63885,54.557,29.817,9945423,0.776,9991,14.476,754,868,523,0.962,8815.5,12662905,763,0.776,1.152,0.01,932,868,9288.01,5.203,85.949778,5,211,49,4749,20082,410124,823590,995,35,0.000347,196442,0.926,762,924,'Ceratonia siliqua'
9240,369019,125431,95175,1318,50595,19937,351991,108465,117463,47.587,62716,54102,35429,9375.988,759,9089,14738,748,865,0.463,0.954,10697,11937.879,774,759,1173,39,0.923,853,8870981,10.159,94.741794,6,220,70,2.879,32449,1061558,786227,998,0.014,0.000127,189.427,0.928,764,925,'Ceratonia siliqua'
8344,350676,123.033,89443,1376,43772,16918.5,334897,103072,111624,44.721,61.516,51.712,31004,8642806,727,9287,14738,0.702,838,493,955,8574.5,11004.363,758,727,1173,0.082,0.923,853,7993.324,17.731,86.167082,10,214,69,1.622,54.291,2996.319,709494,0.999,5,0.000157,193.474,927,0.761,0.923,'Ceratonia siliqua'
6864,329.078,118.87,73,1.628,54449,20333.5,311541,93485,104749,36.5,59435,50532,32256,6815.282,614,8897,15.777,619,0.786,0.338,0.947,13469.5,8677.486,0.791,614,1255,0.044,892,797,6534922,15992,86.980593,1,191,101,3196,35546,1304.294,584078,998,12,0.000157,185178,0.928,768,927,'Ceratonia siliqua'
11032,408534,145.169,93,1561,45129,20581.5,391605,118.517,130.04,46.5,72584,63.471,41381,10603.429,0.641,9867,15.129,667,816,536,0.959,9549.5,13500705,0.817,0.641,1204,4,0.911,831,10623466,19754,94.646855,5,194,93,1.606,79167,6473717,937953,1,3,0.000127,194.35,0.926,765,0.926,'Ceratonia siliqua'
11781,428718,148977,99.924,1.491,36046,16870.5,401809,122475,136465,49.962,74488,62.404,71582,11691718,0.671,7376,15.601,0.676,0.822,698,937,5089.5,14886358,0.791,0.671,1242,67,897,805,11352282,11.357,81.861221,0,246,82,2.879,44702,2008.228,1002148,0.999,0.007,0.000127,185774,0.947,684,905,'Ceratonia siliqua'
10725,428.96,148519,99601,1.491,39838,18588,389.872,116.857,136542,49801,74.26,57988,76797,11618.19,0.671,6.617,17157,619,787,0.577,909,7863,14792.738,725,0.671,1365,14.21,856,732,10296.04,8335,86.159898,1,177,87,0,17498,306682,911625,1,-0,0,185.941,951,0.65,898,'Ceratonia siliqua'
10555,414375,143753,100.026,1.437,46.666,21075,383529,115927,131.9,50.013,71877,57.319,67804,11293286,696,6961,16268,0.65,0.806,501,0.926,10520,14379058,0.734,696,1295,2605,879,772,10140625,13.521,87.116495,1,230,90,5602,17498,306682,900571,993,47,0.000482,186.659,953,635,893,'Ceratonia siliqua'
9280,384375,130908,92.879,1409,41.764,17176,356452,108.7,122.35,46.44,65454,53907,49022,9549419,0.709,7699,15921,0.689,0.83,0.54,927,7896,12158698,763,0.709,1.267,0.022,888,789,8895625,6709,100.758794,7,193,94,5829,16969,289222,792013,993,49,0.000522,194653,0.95,645,0.896,'Ceratonia siliqua'
3500,241.279,74733,62,1205,15.857,3723,220209,66756,76.802,31,37366,33494,7899,3639093,0.83,11917,16633,0.798,893,0.94,0.913,223,4633437,755,0.83,1324,295,0.869,0.756,3258.721,23824,77.113524,0,236,89,6004,22166,506155,298484,995,0.029,0.000554,172.914,956,0.097,652,'Colutea arborescens'
2794,199095,68797,56,1229,13554,2929.5,194.89,59644,63.374,28,34398,29.98,7447,3025841,0.814,10.986,14.187,752,867,0.954,0.979,135.5,3852.621,725,0.814,1129,139,941,0.886,2594905,14509,48.843682,0,215,50,0,21.76,486792,237490,1,-0,0,136.402,956,84,622,'Colutea arborescens'
2897,201581,69971,56.579,1237,13818,3037.5,198265,60.734,64165,28.29,34986,30.25,10882,3109.346,809,9.17,14.027,753,868,0.954,0.984,140.5,3958.943,732,809,1.116,31,0.947,0.896,2695.419,3.184,54.503781,0,231,1,0,21.76,486792,246245,1,-0,0,147453,0.959,0.093,0.64,'Colutea arborescens'
3380,221238,73082,61.91,1.18,15534,3566.5,214208,65601,70422,30955,36541,33056,10554,3553566,847,10175,14481,0.806,898,948,968,186.5,4524541,747,847,1.152,15,932,868,3158762,8351,46.830485,1,141,36,6099,21.76,486792,288282,995,31,0.000572,216386,955,0.12,0.681,'Colutea arborescens'
2994,207095,70937,57231,1239,14106,3143.5,201891,61742,65921,28616,35468,30.938,11877,3188554,807,8977,14325,758,0.87,0.952,975,149.5,4059.794,737,807,1.14,0.194,937,877,2786905,4213,82.919218,0,231,83,0,28635,846638,254490,1,-0,0,171.24,956,0.097,0.65,'Colutea arborescens'
2827,200.853,69635,54,1.29,13446,2941.5,195868,59995,63933,27,34817,30456,7.91,2953315,775,10829,14.27,742,862,961,975,114.5,3760277,752,775,1136,0.08,938,0.881,2626147,3.211,19.401608,0,167,1,5103,28635,846638,240822,997,0.018,0.0004,156.068,0.957,95,644,'Colutea arborescens'
2674,193338,65795,54,1218,13.553,2801.5,189.659,58349,61.541,27,32898,29253,5858,2790.47,821,12.086,13.979,0.786,887,0.954,981,127.5,3552937,753,821,1112,23,948,899,2480.662,8595,50.648299,0,198,1,0,19317,396.887,227290,1,-0,0,155134,961,0.101,652,'Colutea arborescens'
2801,202752,68411,56.82,1204,16.53,3552.5,195699,59.719,64538,28.41,34205,29.64,10007,3052922,831,9.37,14.676,762,873,0.788,965,751.5,3887.101,721,831,1168,133,925,856,2598248,6011,40.547976,0,172,38,5465,19317,396.887,238929,0.994,0.041,0.000459,399119,0.939,0.279,775,'Colutea arborescens'
2960,210.409,71.61,58494,1224,17082,3843,201.151,61.39,66975,29247,35805,30.312,13.059,3289845,0.817,8388,14957,735,857,0.77,956,883,4188.761,0.707,0.817,1.19,0.26,917,0.84,2749591,7029,43.022398,0,166,5,5.547,16.644,278863,252596,993,48,0.000473,403.453,938,0.29,0.781,'Colutea arborescens'
3133,215581,72945,59808,1.22,17878,4097,208976,63159,68.621,29904,36473,31149,16928,3426462,0.82,7.571,14.834,0.75,866,765,0.969,964,4362708,718,0.82,1.18,0.236,0.92,847,2917.419,9853,57.735943,0,247,2,3676,29.659,915053,266709,997,17,0.000208,414027,0.936,302,0.79,'Colutea arborescens'
2815,205338,68264,53,1288,17.32,3714.5,195.901,59868,65361,26.5,34132,29715,12168,2841572,0.776,8519,14978,769,877,758,0.954,899.5,3618002,778,0.776,1192,188,0.916,0.839,2609.662,21.558,64.311599,1,159,77,0,22.332,533269,239275,1,-0,0,407.197,938,273,773,'Colutea arborescens'
2457,190267,64846,49,1.323,15.97,3253.5,184358,55.932,60.564,24.5,32423,28.722,8.261,2495565,0.756,9993,14.734,0.744,863,755,0.969,796.5,3177453,773,0.756,1172,135,924,853,2266.733,16.91,51.665214,0,221,6,4967,22.332,533269,209430,995,0.03,0.000379,388968,0.94,263,767,'Colutea arborescens'
3243,218.066,70.228,62,1133,18092,3991.5,209.839,64258,69413,31,35.114,31855,6767,3419.74,883,12.246,14663,0.837,915,812,0.962,748.5,4354148,745,883,1167,0.026,0.926,857,3024934,18382,67.901008,0,227,10,0,13455,185.89,275655,1,-0,0,397.672,938,326,0.8,'Colutea arborescens'
3406,220995,74947,60,1249,17658,4157.5,215278,65.853,70345,30,37473,33686,6233,3531778,0.801,13493,14339,772,879,0.819,0.974,751.5,4496799,757,0.801,1141,254,0.936,0.876,3185005,17816,29.233168,0,148,2,9.84,13455,185.89,292091,988,79,1,376.989,941,0.338,0.803,'Colutea arborescens'
2746,217.48,68884,57,1208,19676,4258,195567,59.13,69226,28.5,34442,29619,7187,3083776,0.827,11.049,17224,737,858,645,899,1512,3926386,0.699,0.827,1371,0.844,0.854,0.73,2528.52,2.769,54.219942,0,224,1,6938,17188,300819,234545,993,47,0.00074,394091,0.933,0.417,804,'Colutea arborescens'
3305,215.723,74673,60.811,1228,20.672,4849.5,211.43,64.87,68667,30406,37336,32.31,8189,3566438,0.814,11.291,14081,755,0.869,682,0.98,1544.5,4540.93,728,0.814,1.12,124,945,892,3089277,9655,83.381596,1,221,94,7169,15968,260187,282447,992,55,0.00079,324525,0.939,495,0.84,'Colutea arborescens'
3213,217.823,73.246,59.821,1224,19.56,4501,209.902,63.96,69335,29.911,36.623,31.591,12167,3441362,0.817,9057,14.767,763,873,0.714,0.964,1288,4381678,733,0.817,1175,51,922,851,2995177,4.889,36.452183,0,163,41,8047,13923,198.281,275014,0.989,0.072,0.000995,339.729,0.94,456,826,'Colutea arborescens'
2674,245037,73.246,59.877,1.223,18967,4364.5,208173,58349,77998,29939,36.623,30.223,22.023,3444.581,0.817,6.44,22454,635,797,613,0.85,1690.5,4385776,0.61,0.817,1787,0.2,748,0.56,2428.963,7144,21.802492,0,118,1,6.467,17102,301499,228333,993,48,0.000643,330337,938,0.492,0.84,'Colutea arborescens'
2947,208752,68884,59099,1166,20.138,4358,200975,61256,66.448,29.55,34442,30.5,9.053,3197353,858,10137,14787,0.791,889,0.676,963,1411,4070.997,0.724,858,1177,386,922,0.85,2738248,5.463,52.825179,0,248,27,6556,17317,313137,251656,993,48,0.000661,389.933,932,442,812,'Colutea arborescens'
3063,212167,73661,58.029,1.269,21146,4893.5,204.619,62449,67535,29014,36.831,30943,12468,3357.161,0.788,8763,14696,0.719,848,626,0.964,1830.5,4274.47,0.717,0.788,1169,0.208,925,855,2850833,12284,56.024605,0,222,44,6108,15423,237832,261572,992,53,0.000574,341.761,938,0.463,0.82,'Colutea arborescens'
2927,211095,69405,57872,1199,23574,5140,200655,61047,67194,28936,34702,30686,9.76,3154605,0.834,9.822,15224,774,0.88,569,951,2213,4016.568,0.729,0.834,1212,0.05,909,825,2715905,5.384,29.543613,0,154,1,0,40.99,1686527,248795,1,-0,0,371.63,937,0.42,805,'Colutea arborescens'
3158,210.853,72471,59246,1.223,26424,6016,206925,63.41,67117,29623,36235,32028,10041,3372.209,818,10.107,14078,0.766,875,525,981,2858,4293.63,736,818,1.12,109,945,893,2947147,2059,51.884974,0,207,5,0,40.99,1686527,268430,1,-0,0,348.021,0.93,531,855,'Colutea arborescens'
2740,199338,67.231,57,1179,25678,5423.5,194364,59065,63451,28.5,33615,29941,5586,3009.774,848,12668,14502,772,879,505,975,2683.5,3832164,715,848,1.154,69,0.931,867,2540.662,5.69,77.189189,1,236,88,0,40.99,1686527,232900,1,-0,0,343082,932,525,851,'Colutea arborescens'
3315,220.066,72533,61,1189,27845,6345,212794,64968,70.049,30.5,36266,32895,6.384,3474992,841,13019,14.609,802,0.896,522,0.967,3030,4424498,0.749,841,1163,0.458,927,0.86,3094934,3.337,34.431071,0,135,10,3.078,40.99,1686527,282025,0.999,8,0.000146,319.359,932,561,0.869,'Colutea arborescens'
3194,217.48,73539,60542,1215,22279,5147,209105,63771,69226,30271,36.77,31371,9514,3496777,823,10.17,14808,752,867,621,961,1953,4452234,0.717,823,1178,192,0.921,0.849,2976.52,4187,69.612842,0,215,95,4045,19.069,365.697,272173,0.994,0.036,0.000252,316084,0.931,573,872,'Colutea arborescens'
3231,213924,73783,61,1.21,24075,5580.5,209.279,64139,68094,30.5,36.892,32268,9743,3534913,0.827,10338,14.164,0.756,0.869,579,978,2349.5,4500791,718,0.827,1127,122,0.942,887,3017.076,17.144,44.11462,0,177,1,0,50794,2578,274635,1,-0,0,319187,0.933,0.553,866,'Colutea arborescens'
2583,191338,64846,53,1224,22.58,4600,187235,57348,60905,26.5,32423,29.069,6135,2699285,0.817,11.736,14.174,782,884,562,0.979,2017,3436836,752,0.817,1128,46,0.942,887,2391.662,9406,29.400124,0,119,3,1.613,50794,2578,219637,0.999,5,0.000174,351716,0.931,516,846,'Colutea arborescens'
3259,215238,73763,58,1272,22435,5199,210755,64417,68512,29,36882,32781,8613,3360139,0.786,11.17,14215,763,873,627,0.979,1940,4278262,762,0.786,1131,42,0.94,884,3043762,9.79,36.406768,0,158,36,3.368,33.568,1140143,277346,998,12,0.000174,308.56,935,0.559,872,'Colutea arborescens'
2875,202024,69.34,54,1284,29825,6497,197.772,60503,64306,27,34.67,30737,8.27,2940803,779,10.688,14196,0.761,873,0.443,0.979,3622,3744.346,768,779,1.13,247,941,885,2672.976,22955,22.781103,0,160,3,1492,53591,2870,244455,0.999,4,1,326.13,0.93,565,868,'Colutea arborescens'
2808,211.823,65391,55,1189,25926,5326,195852,59793,67425,27.5,32696,30599,4373,2824.694,841,14633,15.979,836,914,527,925,2518,3596512,0.781,841,1272,0.194,887,0.786,2596177,15.326,62.997129,0,236,68,8.19,12.691,162.051,240512,987,78,1,317332,932,565,873,'Colutea arborescens'
3141,240551,72.67,62,1172,32083,7324.5,211679,63.24,76.57,31,36335,31.578,11.38,3538667,853,9361,18422,757,0.87,429,0.88,4183.5,4505.57,0.697,853,1466,489,826,682,2900449,12442,32.748603,0,150,2,4293,25.723,670927,267518,997,21,0.000283,334244,932,0.538,875,'Colutea arborescens'
3574,225581,77414,61,1.269,29.73,7230.5,219915,67458,71805,30.5,38707,34285,7513,3708.872,0.788,12508,14238,759,871,494,975,3656.5,4722.283,757,0.788,1133,0.241,0.939,883,3348.419,10.721,56.971748,1,141,53,0,11.822,145915,303790,1,-0,0,319325,0.936,524,855,'Colutea arborescens'
2987,207.681,71505,57.194,1.25,28.363,6371.5,202308,61.67,66107,28.597,35753,30959,10966,3212.029,0.8,9349,14.44,0.744,862,469,0.974,3384.5,4089683,0.73,0.8,1149,51,0.933,0.87,2779.319,3.067,120.987663,1,247,124,10118,11.822,145915,256589,983,0.108,2,336.752,929,552,871,'Colutea arborescens'
2675,195095,66.129,53,1248,26.313,5466.5,190743,58.36,62.101,26.5,33064,29525,7524,2752678,0.801,10.764,14.229,779,883,489,978,2791.5,3504.819,763,0.801,1.132,168,0.94,883,2479905,18.353,36.453738,0,248,4,2281,51691,2670,227493,0.999,5,0,312135,935,552,865,'Colutea arborescens'
3236,216267,72945,60,1216,30103,6898.5,209.84,64189,68.84,30,36473,32695,5691,3437461,823,13705,14453,774,0.88,469,0.97,3662.5,4376.711,0.739,823,1.15,128,932,0.869,3019.733,19165,56.300775,0,252,60,0,11.25,128683,275060,1,-0,0,331936,932,0.543,0.874,'Colutea arborescens'
2941,204267,68884,58,1188,33631,7278,199.559,61.193,65.02,29,34442,31241,5.344,3137877,0.842,13.514,14.187,789,888,0.404,977,4337,3995.27,736,0.842,1129,0.044,941,0.886,2736.733,1781,42.367804,0,255,49,0,11.25,128683,249985,1,-0,0,327.942,934,525,0.854,'Colutea arborescens'
2828,200995,67543,56.443,1197,29.65,6291.5,195.599,60006,63979,28221,33771,29.894,7391,2994.166,836,10.996,14285,789,888,449,973,3463.5,3812.291,742,836,1137,109,938,0.88,2627005,6454,35.779255,0,254,4,10825,11.25,128683,243167,983,106,2,311738,937,526,0.854,'Colutea arborescens'
3638,232.409,77175,62,1245,49.752,12062.5,224166,68059,73.978,31,38588,34.237,14011,3758.019,0.803,9146,14.847,778,882,302,965,8424.5,4784858,0.76,0.803,1182,0.089,0.92,846,3405591,19094,55.783465,0,200,4,0,17128,297878,309230,1,-0,0,336006,0.939,467,0.834,'Colutea arborescens'
3339,218.652,74095,60,1235,23.97,5579.5,212574,65202,69.599,30,37047,33088,6675,3491623,0.81,12807,14318,774,0.88,598,972,2240.5,4445.672,0.751,0.81,1139,65,937,878,3120348,10046,60.63886,0,175,52,5709,17128,297878,284948,993,46,0.000501,352105,0.939,0.438,825,'Colutea arborescens'
3043,213.681,74027,59423,1246,24.387,5671.5,207516,62245,68017,29712,37014,31.548,16.339,3454905,0.803,7805,15005,0.707,841,537,971,2628.5,4398.922,0.692,0.803,1194,0.21,915,0.837,2829.319,2927,24.704844,0,150,2,852,55136,3038,258702,0.999,4,3,319672,0.939,495,0.84,'Colutea arborescens'
2839,211137,69116,57.35,1205,22682,4925,196.966,60.123,67207,28675,34558,30.023,6194,3113165,0.83,12.063,15702,757,0.87,0.576,0.933,2086,3963805,716,0.83,1.25,62,895,0.8,2627863,3.84,40.263322,0,165,31,13445,8996,79.966,245555,976,151,3,319.02,938,502,0.842,'Colutea arborescens'
2895,203338,69462,57973,1198,26627,5810.5,197.867,60713,64725,28986,34731,30.203,7.134,3162.74,835,11308,14282,764,0.874,498,973,2915.5,4026926,0.719,835,1137,392,938,0.88,2691.662,9249,30.480436,0,203,2,1673,53777,2890,246165,0.999,4,0,301.75,0.939,522,0.849,'Colutea arborescens'
1737,165054,61327,37,1.657,9545,1839,159.853,47028,52.538,18.5,30663,24.933,8708,1782146,603,8449,15.684,588,767,945,968,102,2269099,0.766,603,1248,141,895,0.801,1571.946,15.89,90.613889,0,212,102,0,20167,404774,147645,1,-0,0,47493,917,0.18,0.78,'Cytisus purgans'
1521,154.853,54083,38,1423,9.732,1653.5,146.698,44007,49.291,19,27.042,23092,5961,1614122,703,9459,15.766,662,0.814,0.92,0.947,132.5,2055.164,0.74,703,1255,67,893,797,1366.147,4837,96.460794,1,188,127,0,20167,404774,129285,1,-0,0,49245,0.918,183,775,'Cytisus purgans'
1433,146125,52555,37,1.42,9115,1505,142181,42715,46.513,18.5,26.277,21816,7016,1527226,0.704,8236,14901,0.661,813,0.952,973,72,1944525,737,0.704,1186,121,0.918,843,1286875,13508,105.594216,1,208,102,0,20167,404774,121805,1,-0,0,94.013,897,0.19,787,'Cytisus purgans'
1261,134368,43324,39.739,1.09,10176,1385,130211,40069,42771,19.87,21662,20.01,1081,1352207,917,19242,14318,855,925,0.91,0.969,124,1721684,732,917,1139,86,937,878,1126632,3.058,89.52643,2,200,87,0,20167,404774,107185,1,-0,0,61174,0.891,0.2,0.791,'Cytisus purgans'
1190,140267,48.166,34883,1381,8492,1285,130.081,38925,44648,17441,24.083,19.693,6371,1319604,0.724,7.802,16533,653,0.808,0.926,927,95,1680171,708,0.724,1.316,23,872,0.76,1049733,5092,88.014159,1,207,79,0,20167,404774,101150,1,-0,0,78309,0.9,175,0.781,'Cytisus purgans'
1047,130711,49.204,32.45,1516,7246,1120,125786,36.511,41607,16225,24.602,18202,8325,1254011,0.66,6309,16.318,551,742,935,0.962,73,1596.657,0.656,0.66,1.299,0.11,878,0.77,916289,2.729,123.24825,1,213,110,0,20167,404774,88995,1,-0,0,60.446,919,187,0.781,'Cytisus purgans'
951,135924,46098,28954,1.592,7233,1047.5,120637,34797,43.266,14477,23049,17402,10999,1048264,628,5.247,19427,0.57,755,0.908,888,96.5,1334691,713,628,1546,1824,804,647,815076,7.53,81.900109,0,218,16,0,20167,404774,80835,1,-0,0,57067,914,179,782,'Cytisus purgans'
819,113.64,41,27,1.519,7612,980.5,109.653,32292,36173,13.5,20.5,16781,5354,869436,659,7.253,15.768,0.62,0.788,835,965,161.5,1107,0.74,659,1255,67,893,797,705.36,3905,86.206767,1,198,100,5754,20167,404774,69848,995,0.027,0.000509,66798,925,0.173,785,'Cytisus purgans'
1476,151782,53.6,38896,1.378,12569,2116.5,144238,43.351,48.314,19448,26.8,22.16,7.132,1637.43,726,8298,15.608,654,809,0.697,0.95,640.5,2084841,708,726,1242,47,897,805,1324.218,4.79,132.529171,6,225,114,0,23495,550002,125460,1,-0,0,333.29,0.926,0.108,634,'Cytisus purgans'
1110,138953,50.804,30862,1646,8023,1280.5,132.551,37594,44.23,15431,25.402,18601,20463,1231425,607,4112,17395,0.548,0.74,867,0.954,170.5,1567.9,708,607,1.384,0.101,0.85,722,971047,6.196,81.630405,1,223,84,5982,23495,550002,94632,996,19,0.00055,417.508,907,0.101,619,'Cytisus purgans'
1226,134125,43382,38,1.142,13.336,1817.5,128809,39509,42.693,19,21691,19901,1808,1294742,0.876,14.801,14673,0.829,0.911,675,0.96,591.5,1648517,0.744,0.876,1168,68,925,856,1091875,8512,103.040727,1,230,96,3.913,34971,1221001,104347,998,0.01,0.000235,370.174,0.921,113,0.641,'Cytisus purgans'
1242,135882,47.634,36672,1.299,13.736,2055.5,131.294,39766,43253,18336,23.817,19.94,5.797,1371943,0.77,8282,14866,0.697,835,604,966,813.5,1746.812,711,0.77,1183,135,919,845,1106118,1649,93.252881,1,234,29,5215,24862,616149,105830,997,19,0.000418,451.763,0.906,0.117,645,'Cytisus purgans'
1156,131296,42942,36,1193,14.81,1998,125.923,38365,41793,18,21471,19494,1.566,1214151,838,15578,14912,0.798,893,579,0.959,842,1545906,748,838,1187,0.026,0.918,843,1024704,6468,73.349776,1,193,53,0,33.794,1140001,98260,1,-0,0,362043,922,0.112,635,'Cytisus purgans'
1145,135296,46098,35,1317,13962,2022,127.099,38.182,43066,17.5,23049,19.25,3.791,1267177,759,9887,15987,0.686,828,0.566,0.939,877,1613.42,0.71,759,1272,73,887,0.786,1009704,14785,107.268627,2,222,119,4019,33.794,1140001,97461,998,0.01,0.000248,350.859,929,121,0.65,'Cytisus purgans'
1053,124811,44102,33,1.336,13.324,1846,121024,36616,39729,16.5,22051,18539,4721,1143046,748,8532,14794,0.689,0.83,0.57,0.97,793,1455371,0.724,748,1177,212,922,0.849,928189,12833,85.64841,0,225,86,0,30643,937.001,89505,1,-0,0,296112,0.931,0.1,628,'Cytisus purgans'
942,119397,42.154,30,1405,12089,1601,115.59,34632,38005,15,21.077,17629,3359,993.241,0.712,9619,15133,675,0.822,588,968,659,1264634,745,0.712,1204,0.186,0.911,0.83,822.603,3477,94.467582,1,213,83,4203,30643,937.001,80199,998,12,0.000272,296629,0.933,105,0.63,'Cytisus purgans'
1708,161539,59203,38,1558,15189,2825,156675,46.634,51419,19,29.602,24396,9785,1766922,642,7.799,15.278,0.62,0.788,605,0.97,1117,2249716,759,642,1216,31,907,823,1546461,2.32,86.884462,0,209,33,0,16621,276.99,145180,1,-0,0,709.144,892,273,0.692,'Cytisus purgans'
1443,148711,49.93,39,1.28,13.12,2058,140832,42864,47.336,19.5,24965,21724,3554,1529381,0.781,11523,15.326,737,858,701,0.947,615,1947.268,741,0.781,1.22,408,0.906,0.82,1294289,10662,80.676211,1,162,77,0,16621,276.99,122655,1,-0,0,691681,894,0.291,677,'Cytisus purgans'
1083,150752,45354,38047,1192,9215,1313,130.598,37134,47.986,19024,22677,18845,11548,1355.28,0.839,5546,20985,0.67,0.819,825,866,230,1725596,628,0.839,1.67,0.8,774,599,932248,13.076,112.023152,0,228,166,7718,16621,276.99,92561,993,43,0.000915,648.55,898,324,0.68,'Cytisus purgans'
1348,141296,52.498,36.4,1442,13.93,2297.5,137947,41.429,44.976,18.2,26.249,20612,8727,1500828,693,6977,14811,623,789,0.587,976,949.5,1910.913,705,693,1179,57,0.921,848,1206704,1041,92.212954,2,209,98,3813,36674,1343001,114720,0.999,0.009,0.000224,644803,0.9,0.296,687,'Cytisus purgans'
1334,136811,46325,39,1188,16213,2359.5,134418,41213,43548,19.5,23162,20834,1874,1418957,0.842,15218,14.031,0.791,0.89,565,983,1025.5,1806.673,738,0.842,1117,125,946,0.896,1197.189,7.703,63.510549,1,208,30,0,32573,1059001,113390,1,-0,0,721.009,0.89,273,672,'Cytisus purgans'
1064,128368,45.804,32527,1.408,8805,1267,123.112,36.807,40861,16.263,22.902,18484,5854,1170134,0.71,7.64,15487,0.646,804,0.84,0.959,203,1489.86,0.714,0.71,1232,0.089,0.901,0.811,935632,4433,122.444779,1,222,153,4874,32573,1059001,90599,998,0.011,0.000365,619592,904,318,687,'Cytisus purgans'
1048,127539,41.304,34,1215,16812,2181.5,120406,36529,40597,17,20.652,18699,2035,1102.956,823,13.108,15.521,782,884,0.48,0.944,1133.5,1404328,746,823,1235,254,0.9,0.81,920461,8141,130.879811,2,210,152,0,16.67,276528,89080,1,-0,0,703158,883,376,0.71,'Cytisus purgans'
837,113.497,40311,26,1.55,9.91,1255,111432,32645,36.127,13,20156,17075,7601,823171,645,6193,15.39,0.656,0.81,667,982,418,1048094,799,645,1225,0.17,904,0.817,723503,8816,88.673592,1,207,86,8.261,16.67,276528,71559,993,0.04,1,621186,905,294,0.658,'Cytisus purgans'
1530,152.61,51662,38,1.36,12942,2100.5,145.896,44137,48577,19,25831,22.382,3.794,1541.87,736,11.49,15.222,0.73,0.854,728,956,570.5,1963.17,779,736,1.211,0.103,909,826,1377.39,10089,108.262104,3,215,87,0,23314,545318,130050,1,-0,0,582.334,0.881,534,794,'Cytisus purgans'
