@relation FeaturesBW_Gray

@attribute Area numeric
@attribute Perimeter numeric
@attribute x_Feret numeric
@attribute x_Breadth numeric
@attribute x_AspRatio numeric
@attribute x_RFactor numeric
@attribute x_ConvexArea numeric
@attribute x_ConvexPerimeter numeric
@attribute x_ArEquivD numeric
@attribute x_PerEquivD numeric
@attribute x_MinR numeric
@attribute x_MaxR numeric
@attribute x_avgR numeric
@attribute x_VarianceR numeric
@attribute x_EquivEllAr numeric
@attribute x_ModRatio numeric
@attribute x_HaralickRatio numeric
@attribute x_ThinnessR numeric
@attribute x_Roundness numeric
@attribute x_Compactness numeric
@attribute x_Solidity numeric
@attribute x_Convexity numeric
@attribute x_Concavity numeric
@attribute x_ArBBox numeric
@attribute x_Rectang numeric
@attribute x_Sphericity numeric
@attribute x_Elongation numeric
@attribute x_BendingEnergy numeric
@attribute x_Jaggedness numeric
@attribute x_Circularity numeric
@attribute x_Endocarp numeric
@attribute DistanceCM_FB numeric
@attribute Mean numeric
@attribute Min numeric
@attribute Max numeric
@attribute Mode numeric
@attribute StD numeric
@attribute Skewness numeric
@attribute Kurtosis numeric
@attribute IntensitySum numeric
@attribute Uniformity numeric
@attribute Entropy numeric
@attribute SmothnessR numeric
@attribute GLCM_Contrast numeric
@attribute GLCM_Correlation numeric
@attribute GLCM_Energy numeric
@attribute GLCM_Homogeneity numeric
@attribute Label {'Amorpha fruticosa','Anagyris foetida','Anthyllis barba-jovis','Anthyllis cytisoides','Astragalus glycyphyllos','Calicotome villosa','Caragana arborescens','Ceratonia siliqua','Colutea arborescens','Cytisus purgans','Cytisus scoparius','Dorycnium pentaphyllum','Dorycnium rectum','Hedysarum coronarium','Lathyrus aphaca','Lathyrus ochrus','Medicago sativa','Melilotus officinalis','Pisum sativum subsp. elatius','Senna alexandrina','Spartium junceum','Trifolium angustifolium','Vicia faba'}

@data
1604,224208,89694,29186,3073,8831,2488.5,199234,45192,71368,14593,44847,30504,82825,2056042,325,3352,31.34,254,504,645,889,884.5,2617834,613,325,2494,0.007,633,401,1379.792,13583,96.50961,0,233,115,4751,28314,800586,136609,998,15,0.000347,293163,0.89,81,706,'Amorpha fruticosa'
1409,195.439,84054,28.277,2.973,9242,2440.5,185923,42356,62.21,14138,42027,25684,83038,1866.696,336,2819,27109,254,504,0.577,951,1031.5,2376751,593,336,2157,3767,0.681,0.464,1213.561,7.17,95.264756,1,217,109,4342,37497,1404001,119928,0.999,8,0.00029,334913,0.886,0.08,0.712,'Amorpha fruticosa'
2011,247.38,98184,32.54,3017,8377,2584,219.759,50.601,78743,16.27,49092,29747,123521,2509228,331,2677,30.431,266,515,778,888,573,3194849,629,331,2.422,2435,643,413,1763.62,14.326,88.210648,1,214,111,3077,44.811,2006,171073,0.999,6,0.000146,294806,852,0.21,0.78,'Amorpha fruticosa'
2378,254593,103465,37417,2765,9077,2950.5,233.809,55025,81039,18709,51732,32793,114429,3040.556,0.362,3.066,27.257,0.283,532,0.806,0.918,572.5,3871.356,614,0.362,2169,13635,679,461,2123407,9214,55.58908,0,166,46,2194,48.734,2373,202237,0.999,5,0.000104,208764,887,94,721,'Amorpha fruticosa'
2855,286534,112898,39.64,2.848,9596,3403.5,253.652,60292,91.207,19.82,56449,36931,147381,3514843,0.351,3042,28.757,285,534,0.839,885,548.5,4475238,638,0.351,2.288,166,0.661,0.437,2568466,12307,89.657218,2,208,104,2.601,53.404,2850,242814,0.999,5,0.000104,322812,0.916,68,693,'Amorpha fruticosa'
2226,251421,102.46,34435,2975,8654,2785.5,230326,53.237,80.03,17218,51.23,30365,148536,2771079,336,2491,28397,0.27,0.52,799,0.916,559.5,3528.247,631,336,2.26,171,665,0.443,1974579,14171,84.59067,5,216,105,0,54.194,2935,189210,1,-0,0,291825,0.881,0.08,0.704,'Amorpha fruticosa'
2156,254.492,106104,34.114,3.11,8101,2700.5,231417,52394,81007,17.057,53052,31215,163.941,2842.85,322,2438,30.04,244,494,0.798,909,544.5,3619.629,596,322,2391,0.572,647,418,1901.508,8512,89.8264,2,208,93,0,54.194,2935,183260,1,-0,0,312282,894,81,718,'Amorpha fruticosa'
2940,290.919,117456,40.362,2.91,11495,4241.5,260.679,61183,92602,20.181,58728,35382,161234,3723369,344,2786,28787,271,521,693,0.896,1301.5,4740.74,0.62,344,2291,10967,0.661,0.437,2649.081,9435,84.910467,0,212,93,3025,54.194,2935,250064,0.999,4,0.000141,425.646,924,0.104,0.694,'Amorpha fruticosa'
2333,268.333,102.45,37421,2738,9459,3044.5,236.77,54.502,85413,18.71,51225,31301,160166,3011005,365,2.473,30.863,0.283,532,0.766,882,711.5,3833.73,609,365,2456,5083,638,0.407,2064667,16127,87.338679,0,229,56,2.422,48.27,2328,198422,0.999,5,0.000336,358.989,935,0.104,0.707,'Amorpha fruticosa'
1781,217.279,90.25,32235,2.8,9828,2786.5,201851,47.62,69.162,16118,45125,25104,96.72,2284885,0.357,2553,26.508,278,528,639,929,1005.5,2909.206,612,0.357,2109,531,0.689,474,1563721,11429,81.1143,0,233,19,4.674,29796,885913,151664,998,0.014,0.000336,383151,0.93,0.103,0.712,'Amorpha fruticosa'
