Var1,Area,Perimeter,x_Feret,x_Breadth,x_AspRatio,x_RFactor,x_ConvexArea,x_ConvexPerimeter,x_ArEquivD,x_PerEquivD,x_MinR,x_MaxR,x_avgR,x_VarianceR,x_EquivEllAr,x_ModRatio,x_HaralickRatio,x_ThinnessR,x_Roundness,x_Compactness,x_Solidity,x_Convexity,x_Concavity,x_ArBBox,x_Rectang,x_Sphericity,x_Elongation,x_BendingEnergy,x_Jaggedness,x_Circularity,x_Endocarp,DistanceCM_FB,Mean,Min,Max,Mode,StD,Skewness,Kurtosis,IntensitySum,Uniformity,Entropy,SmothnessR,GLCM_Contrast,GLCM_Correlation,GLCM_Energy,GLCM_Homogeneity,MeanIntensityR,StdDevR,MeanSqrtR,MeanIntensityG,StdDevG,MeanSqrtG,MeanIntensityB,StdDevB,MeanSqrtB,MeanIntensityH,StdDevH,MeanSqrtH,MeanIntensityS,StdDevS,MeanSqrtS,MeanIntensityV,StdDevV,MeanSqrtV,Label
11,2323,265948,106.668,37104,2875,8599,2881.5,239.51,54385,84654,18552,53.334,32777,178956,3108489,348,2.45,30447,0.26,0.51,0.806,0.901,558.5,3957.851,0.587,348,2423,2127,642,413,2057052,16086,84.5673249551167,0,225,88,7015,17.69,319.09,198399,993,43,0.0007563,268306,0.881,102,737,107.593806104129,49.1577256517703,10.3727434222644,79.4407540394973,43.9456903442795,8.91295428236324,50.532315978456,38.3745670602109,7.10860858244819,0.131429606183636,0.1504748219204,0.362532213994338,0.611404256018037,0.251113926310174,0.78192343360334,0.431022283240047,0.185649548506598,0.656522873356327,Amorpha fruticosa
12,1901,230.492,95.718,33119,2.89,7931,2385,213.996,49198,73368,16.56,47.859,28052,118.606,2489806,0.346,2576,27947,264,514,797,0.928,484,3170119,0.6,0.346,2224,5.798,0.671,0.45,1670.508,8455,101.09009009009,0,238,127,0,39.9,1590001,161585,1,-0,0,475151,872,73,0.686,123.568918918919,51.3333021673453,11.1161557617244,97.3351351351351,45.7978426153424,9.86585704007184,61.4914414414414,39.2353619402558,7.84164787792983,0.123288274794892,0.102218974858308,0.351124301060027,0.565710933576094,0.226087707881682,0.752137576229305,0.492527821939586,0.193466134421514,0.701803264412176,Amorpha fruticosa
13,1760,213.38,87664,31.32,2799,8355,2301,200646,47338,67921,15.66,43832,26086,113395,2156422,0.357,2.45,25.87,292,0.54,765,0.94,541,2745.642,0.641,0.357,2059,552,0.697,486,1546.62,12022,75.575073964497,1,213,87,0,39.9,1590001,149600,1,-0,0,386344,893,62,662,97.8498520710059,43.2373836272546,9.89190841400212,70.1068786982248,39.0437781936262,8.37298505302767,45.2932692307692,34.9403933929637,6.73002743165057,0.131576398385842,0.161074837105712,0.362734611507976,0.611544657630083,0.256976571944348,0.782013208091835,0.392731175310362,0.162976125953332,0.62668267513181,Amorpha fruticosa
14,1595,218.309,87464,29614,2.953,7555,2076,197.978,45065,69.49,14807,43732,29325,90193,2034.323,0.339,3088,29.88,265,515,768,907,481,2590181,616,0.339,2378,1952,649,0.421,1376691,13.824,97.6269455252918,0,240,136,3205,39.9,1590001,135703,0.999,8,0.0001579,315818,0.886,0.08,701,115.74173151751,52.638804386302,10.758333119843,95.3959143968872,49.0859801079059,9.76708320825041,61.6001945525292,41.0362095160642,7.84857914227341,0.138090159105795,0.120591395729676,0.371604842683454,0.550663393855048,0.251205046382202,0.742066973968689,0.465501258869306,0.200047896926856,0.682276526687901,Amorpha fruticosa
15,1604,224208,89694,29186,3073,8831,2488.5,199234,45192,71368,14593,44847,30504,82825,2056042,325,3352,31.34,254,504,645,889,884.5,2617834,613,325,2494,0.007,633,401,1379.792,13583,96.5096097845079,0,233,115,4751,28314,800586,136609,998,15,0.0003469,293163,0.89,81,706,114.969132207338,54.5789742596864,10.7223659799197,93.7909143855562,50.1690959900792,9.68457094483572,62.0425160163075,41.5075462592427,7.87670718106923,0.151741595380768,0.161188043487131,0.389540235894532,0.554123470525504,0.249599618855997,0.744394700763986,0.462560096840134,0.205193395157029,0.680117708077164,Amorpha fruticosa
16,1409,195.439,84054,28.277,2.973,9242,2440.5,185923,42356,62.21,14138,42027,25684,83038,1866.696,336,2819,27109,254,504,0.577,951,1031.5,2376751,593,336,2157,3767,0.681,0.464,1213.561,7.17,95.264756201882,1,217,109,4342,37497,1404001,119928,0.999,8,0.0002899,334913,0.886,0.08,0.712,123.173224978614,51.0001335877309,11.0983433438786,88.3053892215569,47.1251756378986,9.3970947223893,57.7861420017109,41.2023564462356,7.60171967397581,0.110719976471408,0.119407677229638,0.332746114134197,0.59064126104331,0.25249068649509,0.768531886809721,0.48995957664503,0.193586971787894,0.699971125579498,Amorpha fruticosa
17,2011,247.38,98184,32.54,3017,8377,2584,219.759,50.601,78743,16.27,49092,29747,123521,2509228,331,2677,30.431,266,515,778,888,573,3194849,629,331,2.422,2435,643,413,1763.62,14.326,88.2106481481482,1,214,111,3077,44.811,2006,171073,0.999,6,0.0001456,294806,852,0.21,0.78,110.568981481481,49.7716867982543,10.5151786233749,83.3018518518519,43.2562685318122,9.12698481711523,54.8319444444444,36.9845178468971,7.40485951551037,0.139234982256573,0.158725062502957,0.373142040323216,0.583802014403975,0.240888111660094,0.764069378004363,0.444911038489469,0.184869051311894,0.667016520402208,Amorpha fruticosa
18,2378,254593,103465,37417,2765,9077,2950.5,233.809,55025,81039,18709,51732,32793,114429,3040.556,0.362,3.066,27.257,0.283,532,0.806,0.918,572.5,3871.356,614,0.362,2169,13635,679,461,2123407,9214,55.5890804597701,0,166,46,2194,48.734,2373,202237,0.999,5,0.0001041,208764,887,94,721,71.9985632183908,37.3340698592033,8.48519671064795,51.3539272030651,33.4510595017643,7.16616544625263,34.3994252873563,30.8821343032393,5.86510232539521,0.152611879460877,0.188709189886056,0.390655704503181,0.648420644297486,0.265440450772573,0.805245704302411,0.297267297723688,0.137833478183624,0.545222246174611,Amorpha fruticosa
19,2855,286534,112898,39.64,2.848,9596,3403.5,253.652,60292,91.207,19.82,56449,36931,147381,3514843,0.351,3042,28.757,285,534,0.839,885,548.5,4475238,638,0.351,2.288,166,0.661,0.437,2568466,12307,89.657217847769,2,208,104,2.601,53.404,2850,242814,0.999,5,0.0001041,322812,0.916,68,693,112.805249343832,45.7121103347182,10.6209815621642,85.2136482939633,40.0895927128019,9.23112389116099,51.711811023622,35.6445216618498,7.19109247775483,0.122764858743534,0.103149847415207,0.350378165335019,0.600652377912118,0.237614899260926,0.775017662967831,0.452192887653751,0.171626802961788,0.672452888798725,Amorpha fruticosa
20,2226,251421,102.46,34435,2975,8654,2785.5,230326,53.237,80.03,17218,51.23,30365,148536,2771079,336,2491,28397,0.27,0.52,799,0.916,559.5,3528.247,631,336,2.26,171,665,0.443,1974579,14171,84.5906696764485,5,216,105,0,54.194,2935,189210,1,-0,0,291825,0.881,0.08,0.704,104.869826937547,40.5801349115909,10.2405970010321,80.2167042889391,38.1105477166446,8.95637785541337,53.8284424379233,34.8804421508017,7.33678692875316,0.128451019511958,0.120383191519706,0.358400641059636,0.554288425989754,0.256448978334445,0.744505490906383,0.423083846029007,0.152113837537728,0.65044895728182,Amorpha fruticosa
