Var1,Area,Perimeter,x_Feret,x_Breadth,x_AspRatio,x_RFactor,x_ConvexArea,x_ConvexPerimeter,x_ArEquivD,x_PerEquivD,x_MinR,x_MaxR,x_avgR,x_VarianceR,x_EquivEllAr,x_ModRatio,x_HaralickRatio,x_ThinnessR,x_Roundness,x_Compactness,x_Solidity,x_Convexity,x_Concavity,x_ArBBox,x_Rectang,x_Sphericity,x_Elongation,x_BendingEnergy,x_Jaggedness,x_Circularity,x_Endocarp,DistanceCM_FB,Mean,Min,Max,Mode,StD,Skewness,Kurtosis,IntensitySum,Uniformity,Entropy,SmothnessR,GLCM_Contrast,GLCM_Correlation,GLCM_Energy,GLCM_Homogeneity,MeanIntensityR,StdDevR,MeanSqrtR,MeanIntensityG,StdDevG,MeanSqrtG,MeanIntensityB,StdDevB,MeanSqrtB,MeanIntensityH,StdDevH,MeanSqrtH,MeanIntensityS,StdDevS,MeanSqrtS,MeanIntensityV,StdDevV,MeanSqrtV,Label
26,1607,160468,58.181,37976,1.532,19.001,3473,153438,45.234,51.079,18988,29.09,23.161,10.86,1735.323,653,7028,16024,604,777,0.463,956,1866,2209482,727,653,1275,0.1,0.886,784,1446.532,3509,90.0267857142857,0,209,85,6108,23314,545318,137018,996,23,0.0005735,640.23,867,539,792,124.471590909091,47.0754877624886,11.1566836877762,82.135551948052,42.6445300191736,9.06286665178584,40.3141233766234,39.9079101819168,6.34934038909739,0.144122507305662,0.188550666729211,0.379634702451794,0.717531184461851,0.250546893104958,0.847072124710671,0.495365418894831,0.173839938498976,0.703822007964251,Cytisus purgans
27,1496,148711,51,40,1275,19099,3060,143168,43644,47.336,20,25.5,21906,2485,1602.212,784,13897,14783,732,856,489,963,1564,2040,733,784,1176,161,922,0.85,1347289,9054,81.5478395061728,1,216,86,7.582,19934,403.133,127740,995,32,0.0008833,683.333,0.85,565,804,119.549382716049,44.9995009796971,10.9338640340938,70.1280864197531,41.0057792108697,8.37425139458764,40.6388888888889,38.1936844119224,6.37486383296843,0.141270098936116,0.224113919880334,0.375859147735048,0.694559267282682,0.255626753429143,0.833402224188706,0.474770031469379,0.167814603348524,0.689035580699124,Cytisus purgans
28,1143,139539,50.329,34.49,1459,10.274,1624.5,130595,38149,44417,17245,25164,19011,8673,1363316,685,6455,17035,575,758,0.704,0.936,481.5,1735.827,0.658,685,1.356,0.097,0.859,738,1003461,7191,106.902719665272,1,231,97,0,18489,339.878,97155,1,-0,0,612024,0.876,532,787,144.307531380753,51.5367361049359,12.0128069734244,100.109832635983,46.157089698074,10.0054901247257,43.7458158995816,37.7599365690688,6.614061981837,0.148263217927989,0.180129323148923,0.385049630473773,0.714355343158026,0.231801620006688,0.845195446721068,0.571781934531134,0.195189213404535,0.756162637619139,Cytisus purgans
29,1176,132953,43278,37558,1.152,21859,2972,128237,38695,42.32,18779,21639,19.478,2.666,1276625,868,11.928,15.031,799,894,396,965,1796,1625.45,723,868,1196,91,914,836,1043047,11261,62.1819056785371,0,196,14,0,18489,339.878,99960,1,-0,0,588.772,0.88,531,0.791,91.1318575553417,54.9768469003186,9.54630072621545,51.8084696823869,50.0732689126836,7.19781006156643,39.6198267564966,40.7282789796043,6.29442823110222,0.249175649332695,0.346619864496741,0.499174968655976,0.697481885385106,0.285416839917607,0.835153809417826,0.367642340863198,0.205565401952429,0.606335172048594,Cytisus purgans
30,1034,122569,46011,32.45,1.418,17416,2517.5,122.312,36284,39015,16225,23005,18.071,8.35,1172639,705,6254,14.529,622,789,0.411,998,1483.5,1493.051,693,705,1156,39,0.93,865,911431,2168,80.608407079646,1,212,95,7.462,18489,339.878,88306,0.994,33,0.0008557,635332,871,0.53,784,117.474557522124,48.1246928605983,10.838568056811,70.2134955752212,45.7647675438572,8.37934935273743,37.2809734513274,34.7328777059392,6.10581472461517,0.172499184111927,0.254631045587101,0.415330210930926,0.716781526490073,0.251057494835826,0.846629509579056,0.467660072878709,0.180555551892772,0.683856763422509,Cytisus purgans
31,1011,120.468,43278,31482,1375,19101,2597,119.517,35878,38346,15741,21639,17.763,5.627,1070.09,727,7489,14355,687,0.829,389,992,1586,1362481,742,727,1.142,0.082,0.936,875,890.532,6.094,85.4607142857143,1,205,65,0,35313,1245001,85935,1,-0,0,650.546,867,534,0.788,129.429464285714,48.4246411369162,11.3767070932548,72.1133928571429,46.4270748477235,8.49196048372476,38.7696428571429,39.555264084094,6.22652735135267,0.137612268927374,0.226661709712533,0.370961276856998,0.734548939862301,0.254414435148537,0.85705830598758,0.512286414565827,0.18189574016259,0.715741863080417,Cytisus purgans
32,1027,123397,45.804,32647,1403,17561,2527,120611,36161,39278,16323,22.902,17956,5194,1174.439,713,7879,14.826,623,789,406,977,1500,1495342,687,713,1.18,102,0.921,848,903.603,2.37,109.289251207729,0,237,96,0,35313,1245001,87295,1,-0,0,673477,862,537,0.79,140.146739130435,42.9810703952453,11.8383588022342,107.197463768116,40.0782499674307,10.3536208047289,39.1721014492754,41.5099591376022,6.25876197416672,0.139642012354898,0.102776837289586,0.373687051361026,0.736917560668831,0.258968661726152,0.858439025597527,0.558380695273277,0.158778096239845,0.747248750600011,Cytisus purgans
33,1655,159054,57.28,36,1591,16743,3013,154659,45.904,50628,18,28.64,24.758,9605,1619.554,628,7989,15286,642,0.801,0.549,972,1358,2062081,0.803,628,1216,0.577,907,0.822,1495.946,19151,109.649962602842,1,219,106,0,35313,1245001,140675,1,-0,0,568.579,0.849,637,841,151.658189977562,42.964499278106,12.3149579770928,101.250560957367,31.9228001000383,10.0623337729061,42.7419596110696,38.2586921757053,6.53773352248847,0.110567706428907,0.0849792054269942,0.332517227266359,0.714733175528771,0.249464037168438,0.845418934924438,0.599310719052017,0.161868287054032,0.774151612445532,Cytisus purgans
34,1367,146125,52.697,36255,1454,19127,3166.5,142247,41.72,46.513,18128,26349,20.6,10.73,1500549,688,6289,15.62,627,792,0.432,973,1799.5,1910559,715,688,1.243,1375,897,805,1220875,968,84.9618181818182,1,210,108,0,35313,1245001,116195,1,-0,0,578735,836,662,847,118.118181818182,47.8091694614045,10.8682188889524,74.3981818181818,50.1969514675604,8.62543806529163,52.3063636363636,45.6398824227841,7.2323138507924,0.151380577077407,0.245971280265225,0.389076569684435,0.612423655477291,0.282718604397624,0.782575015878536,0.468770053475936,0.180355676762353,0.684667841712999,Cytisus purgans
35,1404,143054,51313,39,1.316,9894,1595,139679,42.28,45535,19.5,25656,21.007,5.068,1571737,0.76,9331,14.576,679,0.824,0.88,976,191,2001.198,0.702,0.76,1.16,0.06,929,862,1260.946,2359,65.9598997493734,1,217,30,0,35313,1245001,119340,1,-0,0,611771,833,652,838,96.5112781954887,49.4504225381828,9.82401538045868,54.4022556390977,50.884003150175,7.37578847575618,45.2531328320802,45.6457482984601,6.72704488108116,0.305442356283352,0.386934045196754,0.552668396313152,0.643419072022041,0.306027682924115,0.802134073594957,0.387404786475994,0.184937051357529,0.622418497858148,Cytisus purgans
36,1250,139296,49.679,36.01,1.38,19494,3042.5,133.53,39894,44339,18005,24.839,19864,7.38,1405.048,725,7312,15523,645,0.803,0.411,0.959,1792.5,1788.962,0.699,725,1235,313,0.9,0.81,1110704,5285,90.3396048918156,1,221,131,3932,35313,1245001,106389,998,0.009,0.0002376,589.48,835,662,843,118.756349952963,52.867135229913,10.8975387107807,85.1147695202258,49.1964239942457,9.22576660880958,42.6114769520226,37.8649167553058,6.52774669790599,0.166526414195724,0.203550748040324,0.408076480816678,0.696532427130312,0.237388711183929,0.834585182668799,0.476247394536366,0.196312415565511,0.690106799369754,Cytisus purgans
37,1253,139539,47802,38.013,1258,23.023,3457.5,131841,39942,44417,19007,23901,19.71,5.122,1427141,795,8709,15.54,698,836,0.362,945,2204.5,1817092,0.69,795,1237,38,899,809,1113461,1.842,73.0758157389635,1,191,29,5.65,25.477,655155,106786,997,19,0.0004906,590776,0.829,672,0.849,110.619961612284,42.9694114645798,10.5176024650242,60.7332053742802,42.1966239537841,7.793151183846,38.0297504798464,36.3455250729596,6.16682661340875,0.173640251848165,0.275580945184737,0.416701634083867,0.694914513500729,0.268492888347593,0.833615327054829,0.440322155733695,0.159522618659456,0.663567747659344,Cytisus purgans
38,1053,126.468,42.72,33,1295,26421,3546,120915,36616,40256,16.5,21.36,18777,2688,1107223,772,11453,15189,735,857,297,956,2493,1409761,747,772,1209,0.189,0.91,0.827,926.532,7465,92.5986895986896,1,187,106,0,26.173,683.001,89505,1,-0,0,610631,0.839,0.64,0.83,126.428337428337,49.0466571070969,11.2440356379877,84.7551187551188,44.4903358497412,9.20625432817923,44.1359541359541,38.4511125807763,6.64348960531693,0.154145517997602,0.2091751778968,0.392613700725792,0.685562905559709,0.251713795718696,0.827987261713433,0.502991761815291,0.183463456945094,0.709219121157411,Cytisus purgans
39,1036,126.468,42544,32,1.33,25.423,3398,119.71,36319,40256,16,21272,18.444,2.49,1069.25,752,11.688,15.438,0.729,0.854,305,0.947,2362,1361411,0.761,752,1229,133,902,0.814,909.532,8445,98.3634627625716,1,247,71,0,26.173,683.001,88060,1,-0,0,626.343,838,631,0.827,136.646721833227,49.4857821092738,11.6895988739232,88.3672819859962,49.8080204723298,9.40038733170055,49.3621896880968,43.6440211507667,7.02582306125743,0.126490396553501,0.171682167133186,0.355654884056863,0.673276632982994,0.258043956317767,0.82053435819775,0.54175559466307,0.185513336093999,0.736040484391362,Cytisus purgans
40,688,109.841,41773,21.457,1.947,6.667,875,106126,29.597,34963,10728,20.887,16081,13.3,703.973,514,4.41,17.536,502,0.709,0.786,966,187,896326,768,514,1395,96,847,0.717,578159,3.038,113.688181056161,1,228,116,5681,26.173,683.001,58629,997,16,0.000496,564536,807,721,0.87,152.322715842414,45.7684641509721,12.3419089221406,106.770326906957,39.8145772515783,10.3329728010364,47.9228834870075,39.5988367702604,6.92263558819959,0.111550577842742,0.085537689535265,0.333991882899484,0.695195210644306,0.237163928433395,0.833783671370642,0.600805351478395,0.174241403065172,0.775116347059198,Cytisus purgans
41,1634,159882,57.009,37,1541,27658,4953.5,152855,45.612,50.892,18.5,28504,24024,6597,1656.66,649,9354,15644,0.64,0.8,0.33,956,3319.5,2109325,775,649,1245,0.059,0.896,0.803,1474118,3861,98.4053518334985,1,214,94,3562,40.386,1629001,139034,0.999,0.007,0.0001951,630893,0.837,636,0.834,135.506442021804,49.4615070804109,11.640723432064,90.1714568880079,48.9251466848421,9.49586525220361,43.4677898909812,43.1698519137766,6.59301068488298,0.133133101260965,0.165482109051057,0.364874089599364,0.718249341057536,0.252116958627991,0.847495923917948,0.53882119745817,0.183178775474753,0.734044411093886,Cytisus purgans
42,1512,153782,52393,38,1379,13633,2244,145546,43.876,48.95,19,26.196,22674,6517,1563668,725,8882,15.641,701,0.837,674,946,732,1990924,759,725,1245,45,0.896,0.803,1358.218,8127,87.9509536784741,1,254,24,3.703,38846,1507001,128664,0.999,8,0.0002109,627.51,0.844,625,0.83,120.761580381471,45.804841883455,10.9891574008871,80.2745231607629,48.6468456090118,8.95960507839285,41.3617166212534,38.1592912965151,6.4313075358945,0.164701237740747,0.225291084167992,0.405834002691675,0.700239632966812,0.251362297285298,0.836803222368803,0.482037719720041,0.170116788043077,0.694289363104492,Cytisus purgans
43,1440,153439,50.961,38759,1315,16599,2657.5,142.07,42.819,48841,19379,25.48,21678,5805,1551297,0.761,8997,16.35,706,0.84,542,0.926,1217.5,1975172,0.729,0.761,1301,0.052,877,769,1286.561,3116,109.791528239203,1,208,102,6041,22211,496.197,122795,996,25,0.000561,712289,0.839,584,0.806,138.964285714286,43.1118657812854,11.7883114021596,109.318106312292,37.3912072789964,10.4555299393332,35.703488372093,35.9603913598996,5.9752396079231,0.137271971883763,0.0748408909307893,0.370502323722487,0.763092576331067,0.219997069635723,0.87355170215109,0.552400495081754,0.159782258286117,0.743236500100577,Cytisus purgans
44,1526,152711,54672,39,1402,27.356,4698.5,146475,44.079,48.609,19.5,27336,22276,6938,1674625,713,8457,15282,0.65,0.806,325,0.959,3172.5,2132198,716,713,1216,271,907,0.822,1373289,23265,76.0249821556031,1,191,70,3174,39.026,1521001,129834,0.999,8,0.0001549,650264,0.854,581,804,125.521056388294,39.8445697038285,11.2036180043901,60.8265524625268,34.0252516758656,7.79913793072842,24.4496788008565,27.5843990891779,4.94466164675163,0.131275137011286,0.221461593452902,0.362319109365329,0.81193284487399,0.217386372983956,0.901073162886339,0.495464024296372,0.151525512332313,0.703892054434749,Cytisus purgans
1,1246,144953,51088,34208,1493,8259,1325.5,135369,39.83,46.14,17104,25544,20175,9.886,1372601,0.67,6.417,16863,608,0.78,0.94,934,79.5,1747649,713,0.67,1.342,155,863,745,1101047,3912,150.576008844666,21,230,147,9066,15867,251445,106624,992,47,1,229.599,851,0.054,607,187.518518518519,46.8942608194649,13.6937401216219,149.066334991708,41.9753670376213,12.2092725005099,61.3488114980652,42.697115117417,7.83254821230391,0.126241827497521,0.0485593159718986,0.355305259597324,0.682280047354862,0.204547948389223,0.826002449969043,0.739440054628815,0.177107521017982,0.859907003477013,Cytisus scoparius
2,975,126.953,44011,29,1518,7.58,1048,119.39,35234,40.41,14.5,22006,18267,4.514,1002427,659,8.597,16.53,0.641,0.801,0.93,0.94,73,1276.33,764,659,1315,0.296,872,0.76,848047,9362,90.3102652825836,1,231,59,6.583,22201,493608,83165,996,23,0.000666,181551,627,0.044,561,136.137254901961,55.8873926209831,11.6677870610481,76.3454440599769,55.4662245443974,8.73758800012778,42.0697808535179,46.8092380229718,6.48612217380446,0.153518040661153,0.251300102166563,0.391813783143412,0.744656194661766,0.247917046698278,0.862934641013887,0.538765633127529,0.211911253294109,0.734006562046641,Cytisus scoparius
3,2003,188024,64031,39,1642,10686,2149.5,173.654,50.5,59.85,19.5,32016,27.81,13022,1961.311,609,7706,17.65,622,789,932,924,146.5,2497218,802,609,1405,195,0.844,0.712,1814976,8978,139.021361815754,11,229,144,3952,31675,1002893,170505,998,12,0.0002401,432152,868,64,639,173.210947930574,50.2422012310205,13.1609630320343,136.653538050734,45.3189335227213,11.6898904208181,61.4759679572764,44.4625113970985,7.84066119388387,0.125167074888123,0.0673495700196503,0.353789591265943,0.659731608687001,0.21974677657192,0.812238640232661,0.682855572135398,0.192456185410314,0.826350756117158,Cytisus scoparius
4,1941,193924,67.231,37,1817,9786,2067,172.691,49713,61728,18.5,33615,27645,20705,1953713,0.55,6.076,19375,547,0.739,0.939,0.891,126,2487545,0.78,0.55,1.542,0.072,805,649,1747076,10.656,134.717601547389,3,234,81,0,23776,564211,164985,1,-0,0,462.107,856,63,638,171.490006447453,51.6153240255064,13.0954192925409,131.693745970342,50.6871971449424,11.4757895576009,53.8059316569955,48.9223649985444,7.33525266483681,0.129821928214311,0.0900560164029739,0.360308101788332,0.707321650384932,0.246249267932341,0.841024167539157,0.678239213157862,0.195415508733189,0.823552799253249,Cytisus scoparius
5,1131,142.853,48.6,33941,1432,8115,1239,128311,37948,45.471,16971,24.3,19.341,8824,1295556,698,6511,18043,0.61,0.781,0.913,898,108,1649.553,0.686,698,1436,0.022,835,696,988.147,3.151,127.300739523418,1,213,129,6226,23776,564211,96431,996,0.02,0.0005958,208.536,875,49,596,172.729663105998,48.8541571114875,13.1426657534154,120.236647493837,42.8096675544191,10.965247260953,44.4354971240756,40.6417595644788,6.66599558386259,0.11015236194823,0.0674559009950169,0.331892093832061,0.747206683623116,0.22640174857462,0.864411177405242,0.679978088195015,0.188435964708832,0.824607839033207,Cytisus scoparius
6,1624,182.652,61.984,34.49,1797,9092,1770.5,160481,45472,58.14,17245,30.992,23397,29486,1679021,556,4309,20.543,0.538,0.734,917,879,146.5,2137.796,0.76,556,1635,34,782,612,1441348,4.97,126.496489468405,1,235,130,0,33.956,1151001,138040,1,-0,0,520.16,871,78,659,155.70110330993,51.1178154169205,12.4780248160488,125.784353059178,47.6698467910276,11.2153623686075,53.530591775326,41.3380655037123,7.31646033101567,0.136322856037422,0.0830158494993133,0.369219251986435,0.67736945036518,0.224445412429372,0.823024574581574,0.618317698192617,0.191977112118111,0.78633179904708,Cytisus scoparius
7,1714,169.681,58.421,37.24,1569,9.93,1822.5,158888,46715,54011,18.62,29.21,25065,9413,1708.7,637,8169,16798,639,0.8,0.94,0.936,108.5,2175584,0.788,637,1337,0.01,865,748,1544319,10912,103.678044280443,7,234,108,0,33.956,1151001,145690,1,-0,0,518502,0.874,79,0.668,137.642066420664,42.5045228354497,11.7320955681696,98.7721402214022,37.8669332533243,9.93841739017849,39.8625461254613,36.7266929047517,6.31367928592047,0.13946076630734,0.143613943544002,0.373444462145765,0.72301288202252,0.236363157083966,0.850301641785149,0.547199913175603,0.158218014984786,0.739729621669704,Cytisus scoparius
8,1156,139681,52402,31.82,1.647,9093,1497,131924,38365,44.462,15.91,26201,19209,12452,1309597,607,5444,16878,536,732,772,0.944,341,1667431,693,607,1.343,0.014,863,745,1016319,3.462,121.591288229842,4,220,121,4529,33.956,1151001,98414,998,0.01,0.0003154,537749,912,0.173,772,167.598702502317,47.9339104985232,12.9459917542967,113.762743280816,41.2356149346065,10.665961901339,41.0898980537535,41.8248432610511,6.41014025226855,0.117111866876606,0.105355831880434,0.342216111363281,0.75547060951485,0.233096968605028,0.869178123007505,0.660804303185592,0.182153190702628,0.812898704135756,Cytisus scoparius
9,1413,162995,58669,34.34,1.708,9451,1742,149153,42.416,51883,17.17,29334,21.218,21915,1582.331,585,4533,18802,523,723,0.811,915,329,2014.687,701,585,1496,0.12,818,0.668,1250005,8331,126.882943143813,2,236,118,3.751,37.55,1408001,120246,0.999,8,0.0002163,508251,922,247,802,167.73132664437,44.1260654682331,12.9511129500275,120.647714604236,40.0672520278258,10.9839753552271,51.5440356744705,43.0995591442336,7.17941750244896,0.119490816834487,0.107000776844086,0.345674437635308,0.696097655946571,0.235047465353445,0.834324670584881,0.660707805976348,0.169009927360373,0.8128393481964,Cytisus scoparius
10,1137,140.51,50,32431,1.542,8655,1359.5,129636,38048,44.726,16.216,25,19.112,9877,1273566,649,6081,17364,579,0.761,836,0.923,222.5,1621555,701,649,1382,64,851,0.724,996.49,4.66,146.628264208909,11,232,183,6126,23.841,567.333,96937,996,0.02,0.0005768,560.04,0.91,182,0.788,187.182795698925,45.73309266926,13.6814763713177,142.184331797235,47.3400445254142,11.9241071698151,63.1351766513057,46.5063123003366,7.9457646989642,0.112250371253978,0.0365869453625545,0.335037865403268,0.678482156700353,0.223686946295731,0.823700283295055,0.736839251829763,0.175093786995668,0.858393413202689,Cytisus scoparius
11,1049,134953,47202,31557,1496,7775,1153,124598,36546,42957,15.779,23601,17986,9.312,1169903,669,5894,17.362,599,774,0.91,0.923,104,1489567,0.704,669,1382,77,851,0.724,914047,7699,124.964666292765,2,238,132,0,17117,291947,89165,1,-0,0,603.19,903,177,778,170.647784632642,49.9492155604131,13.0632225975309,117.278743690409,46.241573166156,10.8295310928225,44.6668536174986,39.9604189061121,6.68332653829652,0.111939492002113,0.0980989196014749,0.334573597287821,0.744255196714212,0.213516957561327,0.86270226423385,0.67172533623657,0.193309984221893,0.81958851641331,Cytisus scoparius
12,1135,155338,54672,28978,1.887,9889,1698.5,135506,38015,49.446,14489,27336,19117,22.933,1244303,0.53,3992,21.26,483,695,0.668,872,563.5,1584296,716,0.53,1692,95,769,591,979.662,3138,88.4495021337127,0,211,101,0,17117,291947,96475,1,-0,0,436727,0.931,0.202,0.79,94.0135135135135,46.2465983609563,9.69605659603498,94.5455192034139,45.800205028143,9.72345202093443,42.5028449502134,38.3282831245302,6.5194205992721,0.197903102251721,0.117910299470473,0.44486301515379,0.674627211307592,0.246343208246823,0.821356932951559,0.396873343932167,0.173449835190294,0.629978844035391,Cytisus scoparius
13,1466,184.409,61911,33.864,1828,9162,1782,154679,43.204,58699,16.932,30956,22715,27373,1646649,547,4342,23197,0.487,698,823,0.839,316,2096.579,0.699,547,1.846,0.027,736,542,1281.591,4.344,131.2856,3,245,136,8.598,17117,291947,125346,993,0.041,1,461995,929,266,0.791,168.4336,50.6850349635414,12.9781971012926,127.4328,45.3326540561991,11.2886137324297,53.5272,42.1479681732929,7.31622853661639,0.121347626500825,0.0647444025534251,0.348349862208707,0.696080852595115,0.216500972866532,0.834314600492593,0.664696470588234,0.192665328592886,0.8152891944508,Cytisus scoparius
14,1318,152.61,47.634,38799,1228,12.64,1891.5,136.574,40965,48577,19.4,23.817,20.696,2908,1451546,815,12137,17671,0.74,0.86,0.697,895,573.5,1848.166,713,815,1406,78,843,711,1165.39,9365,133.02268907563,3,235,114,0,17162,293638,112030,1,-0,0,486023,924,215,0.803,175.500840336134,48.931694888306,13.2476730158973,127.361344537815,44.8266882337483,11.2854483534247,50.6159663865546,45.0288711854335,7.11448988941264,0.113295062264773,0.0558511582652668,0.336593318805904,0.72288667909653,0.236762403451711,0.850227427866527,0.69133300378975,0.18771755300241,0.831464373133179,Cytisus scoparius
15,1175,141439,50.22,33234,1511,11.976,1889.5,130866,38679,45021,16617,25.11,19348,10618,1310.827,662,5938,17025,593,0.77,622,925,714.5,1668996,0.704,662,1355,135,0.859,738,1033.561,5244,85.6409807355517,0,229,32,8454,17162,293638,100454,993,0.04,1,500.122,0.923,259,773,140.980735551664,53.8637517051074,11.87353087972,66.5980735551664,51.6277931298124,8.16076427518688,38.6033274956217,38.9273273711733,6.2131576107179,0.191840153048502,0.316991084206853,0.43799560848084,0.747556365243481,0.248347532322743,0.86461341953701,0.556203427080115,0.206330648715398,0.745790471298819,Cytisus scoparius
16,890,127054,43382,27,1607,11692,1593.5,116.063,33.663,40442,13.5,21691,17393,8797,919948,622,5864,18.138,602,0.776,0.559,0.913,703.5,1171315,0.76,622,1443,175,0.832,693,762946,11.19,162.677865612648,7,243,171,8873,15.108,229.316,76177,991,51,1,375397,0.942,0.241,833,188.919960474308,41.150666650431,13.7448157672014,167.666996047431,35.9093095730596,12.94862911846,68.1541501976285,39.2590618741401,8.25555268880458,0.146950179085622,0.0419325960133108,0.38334081322711,0.649184118118077,0.188718292635334,0.805719627487178,0.749701619778346,0.149120088090454,0.865853116745759,Cytisus scoparius
17,1223,148752,54.818,30.8,1.78,8193,1411,137834,39461,47349,15.4,27.409,19805,21.7,1326059,562,4252,18093,518,0.72,867,927,188,1688391,0.724,562,1.44,0.056,833,695,1074248,2367,131.941060903733,1,243,158,5824,24713,609446,104243,997,19,0.0005214,493.78,0.921,0.35,815,174.188605108055,48.9050591055291,13.1980530802105,125.919449901768,46.0051234256361,11.2213836001524,52.0422396856582,44.7570430694442,7.2140307516435,0.118105514547093,0.0887588162032195,0.343664828789757,0.7161155370318,0.231121499321312,0.846236100052343,0.68731075927424,0.185924203028729,0.829042073283521,Cytisus scoparius
18,1389,155338,55.444,34665,1599,11712,2040,144264,42.054,49.446,17332,27.722,21.661,16049,1509495,625,5407,17372,575,758,0.681,929,651,1921.949,723,625,1382,0.07,851,723,1233662,2.962,130.085648148148,2,234,216,3864,37229,1384001,118209,0.999,0.009,0.0002295,465.669,0.923,373,828,174.844907407407,52.3166357824874,13.222893306966,121.818287037037,59.1874535641045,11.037132192605,55.1875,46.3552410408822,7.42882897905181,0.126717013649312,0.154723060356688,0.355973332778331,0.704076926911672,0.232152395556395,0.839092919116633,0.688448620188816,0.201684317191758,0.829728039895492,Cytisus scoparius
19,1468,174.309,57706,35289,1635,12.646,2292.5,150582,43.233,55.484,17.644,28853,22166,22595,1599361,612,4663,20697,561,0.749,0.64,0.864,824.5,2036369,721,612,1.647,77,779,607,1293691,6483,152.669693530079,14,243,157,8669,17095,290754,125523,993,39,1,533241,0.911,381,828,179.633371169126,44.8433710882012,13.402737450578,155.572077185017,39.2524995309904,12.4728536103418,67.0419977298524,45.8349986126619,8.1879177896369,0.144546658894381,0.0502656539827481,0.380192923256576,0.643763037101064,0.23275308033068,0.802348451173842,0.714580133983218,0.165954447437568,0.845328417825414,Cytisus scoparius
20,1697,181581,62032,35793,1733,14.976,2918.5,160906,46.483,57799,17896,31016,23745,22608,1743835,0.577,4994,19.429,562,0.749,581,0.886,1221.5,2220.32,764,0.577,1546,122,804,647,1515.419,1.917,149.704384724187,5,233,156,4757,29.46,873.11,144521,998,0.014,0.0003479,471.318,0.923,375,0.839,181.711456859972,45.0424278613833,13.4800392009805,150.069306930693,35.5086392544163,12.2502778307552,63.6195190947666,40.4083029823086,7.97618449477986,0.135017894456586,0.0537908224926665,0.367447811881614,0.654853802559976,0.207789541252079,0.80923037669132,0.718617744127354,0.166819197786823,0.847713244043854,Cytisus scoparius
21,2006,193338,67417,37911,1778,18.49,3916,175.8,50.538,61.541,18955,33708,27.633,18562,2007.341,562,6414,18634,562,0.75,512,909,1910,2555826,785,562,1483,109,821,674,1812662,7.826,105.295036252091,1,234,111,3483,44755,2001,170666,0.999,6,0.0001865,417.054,927,428,845,158.093139988846,56.9084156429816,12.573509453961,89.9369771332962,54.4164655032474,9.48351080208676,45.8806469604016,43.2497320029987,6.77352544546793,0.148578176405641,0.240921431695687,0.385458397762509,0.738014722858515,0.227208861442227,0.8590778328292,0.623474732893714,0.217524685395088,0.789604162155769,Cytisus scoparius
22,898,125054,43.186,26,1661,7.54,1023,116111,33814,39806,13,21.593,18119,5.486,881.866,602,7.736,17415,613,0.783,878,0.928,125,1122827,0.8,602,1386,0.352,0.849,722,772946,5955,136.728458049887,1,229,136,4.839,29.917,893.001,76475,998,0.013,0.0003599,534966,0.918,256,0.77,171.65589569161,48.2588861835885,13.1017516268478,135.351473922902,44.7228693851321,11.634065236318,52.0850340136054,41.9660022630612,7.21699619049404,0.127368164457483,0.0681950578070363,0.356886766996876,0.707496155044584,0.215485807504327,0.841127906471176,0.676830732292918,0.183784016171803,0.822697230026283,Cytisus scoparius
23,1420,153439,52202,37315,1399,9567,1569,142085,42521,48841,18657,26101,21.423,7171,1529872,715,8,16.58,0.663,815,905,0.926,149,1947894,0.729,715,1319,753,871,758,1266.561,4.28,115.114874815906,1,236,110,0,17677,312236,120700,1,-0,0,445955,0.923,0.427,823,162.061119293078,60.9060787218761,12.7303228275279,104.167157584683,52.7128108138528,10.2062313115412,48.3630338733431,38.620940252842,6.9543535913371,0.150858840802846,0.20656787650766,0.388405510778163,0.719797980615055,0.223193535945937,0.848409088008288,0.642655000144388,0.228483524625117,0.801657657697092,Cytisus scoparius
24,1860,184167,63325,38.761,1.634,10943,2177,166794,48.664,58622,19381,31662,26.3,12915,1927.801,612,7318,18235,591,768,0.854,0.906,317,2454553,758,612,1.451,21,0.83,0.689,1675.833,2739,145.530660377358,1,243,164,8211,17677,312236,158966,0.994,0.04,1,426171,919,489,828,177.806603773585,50.2084594240911,13.3344142643607,144.393867924528,45.5877058406732,12.0163999569142,66.5660377358491,43.3651037235259,8.15880124380102,0.130523552047465,0.0726826743748778,0.361280434077829,0.645151667248636,0.214135403040431,0.803213338564939,0.701757306696264,0.190992067784877,0.837709559869209,Cytisus scoparius
25,971,128125,46615,29.293,1591,12.199,1786.5,119979,35161,40783,14.646,23.308,17461,10672,1072455,628,5345,16906,569,754,544,0.936,815.5,1365.492,711,628,1345,87,862,743,842875,4819,148.825490196078,4,229,162,0,30439,924.57,82535,1,-0,0,474616,0.926,302,0.801,185.213725490196,43.1356284462796,13.6093249461609,146.95,34.3314738707126,12.122293512368,62.9450980392157,38.0769445346317,7.93379468093394,0.125249813378242,0.0456685725569123,0.353906503724136,0.659136935413492,0.199843557310886,0.811872487163774,0.731307189542482,0.161091319986185,0.855165007201816,Cytisus scoparius
