Area,Mean,Mode,Min,Max,Median,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,Label
57899,19261,0,85,229,0,1489.156,409.939,195.515,2.097,71.55,92146.5,1002.11,271.513,474.01300000000003,97.758,204.97,137.369,1598.723,62949.14599999999,0.47700000000000004,3.4360000000000004,38.301,0.439,0.662,0.628,0.6729999999999999,34247.5,80149.342,0.722,0.47700000000000004,3.048,0.22699999999999998,0.573,0.32799999999999996,56409.844000000005,95.595,4.258,26.319000000000003,696.0269999999999,4930837,0.997,0.023,0.0002788,185.495,0.9570000000000001,Asteraceae
58510,19456,0,85,234,0,1389.256,398.468,199.59900000000002,1.996,77.721,97293.0,996.85,272.942,442.214,99.8,199.234,134.539,1188.677,62465.905999999995,0.501,3.9019999999999997,32.986,0.469,0.685,0.601,0.718,38783.0,79534.062,0.736,0.501,2.625,0.022000000000000002,0.617,0.381,57120.744000000006,70.179,3.7569999999999997,29.873,898.307,4980762,0.998,0.018000000000000002,0.000217,181.78400000000002,0.9590000000000001,Asteraceae
39048,13011,0,85,237,0,1134.479,287.717,199.666,1.4409999999999998,60.453,54643.0,775.9580000000001,222.97400000000002,361.116,99.833,143.858,114.95700000000001,198.845,45118.958,0.6940000000000001,8.152000000000001,32.961,0.601,0.775,0.715,0.684,15595.0,57447.242,0.68,0.6940000000000001,2.623,0.043,0.617,0.381,37913.521,17.914,6.021,19.864,396.41900000000004,3330998,0.995,0.039,0.0005572999999999999,185.40400000000002,0.958,Asteraceae
37829,12608,0,85,236,0,1119.2069999999999,327.79400000000004,176.07,1.8619999999999999,54.073,55684.5,783.112,219.46599999999998,356.255,88.035,163.89700000000002,111.39399999999999,535.238,45328.925,0.537,4.815,33.113,0.44799999999999995,0.67,0.679,0.7,17855.5,57714.58,0.655,0.537,2.635,0.386,0.616,0.38,36709.793,14.597999999999999,6.185,19.166,368.994,3227754,0.9940000000000001,0.042,0.000588,191.22299999999998,0.956,Asteraceae
30656,10257,0,85,251,0,1274.545,306.53700000000003,165.399,1.8530000000000002,52.476000000000006,50535.0,736.045,197.56599999999997,405.7,82.7,153.269,101.46700000000001,427.95300000000003,39820.5,0.54,4.905,52.99,0.415,0.645,0.607,0.5770000000000001,19879.0,50701.035,0.605,0.54,4.217,3.563,0.48700000000000004,0.237,29381.455,6.485,8.982999999999999,13.698,188.231,2626018,0.9890000000000001,0.078,0.001,189.30200000000002,0.956,Asteraceae
27952,9323,0,85,235,0,1142.965,262.017,181.00099999999998,1.4480000000000002,43.297,35640.0,684.459,188.65200000000002,363.81699999999995,90.501,131.009,96.366,217.447,37247.881,0.691,6.535,46.736000000000004,0.518,0.72,0.784,0.599,7688.0,47425.474,0.589,0.691,3.719,6.569,0.519,0.26899999999999996,26809.035,17.928,6.8,17.586,310.23,2386793,0.993,0.049,0.0007106,174.535,0.96,Asteraceae
30499,10227,0,85,216,0,1238.739,279.217,186.94299999999998,1.494,106.27600000000001,93223.5,719.1469999999999,197.06,394.30300000000005,93.47200000000001,139.608,100.345,297.534,40996.017,0.67,5.817,50.312,0.498,0.706,0.327,0.581,62724.5,52197.75,0.584,0.67,4.004,0.22399999999999998,0.5,0.25,29260.261000000002,16.743,9.59,11.296,126.59899999999999,2618306,0.9840000000000001,0.106,0.001,200.924,0.953,Asteraceae
22441,7460,0,85,244,0,758.105,275.545,106.88799999999999,2.5780000000000003,72.418,62689.0,635.434,169.035,241.312,53.443999999999996,137.77200000000002,88.90899999999999,828.681,23131.833,0.38799999999999996,3.089,25.61,0.376,0.613,0.358,0.838,40248.0,29452.363999999998,0.762,0.38799999999999996,2.0380000000000003,0.161,0.7,0.491,21682.895,14.924000000000001,3.738,35.243,1262.878,1909906,0.998,0.013000000000000001,0.00021480000000000002,210.39,0.9520000000000001,Asteraceae
76134,67,0,0,239,0,1425.606,447.913,236.88400000000001,1.891,55.562,78184.5,1087.3310000000001,311.347,453.785,118.44200000000001,223.956,162.488,1190.155,83333.445,0.529,4.71,26.694000000000003,0.483,0.695,0.9740000000000001,0.763,2050.5,106103.43699999999,0.718,0.529,2.124,0.057999999999999996,0.6859999999999999,0.47100000000000003,74708.394,21.469,6.976,30.694000000000003,941.923,17318,0.998,0.017,0.0007479,352.048,0.97,Brassicaceae
115111,911,0,0,253,0,1462.4029999999998,441.55300000000005,327.91900000000004,1.347,84.92200000000001,117802.5,1250.368,382.837,465.49699999999996,163.96,220.77599999999998,194.544,403.048,113720.641,0.743,9.69,18.579,0.752,0.867,0.977,0.855,2691.5,144793.61800000002,0.795,0.743,1.4780000000000002,0.003,0.8220000000000001,0.6759999999999999,113648.597,43.512,21.886999999999997,10.710999999999999,112.806,233371,0.983,0.11,0.006999999999999999,392.168,0.9740000000000001,Brassicaceae
113276,346,0,0,249,0,1727.0620000000001,441.662,323.355,1.3659999999999999,84.345,117030.5,1247.723,379.773,549.741,161.678,220.831,192.463,452.84,112165.491,0.732,9.044,26.331999999999997,0.7390000000000001,0.86,0.968,0.722,3754.5,142813.539,0.7929999999999999,0.732,2.095,0.879,0.691,0.47700000000000004,111548.93800000001,31.162,13.390999999999998,17.101,291.297,88667,0.993,0.051,0.003,401.76300000000003,0.973,Brassicaceae
106473,43,0,0,244,0,1529.021,429.348,321.758,1.334,80.875,109087.0,1193.302,368.19199999999995,486.702,160.879,214.674,185.26,340.945,108499.9,0.7490000000000001,10.033,21.958000000000002,0.735,0.858,0.976,0.78,2614.0,138146.364,0.7709999999999999,0.7490000000000001,1.7469999999999999,0.247,0.757,0.5720000000000001,104943.979,12.825999999999999,4.717,44.985,2027.832,11193,0.9990000000000001,0.009000000000000001,0.0003421,406.901,0.972,Brassicaceae
95149,227,0,0,249,0,1560.3929999999998,405.346,306.082,1.324,77.237,98356.0,1132.749,348.06199999999995,496.689,153.041,202.673,174.243,313.53700000000003,97443.469,0.755,9.84,25.59,0.737,0.8590000000000001,0.9670000000000001,0.726,3207.0,124068.879,0.767,0.755,2.036,0.141,0.701,0.491,93588.60699999999,20.986,11.853,19.422,376.5,58124,0.995,0.04,0.002,399.55300000000005,0.973,Brassicaceae
94460,75,0,0,239,0,1600.317,384.267,326.617,1.177,81.117,97925.5,1119.042,346.8,509.397,163.309,192.13299999999998,173.61,119.36,98573.90800000001,0.85,15.890999999999998,27.112,0.815,0.902,0.965,0.6990000000000001,3465.5,125508.198,0.753,0.85,2.158,0.001,0.6809999999999999,0.46299999999999997,92859.683,11.318,6.659,32.471,1055.0739999999998,19401,0.998,0.016,0.0006814,394.231,0.9740000000000001,Brassicaceae
89004,71,0,0,246,0,1525.388,386.43,315.069,1.226,75.093,91163.5,1087.655,336.635,485.546,157.535,193.215,168.25599999999997,122.006,95623.906,0.815,15.232999999999999,26.143,0.759,0.871,0.976,0.713,2159.5,121752.13900000001,0.731,0.815,2.08,1.169,0.693,0.48100000000000004,87478.612,12.302999999999999,6.69,32.476,1056.337,18378,0.998,0.016,0.0006877000000000001,402.164,0.973,Brassicaceae
101403,75,0,0,241,0,1605.246,454.14599999999996,300.925,1.5090000000000001,77.436,110481.5,1191.575,359.319,510.966,150.46200000000002,227.07299999999998,183.041,553.696,107335.64300000001,0.6629999999999999,7.779,25.412,0.626,0.7909999999999999,0.9179999999999999,0.742,9078.5,136663.985,0.742,0.6629999999999999,2.022,0.12,0.703,0.495,99797.754,20.46,6.356,33.245,1105.379,19405,0.998,0.015,0.0006209,452.876,0.9740000000000001,Brassicaceae
103086,123,0,0,247,0,1704.6670000000001,456.098,286.0,1.595,84.897,121647.0,1206.046,362.289,542.612,143.0,228.049,183.47299999999998,830.345,102450.405,0.627,6.367000000000001,28.189,0.631,0.794,0.847,0.7070000000000001,18561.0,130443.90699999999,0.79,0.627,2.2430000000000003,8.033,0.6679999999999999,0.446,101381.33300000001,43.138000000000005,8.163,26.644000000000002,710.273,31641,0.997,0.023,0.001,453.115,0.975,Brassicaceae
89101,90,0,0,249,0,1587.79,450.62,256.0,1.76,75.236,106509.0,1147.5839999999998,336.819,505.409,128.0,225.31,173.226,1089.458,90602.44099999999,0.568,5.247999999999999,28.295,0.5589999999999999,0.747,0.8370000000000001,0.723,17408.0,115358.61099999999,0.772,0.568,2.252,0.03,0.6659999999999999,0.444,87513.21,39.813,7.499,28.886,836.74,23220,0.998,0.02,0.0008641,471.477,0.975,Brassicaceae
83652,149,0,0,240,0,1727.655,349.721,325.611,1.074,86.478,95012.0,1054.5339999999999,326.357,549.93,162.806,174.861,163.44799999999998,19.223,89435.776,0.9309999999999999,37.28,35.681,0.871,0.9329999999999999,0.88,0.61,11360.0,113873.16699999999,0.735,0.9309999999999999,2.839,3.592,0.593,0.35200000000000004,81924.345,16.029,9.799,21.432,458.276,38240,0.996,0.033,0.001,447.346,0.973,Brassicaceae
83237,49,0,0,245,0,1382.795,343.017,319.125,1.075,79.352,85511.0,1038.94,325.547,440.157,159.563,171.50900000000001,163.35399999999998,21.784000000000002,85974.04699999999,0.93,34.999,22.971999999999998,0.9009999999999999,0.9490000000000001,0.973,0.7509999999999999,2274.0,109465.556,0.76,0.93,1.828,1.21,0.74,0.547,81854.205,31.522,5.691,37.336,1395.329,12708,0.9990000000000001,0.012,0.0004978,466.34,0.972,Brassicaceae
77915,50,0,0,237,0,1401.648,337.291,297.496,1.1340000000000001,76.83800000000001,81419.5,1011.4639999999999,314.967,446.158,148.748,168.645,157.752,80.568,78809.02799999999,0.882,17.575,25.215,0.872,0.934,0.9570000000000001,0.722,3504.5,100342.771,0.7759999999999999,0.882,2.0069999999999997,0.11800000000000001,0.706,0.498,76513.352,38.89,5.92,35.787,1280.9489999999998,12900,0.998,0.013000000000000001,0.0005386,493.908,0.971,Brassicaceae
