GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V,Label
0.439,0.9620000000000001,5.2829999999999995,2.299,35.565,5.265,2.294,35.411,5.24,2.289,35.239000000000004,5.263,1.6219999999999999,15.519,0.159,1.705,5.3389999999999995,35.908,Amaranthacea
0.436,0.963,2.234,1.495,23.345,2.205,1.485,22.998,2.158,1.469,22.506,2.199,0.271,4.437,0.124,1.7069999999999999,2.2569999999999997,23.54,Amaranthacea
0.428,0.963,0.616,0.785,11.129000000000001,0.708,0.841,12.652000000000001,0.736,0.858,13.139000000000001,0.687,0.379,7.135,0.146,2.891,0.745,13.296,Amaranthacea
0.447,0.966,0.19899999999999998,0.446,7.053,0.195,0.441,6.8839999999999995,0.19,0.436,6.718999999999999,0.19399999999999998,0.02,1.032,0.013999999999999999,0.607,0.201,7.12,Amaranthacea
0.7829999999999999,0.9640000000000001,0.7440000000000001,0.863,12.65,0.82,0.9059999999999999,13.785,0.835,0.914,14.015,0.8,0.361,6.771,0.126,2.6060000000000003,0.8490000000000001,14.255,Amaranthacea
0.7709999999999999,0.965,0.08900000000000001,0.298,3.905,0.113,0.336,4.9510000000000005,0.121,0.34700000000000003,5.29,0.107,0.07200000000000001,3.1660000000000004,0.035,1.569,0.121,5.29,Amaranthacea
0.795,0.9640000000000001,0.6759999999999999,0.8220000000000001,12.790999999999999,0.6709999999999999,0.8190000000000001,12.677999999999999,0.677,0.823,12.779000000000002,0.675,0.349,8.161,0.042,1.065,0.695,13.110999999999999,Amaranthacea
0.7879999999999999,0.963,0.085,0.29100000000000004,3.821,0.10800000000000001,0.32899999999999996,4.87,0.115,0.33899999999999997,5.175,0.10300000000000001,0.068,3.0469999999999997,0.033,1.537,0.115,5.175,Amaranthacea
0.8490000000000001,0.965,0.617,0.7859999999999999,11.095,0.716,0.846,12.731,0.745,0.863,13.225999999999999,0.693,0.409,7.665,0.152,3.029,0.7509999999999999,13.345,Amaranthacea
0.816,0.968,0.055999999999999994,0.237,3.033,0.075,0.273,4.021,0.08,0.282,4.29,0.07,0.047,2.5380000000000003,0.026000000000000002,1.399,0.08,4.29,Amaranthacea
0.787,0.981,254.822,15.963,3.2969999999999997,0.6759999999999999,0.8220000000000001,12.162,0.687,0.8290000000000001,12.367,85.395,0.397,7.237,254.308,12.470999999999998,254.90400000000002,1.785,Apiaceae
0.8220000000000001,0.981,254.997,15.969000000000001,0.43200000000000005,0.008,0.091,1.344,0.008,0.092,1.3719999999999999,85.005,0.005,0.8140000000000001,254.99200000000002,1.307,254.99900000000002,0.201,Apiaceae
0.816,0.98,254.99400000000003,15.969000000000001,0.583,0.028999999999999998,0.171,2.543,0.028999999999999998,0.16899999999999998,2.489,85.01700000000001,0.012,1.137,254.96900000000002,2.661,254.99599999999998,0.354,Apiaceae
0.8079999999999999,0.9790000000000001,254.937,15.967,2.309,0.166,0.40700000000000003,5.975,0.17300000000000001,0.41600000000000004,6.224,85.09200000000001,0.10300000000000001,3.7089999999999996,254.847,5.532,254.976,0.892,Apiaceae
0.782,0.982,254.537,15.954,5.38,1.788,1.337,19.82,1.825,1.351,20.222,86.05,1.048,11.991,253.201,19.976,254.769,2.717,Apiaceae
0.7829999999999999,0.982,254.743,15.960999999999999,3.9930000000000003,0.98,0.99,14.727,1.0,1.0,15.020999999999999,85.574,0.5760000000000001,8.771,254.02200000000002,14.717,254.877,1.962,Apiaceae
0.782,0.982,254.827,15.963,3.312,0.631,0.794,11.776,0.643,0.802,12.012,85.367,0.379,7.1160000000000005,254.368,11.818,254.91400000000002,1.671,Apiaceae
0.777,0.983,254.671,15.958,4.545,1.212,1.101,16.326,1.238,1.113,16.686,85.70700000000001,0.728,9.836,253.78900000000002,16.340999999999998,254.84099999999998,2.262,Apiaceae
0.7390000000000001,0.98,254.84599999999998,15.964,3.267,0.562,0.75,11.165,0.563,0.75,11.186,85.324,0.297,6.093999999999999,254.45,10.962,254.926,1.5390000000000001,Apiaceae
0.733,0.98,254.829,15.963,3.1710000000000003,0.7829999999999999,0.885,13.312000000000001,0.7759999999999999,0.8809999999999999,13.181,85.463,0.379,6.8260000000000005,254.22099999999998,13.257,254.912,1.6119999999999999,Apiaceae
0.7829999999999999,0.981,254.798,15.962,3.928,0.742,0.861,12.76,0.7440000000000001,0.862,12.774000000000001,85.428,0.37799999999999995,6.944,254.282,12.355,254.905,1.821,Apiaceae
0.715,0.9790000000000001,254.984,15.968,0.758,0.672,0.82,12.714,0.621,0.7879999999999999,11.731,85.426,0.09300000000000001,2.164,254.37099999999998,11.890999999999998,254.988,0.478,Apiaceae
0.716,0.9790000000000001,254.982,15.968,1.11,0.077,0.27699999999999997,4.128,0.075,0.275,4.062,85.045,0.038,2.307,254.925,4.055,254.99099999999999,0.573,Apiaceae
0.643,0.972,254.88,15.965,3.1239999999999997,0.32299999999999995,0.568,8.283,0.336,0.58,8.627,85.18,0.205,5.266,254.692,7.919,254.95,1.3219999999999998,Apiaceae
0.7240000000000001,0.98,254.93,15.967,2.3680000000000003,0.21100000000000002,0.45899999999999996,6.694,0.215,0.46399999999999997,6.819,85.119,0.11800000000000001,3.935,254.787,6.8,254.963,1.179,Apiaceae
0.605,0.9690000000000001,254.959,15.967,1.3880000000000001,0.746,0.8640000000000001,13.182,0.711,0.843,12.558,85.47200000000001,0.106,2.7760000000000002,254.27200000000002,12.87,254.97,0.843,Apiaceae
0.608,0.9690000000000001,254.99900000000002,15.969000000000001,0.201,0.002,0.045,0.6629999999999999,0.002,0.046,0.669,85.001,0.001,0.40299999999999997,254.998,0.6970000000000001,255.0,0.121,Apiaceae
0.604,0.9690000000000001,254.995,15.969000000000001,0.54,0.021,0.146,2.167,0.021,0.146,2.176,85.012,0.013000000000000001,1.415,254.97799999999998,2.2159999999999997,254.997,0.295,Apiaceae
0.61,0.9690000000000001,254.99,15.968,0.7709999999999999,0.098,0.312,4.765,0.092,0.304,4.494,85.06,0.024,1.514,254.90599999999998,4.573,254.99400000000003,0.423,Apiaceae
0.61,0.9690000000000001,254.977,15.968,1.121,0.213,0.462,6.985,0.204,0.452,6.686,85.131,0.049,2.258,254.79,6.888999999999999,254.985,0.645,Apiaceae
0.541,0.97,254.99,15.968,0.746,0.042,0.204,3.02,0.042,0.204,3.032,85.025,0.026000000000000002,1.955,254.956,3.187,254.99400000000003,0.46299999999999997,Apiaceae
0.537,0.97,254.995,15.969000000000001,0.5660000000000001,0.016,0.128,1.9,0.016,0.127,1.8769999999999998,85.009,0.009000000000000001,1.02,254.983,1.916,254.997,0.301,Apiaceae
0.5489999999999999,0.97,254.905,15.966,2.146,0.987,0.993,15.04,0.945,0.972,14.395,85.61200000000001,0.243,5.06,254.02,14.947000000000001,254.93400000000003,1.367,Apiaceae
0.532,0.9690000000000001,254.953,15.967,1.57,0.35200000000000004,0.594,9.062999999999999,0.33799999999999997,0.581,8.681000000000001,85.214,0.11599999999999999,3.432,254.649,9.027999999999999,254.97099999999998,0.915,Apiaceae
0.53,0.977,254.195,15.943,7.041,3.0839999999999996,1.756,25.927,3.139,1.7719999999999998,26.379,86.806,1.828,15.610999999999999,251.87599999999998,26.301,254.58599999999998,3.6489999999999996,Apiaceae
0.531,0.9690000000000001,255.0,15.969000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,255.0,0.0,255.0,0.0,Apiaceae
0.45899999999999996,0.9590000000000001,254.94400000000002,15.967,1.847,0.248,0.498,7.407,0.25,0.5,7.465,85.147,0.13,4.183,254.74599999999998,7.604,254.96900000000002,1.008,Apiaceae
0.45299999999999996,0.961,254.672,15.958,4.9319999999999995,1.689,1.3,19.355,1.67,1.2919999999999998,19.12,86.01,0.537,7.982,253.33700000000002,19.184,254.829,2.148,Apiaceae
0.449,0.96,254.949,15.967,1.815,0.222,0.47100000000000003,7.007999999999999,0.22,0.469,6.945,85.13,0.10800000000000001,3.694,254.77599999999998,7.091,254.97099999999998,1.004,Apiaceae
0.45,0.961,254.96099999999998,15.967,1.682,0.126,0.354,5.202999999999999,0.129,0.359,5.3260000000000005,85.072,0.07400000000000001,3.133,254.875,5.209,254.981,0.823,Apiaceae
0.45,0.961,254.99599999999998,15.969000000000001,0.555,0.012,0.109,1.59,0.012,0.11,1.621,85.007,0.006999999999999999,0.99,254.988,1.63,254.998,0.294,Apiaceae
0.452,0.9620000000000001,254.748,15.960999999999999,3.8930000000000002,1.0070000000000001,1.003,14.909,1.0170000000000001,1.0090000000000001,15.062999999999999,85.59100000000001,0.57,8.605,253.97299999999998,15.234000000000002,254.865,2.11,Apiaceae
0.456,0.971,254.269,15.946,6.837000000000001,2.667,1.633,24.146,2.73,1.652,24.706,86.555,1.617,14.705,252.34799999999998,24.044,254.653,3.318,Apiaceae
0.447,0.96,254.96900000000002,15.968,1.515,0.096,0.31,4.548,0.098,0.314,4.658,85.054,0.06,2.823,254.905,4.5280000000000005,254.985,0.7290000000000001,Apiaceae
0.45299999999999996,0.9590000000000001,254.94099999999997,15.967,1.5719999999999998,0.5770000000000001,0.759,11.397,0.575,0.758,11.357999999999999,85.36399999999999,0.268,7.206,254.399,11.879000000000001,254.954,1.101,Apiaceae
0.44799999999999995,0.96,254.82,15.963,2.8930000000000002,1.13,1.063,16.037,1.114,1.055,15.802,85.68799999999999,0.45799999999999996,7.42,253.833,16.56,254.88400000000001,1.855,Apiaceae
0.46299999999999997,0.965,254.985,15.968,0.9640000000000001,0.06,0.244,3.6460000000000004,0.06,0.244,3.6430000000000002,85.035,0.031,1.965,254.93900000000002,3.705,254.99200000000002,0.527,Apiaceae
0.465,0.965,254.908,15.966,2.178,0.526,0.725,10.902999999999999,0.518,0.72,10.742,85.31700000000001,0.218,5.088,254.457,11.263,254.94099999999997,1.3419999999999999,Apiaceae
0.46299999999999997,0.9640000000000001,254.946,15.967,1.6440000000000001,0.379,0.616,9.346,0.365,0.605,9.004,85.23,0.126,3.634,254.61599999999999,9.46,254.965,1.008,Apiaceae
0.47600000000000003,0.97,254.69,15.959000000000001,4.373,1.179,1.0859999999999999,16.129,1.198,1.094,16.383,85.689,0.6920000000000001,9.599,253.815,16.225,254.84400000000002,2.259,Apiaceae
0.452,0.961,254.96400000000003,15.968,1.679,0.1,0.316,4.579,0.10400000000000001,0.322,4.765,85.056,0.065,2.99,254.90099999999998,4.5680000000000005,254.983,0.7959999999999999,Apiaceae
0.467,0.966,254.97,15.968,1.371,0.11,0.332,4.896,0.111,0.33299999999999996,4.907,85.064,0.061,2.785,254.885,5.118,254.982,0.8009999999999999,Apiaceae
0.485,0.9640000000000001,254.96200000000002,15.968,1.52,0.142,0.377,5.5729999999999995,0.14300000000000002,0.37799999999999995,5.602,85.08200000000001,0.083,3.321,254.852,5.797999999999999,254.97799999999998,0.88,Apiaceae
0.493,0.96,254.951,15.967,1.805,0.17600000000000002,0.419,6.172999999999999,0.17800000000000002,0.42200000000000004,6.239,85.102,0.1,3.653,254.82,6.33,254.97299999999998,0.973,Apiaceae
0.494,0.96,254.908,15.966,1.8730000000000002,2.134,1.4609999999999999,22.239,2.026,1.423,21.111,86.35600000000001,0.299,5.187,252.925,21.62,254.92700000000002,1.183,Apiaceae
0.491,0.96,254.868,15.965,2.565,0.946,0.972,14.759,0.915,0.956,14.267000000000001,85.57600000000001,0.317,5.769,254.048,14.865,254.917,1.5630000000000002,Apiaceae
0.509,0.9670000000000001,252.30200000000002,15.884,14.373,8.415,2.9010000000000002,41.867,8.636000000000001,2.9389999999999996,42.941,89.78399999999999,4.768,24.566,246.83,40.882,253.797,6.2139999999999995,Apiaceae
