*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V,Label
1.7009999999999998,0.001,0.767,0.588,169613.315,29.471,35.396,6.586,41.43899999999999,902623,0.9570000000000001,0.256,0.019,361.397,0.981,0.439,0.9620000000000001,5.2829999999999995,2.299,35.565,5.265,2.294,35.411,5.24,2.289,35.239000000000004,5.263,1.6219999999999999,15.519,0.159,1.705,5.3389999999999995,35.908,Amaranthacea
1.5959999999999999,0.024,0.792,0.627,160195.666,33.791,22.941999999999997,10.349,105.21700000000001,356271,0.982,0.11699999999999999,0.008,362.666,0.981,0.436,0.963,2.234,1.495,23.345,2.205,1.485,22.998,2.158,1.469,22.506,2.199,0.271,4.437,0.124,1.7069999999999999,2.2569999999999997,23.54,Amaranthacea
2.456,0.037000000000000005,0.638,0.40700000000000003,157487.078,12.197000000000001,12.284,17.91,320.32099999999997,109698,0.9940000000000001,0.047,0.002,358.593,0.982,0.428,0.963,0.616,0.785,11.129000000000001,0.708,0.841,12.652000000000001,0.736,0.858,13.139000000000001,0.687,0.379,7.135,0.146,2.891,0.745,13.296,Amaranthacea
1.331,1.216,0.867,0.752,153585.087,8.113,6.881,35.409,1253.249,30175,0.998,0.013000000000000001,0.0007276,342.43,0.982,0.447,0.966,0.19899999999999998,0.446,7.053,0.195,0.441,6.8839999999999995,0.19,0.436,6.718999999999999,0.19399999999999998,0.02,1.032,0.013999999999999999,0.607,0.201,7.12,Amaranthacea
2.54,0.092,0.627,0.39399999999999996,159330.68099999998,18.363,13.457,16.855,283.607,129263,0.993,0.054000000000000006,0.003,764.85,0.907,0.7829999999999999,0.9640000000000001,0.7440000000000001,0.863,12.65,0.82,0.9059999999999999,13.785,0.835,0.914,14.015,0.8,0.361,6.771,0.126,2.6060000000000003,0.8490000000000001,14.255,Amaranthacea
1.5319999999999998,1.681,0.8079999999999999,0.653,156070.146,24.186,4.71,43.887,1925.5839999999998,16941,0.9990000000000001,0.009000000000000001,0.000341,674.336,0.922,0.7709999999999999,0.965,0.08900000000000001,0.298,3.905,0.113,0.336,4.9510000000000005,0.121,0.34700000000000003,5.29,0.107,0.07200000000000001,3.1660000000000004,0.035,1.569,0.121,5.29,Amaranthacea
1.521,0.091,0.8109999999999999,0.6579999999999999,155264.97400000002,20.371,12.743,18.869,354.724,105943,0.9940000000000001,0.042,0.002,799.826,0.897,0.795,0.9640000000000001,0.6759999999999999,0.8220000000000001,12.790999999999999,0.6709999999999999,0.8190000000000001,12.677999999999999,0.677,0.823,12.779000000000002,0.675,0.349,8.161,0.042,1.065,0.695,13.110999999999999,Amaranthacea
1.8219999999999998,2.7460000000000004,0.741,0.5489999999999999,151548.69,53.818000000000005,4.618,45.006,2027.088,15761,0.9990000000000001,0.008,0.0003279,798.663,0.9,0.7879999999999999,0.963,0.085,0.29100000000000004,3.821,0.10800000000000001,0.32899999999999996,4.87,0.115,0.33899999999999997,5.175,0.10300000000000001,0.068,3.0469999999999997,0.033,1.537,0.115,5.175,Amaranthacea
2.224,0.08199999999999999,0.6709999999999999,0.45,128653.884,53.868,12.327,17.819000000000003,317.061,90458,0.9940000000000001,0.048,0.002,926.8960000000001,0.838,0.8490000000000001,0.965,0.617,0.7859999999999999,11.095,0.716,0.846,12.731,0.745,0.863,13.225999999999999,0.693,0.409,7.665,0.152,3.029,0.7509999999999999,13.345,Amaranthacea
1.7380000000000002,0.064,0.759,0.575,108325.95199999999,25.894000000000002,3.781,53.75899999999999,2888.61,7727,0.9990000000000001,0.006,0.0002198,815.248,0.88,0.816,0.968,0.055999999999999994,0.237,3.033,0.075,0.273,4.021,0.08,0.282,4.29,0.07,0.047,2.5380000000000003,0.026000000000000002,1.399,0.08,4.29,Amaranthacea
7.5360000000000005,9.526,0.364,0.133,36407.176,107.884,7.117999999999999,18.06,325.796,3271644,0.9940000000000001,0.044000000000000004,0.0007785,54.933,0.971,0.787,0.981,254.822,15.963,3.2969999999999997,0.6759999999999999,0.8220000000000001,12.162,0.687,0.8290000000000001,12.367,85.395,0.397,7.237,254.308,12.470999999999998,254.90400000000002,1.785,Apiaceae
1.7380000000000002,0.20600000000000002,0.759,0.575,77984.964,33.536,0.7609999999999999,163.1,26656.956000000002,6740956,1.0,0.0006703,8.916e-06,51.534,0.965,0.8220000000000001,0.981,254.997,15.969000000000001,0.43200000000000005,0.008,0.091,1.344,0.008,0.092,1.3719999999999999,85.005,0.005,0.8140000000000001,254.99200000000002,1.307,254.99900000000002,0.201,Apiaceae
1.6869999999999998,0.6990000000000001,0.77,0.593,74613.521,31.705,1.4969999999999999,87.52,7682.243,6451272,1.0,0.002,3.446e-05,55.178999999999995,0.9620000000000001,0.816,0.98,254.99400000000003,15.969000000000001,0.583,0.028999999999999998,0.171,2.543,0.028999999999999998,0.16899999999999998,2.489,85.01700000000001,0.012,1.137,254.96900000000002,2.661,254.99599999999998,0.354,Apiaceae
