*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,Label
1.501,0.136,0.816,0.6659999999999999,131943.229,55.138999999999996,1.078,116.13600000000001,13532.153,11351294,1.0,0.001,1.788e-05,75.604,0.9840000000000001,Apiaceae
2.028,0.297,0.7020000000000001,0.493,124000.524,19.21,9.352,15.31,233.74599999999998,10769221,0.991,0.063,0.001,72.128,0.985,Apiaceae
2.258,0.43700000000000006,0.6659999999999999,0.44299999999999995,143167.345,19.917,5.528,26.006999999999998,680.465,12372857,0.997,0.025,0.00046980000000000004,81.006,0.983,Apiaceae
13.370999999999999,0.503,0.273,0.075,21676.679,16.754,15.207,8.356,68.294,2054773,0.972,0.17800000000000002,0.004,40.356,0.992,Apiaceae
1.3459999999999999,0.28,0.862,0.743,99483.55,39.79,0.0,,,8567065,1.0,-0.0,0.0,75.499,0.985,Apiaceae
2.252,0.406,0.6659999999999999,0.444,131578.019,16.222,4.408,30.121,912.193,11369035,0.998,0.019,0.0002987,111.9,0.98,Apiaceae
4.3580000000000005,1.807,0.479,0.22899999999999998,113409.43800000001,32.015,11.635,11.555,132.85299999999998,9971094,0.985,0.105,0.002,117.68700000000001,0.98,Apiaceae
2.095,0.064,0.691,0.47700000000000004,119021.612,24.109,4.124,31.982,1030.5639999999999,10284130,0.998,0.017,0.0002615,118.959,0.98,Apiaceae
3.094,0.469,0.569,0.32299999999999995,99221.487,49.358999999999995,2.972,41.738,1750.395,8609670,0.9990000000000001,0.01,0.0001359,119.921,0.98,Apiaceae
1.662,0.27899999999999997,0.7759999999999999,0.602,104417.89300000001,60.458,0.888,133.327,17817.714,9002632,1.0,0.001,1.213e-05,111.02799999999999,0.981,Apiaceae
6.412000000000001,0.379,0.395,0.156,30070.612,62.618,8.763,14.869000000000002,220.609,2710479,0.991,0.065,0.001,107.288,0.982,Apiaceae
14.269,0.45299999999999996,0.265,0.07,26291.287,19.964000000000002,14.109000000000002,9.029,80.158,2471489,0.976,0.158,0.003,102.404,0.9840000000000001,Apiaceae
2.396,0.008,0.6459999999999999,0.41700000000000004,119131.087,46.672,2.5780000000000003,47.583999999999996,2270.873,10294981,0.9990000000000001,0.006999999999999999,0.0001022,122.374,0.9790000000000001,Apiaceae
1.6369999999999998,0.076,0.782,0.611,111055.141,11.905,7.212000000000001,19.896,396.371,9610020,0.995,0.039,0.0007992000000000001,118.07,0.98,Apiaceae
3.9530000000000003,0.259,0.503,0.253,121798.429,15.216,9.786,14.254000000000001,202.66400000000002,10649579,0.99,0.07200000000000001,0.001,127.086,0.978,Apiaceae
1.591,0.965,0.7929999999999999,0.629,155082.104,20.974,2.134,62.047,3890.4970000000003,13337956,0.9990000000000001,0.005,7.004e-05,114.398,0.981,Apiaceae
2.5580000000000003,0.254,0.625,0.391,156300.23,29.701999999999998,6.598,20.894000000000002,437.959,13527766,0.995,0.036000000000000004,0.000669,114.07700000000001,0.98,Apiaceae
1.827,0.02,0.74,0.547,146906.092,5.8020000000000005,5.695,24.9,623.094,12678345,0.997,0.027000000000000003,0.0004985,114.07600000000001,0.981,Apiaceae
6.053,0.16399999999999998,0.406,0.165,31087.742000000002,112.459,9.442,13.72,187.51,2798943,0.9890000000000001,0.075,0.001,92.257,0.9840000000000001,Apiaceae
2.491,0.33799999999999997,0.634,0.401,93106.06300000001,26.95,2.5660000000000003,46.082,2127.8720000000003,8065758,0.9990000000000001,0.008,0.00010120000000000001,113.037,0.981,Apiaceae
1.744,2.05,0.757,0.573,137705.93300000002,52.331,2.8339999999999996,44.558,1991.964,11862491,0.9990000000000001,0.009000000000000001,0.00012350000000000002,110.845,0.981,Apiaceae
2.135,0.467,0.684,0.46799999999999997,128784.71699999999,18.338,3.239,39.391,1555.846,11116624,0.9990000000000001,0.011000000000000001,0.00016130000000000002,115.734,0.9790000000000001,Apiaceae
2.141,0.053,0.6829999999999999,0.467,146998.995,38.592,3.5789999999999997,35.385,1258.594,12680241,0.998,0.013000000000000001,0.000197,123.169,0.976,Apiaceae
2.066,7.971,0.696,0.484,148199.34,47.965,14.145,10.375,105.99,12968360,0.982,0.12,0.003,123.587,0.976,Apiaceae
4.125,3.0469999999999997,0.49200000000000005,0.242,141888.99800000002,27.055999999999997,9.02,15.724,247.304,12376627,0.992,0.061,0.001,123.49700000000001,0.976,Apiaceae
14.61,48.081,0.262,0.068,90696.52,49.769,23.895,4.848,21.795,8517832,0.924,0.449,0.009000000000000001,100.376,0.981,Apiaceae
1.545,0.207,0.804,0.647,136909.77300000002,13.732999999999999,2.955,43.942,1941.6270000000002,11786121,0.9990000000000001,0.009000000000000001,0.0001343,122.15899999999999,0.976,Apiaceae
1.591,0.047,0.7929999999999999,0.629,115360.472,36.219,2.877,48.573,2381.636,9942557,0.9990000000000001,0.008,0.0001273,110.56700000000001,0.981,Apiaceae
8.839,1.993,0.336,0.113,97121.474,107.266,33.13,3.653,11.559000000000001,9401846,0.877,0.7190000000000001,0.017,112.625,0.981,Apiaceae
1.784,0.233,0.7490000000000001,0.561,108222.11099999999,31.574,4.772,29.820999999999998,896.045,9349967,0.998,0.019,0.00035010000000000005,117.875,0.98,Apiaceae
3.042,6.461,0.573,0.32899999999999996,67911.545,13.413,6.784,18.906,362.733,5936433,0.9940000000000001,0.042,0.0007072000000000001,111.33200000000001,0.981,Apiaceae
4.315,0.149,0.48100000000000004,0.23199999999999998,74721.818,12.235999999999999,10.505,13.173,173.202,6586237,0.988,0.085,0.002,122.262,0.9790000000000001,Apiaceae
1.57,17.570999999999998,0.7979999999999999,0.637,161073.205,57.126999999999995,6.372999999999999,23.069000000000003,533.96,13888875,0.996,0.03,0.0006241,94.777,0.978,Apiaceae
2.438,0.053,0.64,0.41,83430.857,62.242,3.298,37.463,1405.384,7236327,0.9990000000000001,0.012,0.0001672,120.038,0.98,Apiaceae
3.7710000000000004,0.049,0.515,0.265,98704.39199999999,8.119,8.52,17.416,302.77,8625195,0.993,0.049,0.001,116.73100000000001,0.98,Apiaceae
3.667,0.107,0.522,0.273,52537.827000000005,77.44,6.4,17.029,289.683,4620333,0.993,0.051,0.0006295,37.592,0.941,Asteraceae
2.543,0.109,0.627,0.39299999999999996,68426.34700000001,30.663,3.952,30.680999999999997,947.534,5952361,0.998,0.018000000000000002,0.00024019999999999996,39.657,0.9470000000000001,Asteraceae
1.6740000000000002,0.102,0.773,0.597,74365.717,129.63,2.785,46.857,2204.075,6432813,0.9990000000000001,0.008,0.0001193,39.904,0.9390000000000001,Asteraceae
1.736,6.146,0.759,0.5760000000000001,61231.337,12.675,8.839,15.6,242.175,5339164,0.992,0.057999999999999996,0.001,41.034,0.9390000000000001,Asteraceae
4.343,0.084,0.48,0.23,39287.117,53.494,4.934,25.182,640.49,3474311,0.997,0.026000000000000002,0.00037430000000000005,41.891000000000005,0.937,Asteraceae
1.891,0.138,0.727,0.529,44961.349,21.609,9.277000000000001,14.657,213.707,3939705,0.991,0.065,0.001,37.121,0.9420000000000001,Asteraceae
2.7439999999999998,0.045,0.604,0.364,29385.089,21.421999999999997,6.3629999999999995,19.703,391.494,2594695,0.995,0.040999999999999995,0.0006223,35.438,0.941,Asteraceae
