Area,Mean,Mode,Min,Max,Median,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V,Label
136566,45357,0,85,231,0,1573.8829999999998,520.3430000000001,347.027,1.499,120.679,197274.5,1366.421,416.991,500.983,173.513,260.172,208.03,894.66,141821.654,0.667,6.955,18.139,0.642,0.8009999999999999,0.6920000000000001,0.868,60708.5,180572.938,0.7559999999999999,0.667,0.541,0.97,254.99,15.968,0.746,0.042,0.204,3.02,0.042,0.204,3.032,85.025,0.026000000000000002,1.955,254.956,3.187,254.99400000000003,0.46299999999999997,Apiaceae
133530,44340,0,85,220,0,1586.771,539.1709999999999,339.295,1.589,114.82700000000001,194500.0,1381.254,412.33,505.085,169.648,269.585,205.861,1242.547,143679.12300000002,0.629,5.84,18.855999999999998,0.585,0.765,0.687,0.87,60970.0,182937.94100000002,0.73,0.629,0.537,0.97,254.995,15.969000000000001,0.5660000000000001,0.016,0.128,1.9,0.016,0.127,1.8769999999999998,85.009,0.009000000000000001,1.02,254.983,1.916,254.997,0.301,Apiaceae
125791,42067,0,85,249,0,1790.476,484.97900000000004,353.048,1.374,98.777,150497.0,1322.672,400.20300000000003,569.9259999999999,176.524,242.49,199.618,511.648,134476.55599999998,0.728,8.825,25.485,0.6809999999999999,0.825,0.836,0.7390000000000001,24706.0,171220.86899999998,0.735,0.728,0.5489999999999999,0.97,254.905,15.966,2.146,0.987,0.993,15.04,0.945,0.972,14.395,85.61200000000001,0.243,5.06,254.02,14.947000000000001,254.93400000000003,1.367,Apiaceae
145197,48331,0,85,254,0,2029.655,550.654,387.69699999999995,1.42,87.42200000000001,151234.5,1429.649,429.966,646.059,193.84900000000002,275.327,219.255,708.122,167672.44199999998,0.7040000000000001,8.238999999999999,28.372,0.61,0.7809999999999999,0.96,0.7040000000000001,6037.5,213487.18399999998,0.68,0.7040000000000001,0.532,0.9690000000000001,254.953,15.967,1.57,0.35200000000000004,0.594,9.062999999999999,0.33799999999999997,0.581,8.681000000000001,85.214,0.11599999999999999,3.432,254.649,9.027999999999999,254.97099999999998,0.915,Apiaceae
23671,8026,0,85,250,0,1994.3210000000001,553.413,72.545,7.629,24.073,41853.5,1144.6989999999998,173.605,634.812,36.272,276.707,148.868,6646.611999999999,31531.596,0.131,1.8259999999999998,168.025,0.098,0.314,0.5660000000000001,0.574,18182.5,40147.275,0.59,0.131,0.53,0.977,254.195,15.943,7.041,3.0839999999999996,1.756,25.927,3.139,1.7719999999999998,26.379,86.806,1.828,15.610999999999999,251.87599999999998,26.301,254.58599999999998,3.6489999999999996,Apiaceae
100789,33465,0,85,85,0,1305.45,450.09,301.959,1.4909999999999999,82.236,116281.5,1181.312,358.23,415.538,150.98,225.045,184.74599999999998,571.0169999999999,106742.602,0.6709999999999999,7.731,16.909000000000002,0.633,0.7959999999999999,0.867,0.905,15492.5,135908.902,0.742,0.6709999999999999,0.531,0.9690000000000001,255.0,15.969000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,255.0,0.0,255.0,0.0,Apiaceae
133522,44410,0,85,250,0,1943.981,523.077,358.336,1.46,86.696,142467.5,1359.691,412.31699999999995,618.788,179.168,261.539,210.1,730.805,147213.18300000002,0.685,7.772,28.303,0.621,0.7879999999999999,0.937,0.6990000000000001,8945.5,187437.646,0.7120000000000001,0.685,0.45899999999999996,0.9590000000000001,254.94400000000002,15.967,1.847,0.248,0.498,7.407,0.25,0.5,7.465,85.147,0.13,4.183,254.74599999999998,7.604,254.96900000000002,1.008,Apiaceae
115929,38949,0,85,245,0,2519.562,588.518,348.324,1.69,81.513,150708.0,1444.898,384.194,802.0010000000001,174.162,294.259,200.862,1449.443,161002.89,0.5920000000000001,5.276,54.75899999999999,0.426,0.653,0.769,0.573,34779.0,204995.247,0.5660000000000001,0.5920000000000001,0.45299999999999996,0.961,254.672,15.958,4.9319999999999995,1.689,1.3,19.355,1.67,1.2919999999999998,19.12,86.01,0.537,7.982,253.33700000000002,19.184,254.829,2.148,Apiaceae
120805,40172,0,85,242,0,1783.388,527.266,303.57099999999997,1.7369999999999999,141.637,234615.0,1338.243,392.191,567.67,151.786,263.633,200.696,1605.318,125712.972,0.5760000000000001,5.0089999999999995,26.326999999999998,0.5529999999999999,0.7440000000000001,0.515,0.75,113810.0,160062.72699999998,0.755,0.5760000000000001,0.449,0.96,254.949,15.967,1.815,0.222,0.47100000000000003,7.007999999999999,0.22,0.469,6.945,85.13,0.10800000000000001,3.694,254.77599999999998,7.091,254.97099999999998,1.004,Apiaceae
101205,33631,0,85,233,0,1983.513,522.961,288.119,1.815,67.033,110130.0,1277.116,358.968,631.372,144.059,261.48,186.446,1580.391,118339.748,0.551,4.69,38.875,0.47100000000000003,0.6859999999999999,0.919,0.644,8925.0,150674.84699999998,0.672,0.551,0.45,0.961,254.96099999999998,15.967,1.682,0.126,0.354,5.202999999999999,0.129,0.359,5.3260000000000005,85.072,0.07400000000000001,3.133,254.875,5.209,254.981,0.823,Apiaceae
105905,35166,0,85,212,0,1487.1070000000002,514.864,300.439,1.714,69.215,111954.5,1281.53,367.209,473.361,150.22,257.432,193.185,1541.47,121489.67199999999,0.584,4.92,20.881999999999998,0.509,0.713,0.946,0.862,6049.5,154685.455,0.685,0.584,0.45,0.961,254.99599999999998,15.969000000000001,0.555,0.012,0.109,1.59,0.012,0.11,1.621,85.007,0.006999999999999999,0.99,254.988,1.63,254.998,0.294,Apiaceae
31668,10587,0,85,251,0,1597.388,505.035,96.87200000000001,5.212999999999999,142.16,225553.5,1076.383,200.801,508.464,48.43600000000001,252.517,134.661,5468.393,38424.687000000005,0.192,1.821,80.575,0.158,0.39799999999999996,0.14,0.674,193885.5,48923.832,0.647,0.192,0.452,0.9620000000000001,254.748,15.960999999999999,3.8930000000000002,1.0070000000000001,1.003,14.909,1.0170000000000001,1.0090000000000001,15.062999999999999,85.59100000000001,0.57,8.605,253.97299999999998,15.234000000000002,254.865,2.11,Apiaceae
28554,9654,0,85,249,0,2262.7129999999997,629.327,73.693,8.54,28.903000000000002,57143.0,1304.45,190.673,720.2439999999999,36.847,314.663,155.121,7655.378000000001,36424.48,0.11699999999999999,1.7730000000000001,179.305,0.092,0.303,0.5,0.5760000000000001,28589.0,46377.08900000001,0.616,0.11699999999999999,0.456,0.971,254.269,15.946,6.837000000000001,2.667,1.633,24.146,2.73,1.652,24.706,86.555,1.617,14.705,252.34799999999998,24.044,254.653,3.318,Apiaceae
121040,40214,0,85,225,0,1908.9129999999998,550.706,317.58099999999996,1.734,98.515,170440.0,1357.7320000000002,392.57199999999995,607.626,158.79,275.353,195.946,1315.761,137361.104,0.5770000000000001,5.402,30.105,0.508,0.713,0.71,0.711,49400.0,174893.58899999998,0.6920000000000001,0.5770000000000001,0.447,0.96,254.96900000000002,15.968,1.515,0.096,0.31,4.548,0.098,0.314,4.658,85.054,0.06,2.823,254.905,4.5280000000000005,254.985,0.7290000000000001,Apiaceae
112577,37539,0,85,253,0,1521.859,443.041,330.0,1.3430000000000002,84.814,118048.0,1240.382,378.599,484.423,165.0,221.52,193.752,340.81199999999995,114827.888,0.745,10.495,20.573,0.73,0.855,0.9540000000000001,0.815,5471.0,146203.408,0.77,0.745,0.45299999999999996,0.9590000000000001,254.94099999999997,15.967,1.5719999999999998,0.5770000000000001,0.759,11.397,0.575,0.758,11.357999999999999,85.36399999999999,0.268,7.206,254.399,11.879000000000001,254.954,1.101,Apiaceae
124283,41599,0,85,254,0,2484.571,516.422,339.564,1.521,91.76899999999999,148884.5,1343.602,397.796,790.8639999999999,169.782,258.211,203.375,1066.367,137726.223,0.6579999999999999,6.228,49.67,0.593,0.77,0.835,0.541,24601.5,175358.473,0.7090000000000001,0.6579999999999999,0.44799999999999995,0.96,254.82,15.963,2.8930000000000002,1.13,1.063,16.037,1.114,1.055,15.802,85.68799999999999,0.45799999999999996,7.42,253.833,16.56,254.88400000000001,1.855,Apiaceae
156853,52101,0,85,248,0,1770.896,565.722,389.686,1.452,125.963,223869.5,1479.155,446.89099999999996,563.694,194.843,282.861,220.782,922.8610000000001,173144.099,0.6890000000000001,7.268,19.994,0.624,0.79,0.701,0.835,67016.5,220453.914,0.7120000000000001,0.6890000000000001,0.46299999999999997,0.965,254.985,15.968,0.9640000000000001,0.06,0.244,3.6460000000000004,0.06,0.244,3.6430000000000002,85.035,0.031,1.965,254.93900000000002,3.705,254.99200000000002,0.527,Apiaceae
158558,52842,0,85,255,0,2257.77,496.158,413.0,1.2009999999999998,112.49799999999999,175353.5,1455.944,449.31300000000005,718.67,206.5,248.079,226.215,167.605,160938.571,0.8320000000000001,17.473,32.149,0.82,0.9059999999999999,0.904,0.645,16795.5,204913.353,0.774,0.8320000000000001,0.465,0.965,254.908,15.966,2.178,0.526,0.725,10.902999999999999,0.518,0.72,10.742,85.31700000000001,0.218,5.088,254.457,11.263,254.94099999999997,1.3419999999999999,Apiaceae
148754,49524,0,85,250,0,1847.908,529.991,377.67800000000005,1.403,152.245,253490.5,1424.4,435.20099999999996,588.207,188.83900000000003,264.995,220.235,693.3989999999999,157209.659,0.713,8.363999999999999,22.956,0.674,0.821,0.5870000000000001,0.7709999999999999,104736.5,200165.555,0.743,0.713,0.46299999999999997,0.9640000000000001,254.946,15.967,1.6440000000000001,0.379,0.616,9.346,0.365,0.605,9.004,85.23,0.126,3.634,254.61599999999999,9.46,254.965,1.008,Apiaceae
32664,10933,0,85,248,0,1576.2579999999998,510.546,93.318,5.471,63.076,101169.0,1089.469,203.93400000000003,501.73900000000003,46.659,255.273,137.528,4961.22,37418.659,0.183,1.953,76.065,0.16,0.39899999999999997,0.32299999999999995,0.691,68505.0,47642.916,0.6859999999999999,0.183,0.47600000000000003,0.97,254.69,15.959000000000001,4.373,1.179,1.0859999999999999,16.129,1.198,1.094,16.383,85.689,0.6920000000000001,9.599,253.815,16.225,254.84400000000002,2.259,Apiaceae
94829,31506,0,85,217,0,1722.9370000000001,470.865,283.115,1.663,69.223,102399.5,1198.378,347.477,548.428,141.55700000000002,235.433,180.726,1072.9569999999999,104700.567,0.601,5.517,31.304000000000002,0.545,0.738,0.9259999999999999,0.696,7570.5,133308.902,0.711,0.601,0.452,0.961,254.96400000000003,15.968,1.679,0.1,0.316,4.579,0.10400000000000001,0.322,4.765,85.056,0.065,2.99,254.90099999999998,4.5680000000000005,254.983,0.7959999999999999,Apiaceae
