 ,Area,Mean,Mode,Min,Max,Median,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
27,5252,17,0,0,244,0,Plantaginaceae,384.458,146.997,49.502,2.970,17.370,8021.500,329.096,81.774,122.377,24.751,73.498,43.868,249.843,5715.037,0.337,2.775,28.143,0.309,0.556,0.655,0.856,2769.500,7276.611,0.722,0.337,2.240,0.096,0.668,0.447,4867.542,23.478,13.814,16.200,261.363,4477,0.992,0.051,0.003,1064.330,0.942,0.434,0.906,0.847,0.920,13.795,0.857,0.926,13.892,0.854,0.924,13.836,0.853,0.351,6.808,0.119,1.999,0.907,14.699
28,6971,14,0,0,230,0,Plantaginaceae,431.227,133.150,74.280,1.793,18.380,7688.500,332.190,94.211,137.264,37.140,66.575,49.542,108.428,7767.943,0.558,4.758,26.676,0.501,0.708,0.907,0.770,717.500,9890.453,0.705,0.558,2.123,3.807,0.686,0.471,6539.773,12.660,10.624,19.649,384.701,3765,0.995,0.036,0.002,1049.175,0.945,0.400,0.906,0.491,0.701,9.687,0.560,0.748,11.018,0.568,0.754,11.179,0.540,0.326,6.526,0.092,2.009,0.572,11.240
29,9291,24,0,0,247,0,Plantaginaceae,470.482,121.083,107.404,1.127,26.269,9992.500,354.697,108.764,149.759,53.702,60.541,54.458,9.221,10213.881,0.887,17.934,23.825,0.807,0.898,0.930,0.754,701.500,13004.717,0.714,0.887,1.896,0.288,0.726,0.527,8820.518,9.234,12.244,17.883,318.629,6357,0.994,0.044,0.002,1131.727,0.940,0.410,0.905,0.642,0.801,11.513,0.702,0.838,12.559,0.709,0.842,12.695,0.684,0.431,7.924,0.081,1.748,0.713,12.768
30,7875,20,0,0,244,0,Plantaginaceae,430.399,114.495,91.929,1.245,23.890,8593.000,329.443,100.134,137.000,45.964,57.247,49.796,23.154,8266.578,0.803,10.348,23.523,0.765,0.875,0.916,0.765,718.000,10525.334,0.748,0.803,1.872,0.526,0.731,0.534,7444.601,6.491,11.934,18.127,327.770,5187,0.994,0.043,0.002,1028.876,0.945,0.409,0.904,0.615,0.784,11.200,0.677,0.823,12.261,0.684,0.827,12.386,0.659,0.342,6.898,0.099,1.983,0.695,12.588
31,3971,44,0,0,250,0,Plantaginaceae,308.576,111.288,45.000,2.473,15.042,5259.000,262.246,71.106,98.223,22.500,55.644,40.901,106.665,3933.240,0.404,3.960,23.979,0.408,0.639,0.755,0.850,1288.000,5007.956,0.793,0.404,1.908,0.142,0.724,0.524,3662.424,19.047,25.884,8.854,76.501,11479,0.975,0.148,0.010,1121.512,0.942,0.379,0.887,3.071,1.752,27.532,2.876,1.696,25.760,2.725,1.651,24.397,2.890,0.504,7.816,0.408,3.721,3.099,27.752
32,4817,4,0,0,225,0,Plantaginaceae,339.831,108.559,59.565,1.823,20.305,6925.000,274.573,78.315,108.171,29.783,54.279,40.277,72.883,5078.644,0.549,4.718,23.974,0.520,0.721,0.696,0.808,2108.000,6466.331,0.745,0.549,1.908,0.057,0.724,0.524,4477.169,5.480,7.361,28.350,803.110,1251,0.998,0.017,8.325E-4,841.597,0.955,0.413,0.898,0.235,0.485,6.659,0.268,0.517,7.582,0.277,0.526,7.851,0.260,0.169,4.799,0.048,1.402,0.277,7.851
33,5683,3,0,0,226,0,Plantaginaceae,403.428,112.947,69.161,1.633,18.612,6604.000,299.992,85.064,128.415,34.580,56.473,43.465,60.003,6135.133,0.612,5.611,28.639,0.567,0.753,0.861,0.744,921.000,7811.494,0.728,0.612,2.279,0.565,0.662,0.439,5279.572,11.892,5.671,37.807,1431.025,854,0.999,0.010,4.943E-4,904.597,0.952,0.415,0.897,0.133,0.365,5.015,0.156,0.395,5.887,0.162,0.402,6.109,0.150,0.097,3.661,0.032,1.213,0.162,6.116
34,8197,141,0,0,253,0,Plantaginaceae,588.122,133.989,91.550,1.464,22.001,9261.000,356.635,102.160,187.205,45.775,66.994,52.132,76.958,9634.190,0.683,5.943,42.197,0.581,0.762,0.885,0.606,1064.000,12266.632,0.668,0.683,3.358,0.387,0.546,0.298,7608.878,39.577,31.075,6.911,46.023,36300,0.960,0.253,0.015,1013.725,0.947,0.409,0.906,4.307,2.075,30.391,4.475,2.115,31.378,4.503,2.122,31.562,4.428,1.737,15.471,0.480,4.071,4.624,32.426
35,6650,3,0,0,248,0,Plantaginaceae,393.872,144.917,62.681,2.312,23.292,10604.000,339.971,92.017,125.373,31.341,72.459,46.841,199.397,7134.222,0.433,3.317,23.329,0.403,0.635,0.627,0.863,3954.000,9083.574,0.732,0.433,1.856,0.083,0.734,0.539,6256.128,0.319,5.434,41.225,1710.863,883,0.999,0.008,4.540E-4,1014.276,0.928,0.590,0.917,0.126,0.355,5.240,0.135,0.367,5.502,0.137,0.371,5.607,0.133,0.043,2.362,0.026,1.202,0.144,5.863
36,5158,3,0,0,218,0,Plantaginaceae,366.215,112.579,64.811,1.737,22.074,7807.000,288.461,81.039,116.570,32.406,56.289,41.479,91.369,5730.552,0.576,4.339,26.001,0.518,0.720,0.661,0.788,2649.000,7296.365,0.707,0.576,2.069,0.512,0.695,0.483,4791.785,22.103,5.767,35.942,1291.574,828,0.998,0.011,5.112E-4,955.030,0.949,0.406,0.900,0.146,0.382,5.260,0.167,0.408,5.987,0.169,0.411,6.072,0.161,0.102,3.648,0.027,1.012,0.169,6.072
37,5868,36,0,0,240,0,Plantaginaceae,428.198,110.277,73.912,1.492,21.669,7507.000,298.471,86.437,136.300,36.956,55.138,43.155,50.993,6401.594,0.670,6.043,31.246,0.614,0.784,0.782,0.697,1639.000,8150.762,0.720,0.670,2.487,0.309,0.634,0.402,5439.802,15.912,18.412,11.599,132.918,9270,0.985,0.096,0.005,1082.151,0.943,0.405,0.903,1.499,1.225,17.523,1.603,1.266,18.688,1.636,1.279,19.071,1.580,0.926,11.416,0.200,2.600,1.659,19.331
38,5080,107,0,0,254,0,Plantaginaceae,402.399,109.385,64.000,1.709,26.765,9197.500,286.416,80.424,128.088,32.000,54.692,41.319,72.277,5498.272,0.585,4.860,31.875,0.541,0.735,0.552,0.712,4117.500,7000.617,0.726,0.585,2.537,0.180,0.628,0.394,4677.601,7.917,34.603,6.220,36.806,27646,0.952,0.291,0.018,1054.820,0.944,0.411,0.893,5.483,2.342,34.972,5.420,2.328,34.456,5.421,2.328,34.453,5.441,2.545,21.499,0.499,3.546,5.682,36.123
39,6404,50,0,0,243,0,Plantaginaceae,468.240,113.004,76.317,1.481,20.339,7220.500,306.588,90.299,149.045,38.158,56.502,45.114,50.059,6773.387,0.675,6.376,34.236,0.639,0.799,0.887,0.655,816.500,8624.144,0.743,0.675,2.724,0.510,0.606,0.367,5935.760,12.950,20.628,10.219,102.679,12832,0.981,0.120,0.007,1037.035,0.945,0.419,0.911,1.893,1.376,19.565,2.039,1.428,20.987,2.079,1.442,21.398,2.004,1.077,12.116,0.264,3.113,2.105,21.667
40,7585,11,0,0,225,0,Plantaginaceae,418.257,144.267,71.002,2.032,34.241,15519.000,348.360,98.273,133.135,35.501,72.134,48.404,170.791,8044.990,0.492,3.704,23.064,0.464,0.681,0.489,0.833,7934.000,10243.200,0.740,0.492,1.835,0.021,0.738,0.545,7166.743,10.034,9.000,23.294,541.866,2932,0.996,0.026,0.001,1079.878,0.945,0.375,0.905,0.357,0.598,8.353,0.393,0.627,9.151,0.409,0.639,9.515,0.386,0.246,5.920,0.067,1.714,0.413,9.605
41,7816,154,0,0,255,0,Plantaginaceae,495.855,131.484,80.350,1.636,31.074,12835.500,342.415,99.758,157.836,40.175,65.742,49.627,105.125,8297.488,0.611,4.840,31.458,0.576,0.759,0.609,0.691,5019.500,10564.689,0.740,0.611,2.503,0.055,0.632,0.399,7320.145,13.710,33.388,6.478,40.149,39525,0.955,0.280,0.017,1002.110,0.949,0.376,0.903,5.026,2.242,33.272,5.065,2.251,33.437,5.079,2.254,33.508,5.057,2.455,19.924,0.358,2.928,5.213,34.405
42,5106,50,0,0,248,0,Plantaginaceae,428.056,126.127,61.000,2.068,29.439,11665.000,297.740,80.630,136.254,30.500,63.063,44.585,128.486,6042.651,0.484,3.933,35.886,0.409,0.639,0.438,0.696,6559.000,7693.742,0.664,0.484,2.856,0.074,0.592,0.350,4677.944,6.407,23.519,9.191,82.787,12960,0.977,0.147,0.008,938.400,0.952,0.384,0.914,2.509,1.584,23.352,2.547,1.596,23.593,2.558,1.599,23.680,2.538,1.327,14.259,0.252,2.738,2.650,24.563
43,7108,128,0,0,254,0,Plantaginaceae,513.394,137.306,74.057,1.854,32.914,14198.000,340.852,95.132,163.418,37.028,68.653,48.487,127.902,7986.293,0.539,4.287,37.081,0.480,0.693,0.501,0.664,7090.000,10168.464,0.699,0.539,2.951,0.128,0.582,0.339,6594.606,4.280,32.019,6.781,44.188,33002,0.959,0.259,0.016,1179.282,0.936,0.304,0.866,4.605,2.146,31.873,4.643,2.155,32.006,4.679,2.163,32.242,4.642,2.150,19.323,0.394,3.250,4.816,33.195
