 ,Area,Mean,Mode,Min,Max,Median,Label,Perimeter,*Feret,*Breadth,*AspRatio,*RFactor,*ConvexArea,*ConvexPerimeter,*ArEquivD,*PerEquivD,*MinR,*MaxR,*avgR,*VarianceR,*EquivEllAr,*ModRatio,*HaralickRatio,*ThinnessR,*Roundness,*Compactness,*Solidity,*Convexity,*Concavity,*ArBBox,*Rectang,*Sphericity,*Elongation,*Bending Energy,*Jaggedness,*Circularity,*Endocarp,Distance CM-FB,StD,Skewness,Kurtosis,Intensity sum,Uniformity,Entropy,Smothness R,GLCM-Contrast,GLCM-Correlation,GLCM-Energy,GLCM-Homogeneity,Mean Red,Sqrt Mean Red,StD Red,Mean Green,Sqrt Mean Green,StD Green,Mean Blue,Sqrt Mean Blue,StD Blue,Mean RGB,Mean H,StD H,Mean S,StD S,Mean V,StD V
11,83652,149,0,0,240,0,Brassicaceae,1727.655,349.721,325.611,1.074,86.478,95012.000,1054.534,326.357,549.930,162.806,174.861,163.448,19.223,89435.776,0.931,37.280,35.681,0.871,0.933,0.880,0.610,11360.000,113873.167,0.735,0.931,2.839,3.592,0.593,0.352,81924.345,16.029,9.799,21.432,458.276,38240,0.996,0.033,0.001,447.346,0.973,0.521,0.949,0.407,0.638,8.742,0.475,0.689,10.174,0.490,0.700,10.503,0.457,0.295,6.338,0.093,2.113,0.490,10.506
12,83237,49,0,0,245,0,Brassicaceae,1382.795,343.017,319.125,1.075,79.352,85511.000,1038.940,325.547,440.157,159.563,171.509,163.354,21.784,85974.047,0.930,34.999,22.972,0.901,0.949,0.973,0.751,2274.000,109465.556,0.760,0.930,1.828,1.210,0.740,0.547,81854.205,31.522,5.691,37.336,1395.329,12708,0.999,0.012,4.978E-4,466.340,0.972,0.518,0.949,0.136,0.369,5.089,0.158,0.398,5.905,0.163,0.404,6.087,0.153,0.096,3.586,0.030,1.207,0.164,6.093
13,77915,50,0,0,237,0,Brassicaceae,1401.648,337.291,297.496,1.134,76.838,81419.500,1011.464,314.967,446.158,148.748,168.645,157.752,80.568,78809.028,0.882,17.575,25.215,0.872,0.934,0.957,0.722,3504.500,100342.771,0.776,0.882,2.007,0.118,0.706,0.498,76513.352,38.890,5.920,35.787,1280.949,12900,0.998,0.013,5.386E-4,493.908,0.971,0.501,0.945,0.147,0.384,5.280,0.172,0.414,6.139,0.178,0.421,6.348,0.166,0.106,3.784,0.034,1.258,0.178,6.350
14,59182,41,0,0,236,0,Brassicaceae,1269.315,387.181,216.381,1.789,60.157,73172.500,944.669,274.505,404.035,108.190,193.590,137.305,799.926,65799.405,0.559,4.855,27.224,0.503,0.709,0.809,0.744,13990.500,83778.405,0.706,0.559,2.166,0.005,0.679,0.462,57912.685,12.810,6.245,34.467,1188.503,10737,0.998,0.014,5.995E-4,440.177,0.973,0.533,0.949,0.168,0.410,5.802,0.187,0.433,6.445,0.189,0.435,6.510,0.182,0.106,3.729,0.026,0.996,0.191,6.559
15,106241,177,0,0,254,0,Brassicaceae,1762.366,448.813,299.000,1.501,77.754,109632.000,1209.127,367.791,560.978,149.500,224.406,188.507,640.790,105396.546,0.666,7.447,29.235,0.672,0.819,0.969,0.686,3391.000,134195.051,0.792,0.666,2.326,0.035,0.656,0.430,104478.634,16.164,9.574,22.444,502.854,45327,0.996,0.031,0.001,492.825,0.953,0.709,0.956,0.392,0.626,8.823,0.437,0.661,9.805,0.451,0.671,10.109,0.427,0.277,6.269,0.066,1.661,0.451,10.120
16,108320,128,0,0,255,0,Brassicaceae,1715.170,450.014,302.000,1.490,92.773,131159.000,1217.485,371.372,545.956,151.000,225.007,191.681,568.540,106739.036,0.671,8.039,27.158,0.681,0.825,0.826,0.710,22839.000,135904.362,0.797,0.671,2.161,0.013,0.680,0.463,106604.830,31.022,8.129,26.731,714.313,32971,0.997,0.022,0.001,501.794,0.951,0.713,0.956,0.282,0.531,7.559,0.311,0.557,8.295,0.320,0.566,8.548,0.304,0.200,5.429,0.043,1.312,0.321,8.561
17,79051,130,0,0,235,0,Brassicaceae,1726.702,415.448,254.558,1.632,63.774,83236.000,1070.625,317.255,549.626,127.279,207.724,157.393,714.377,83060.398,0.613,5.889,37.716,0.583,0.764,0.950,0.620,4185.000,105755.783,0.747,0.613,3.001,0.042,0.577,0.333,77324.298,19.997,9.340,22.079,486.362,33429,0.996,0.031,0.001,489.819,0.947,0.746,0.959,0.370,0.608,8.205,0.439,0.663,9.697,0.459,0.678,10.143,0.423,0.284,6.329,0.102,2.401,0.460,10.160
18,87290,122,0,0,250,0,Brassicaceae,1410.285,393.650,312.130,1.261,98.392,121680.500,1091.115,333.378,448.908,156.065,196.825,168.050,268.816,96501.764,0.793,10.250,22.785,0.717,0.847,0.717,0.774,34390.500,122869.863,0.710,0.793,1.813,0.029,0.743,0.552,85879.715,22.135,9.106,25.319,641.196,31457,0.997,0.025,0.001,486.348,0.947,0.746,0.959,0.366,0.605,9.310,0.364,0.604,9.206,0.350,0.592,8.836,0.360,0.098,3.291,0.046,1.244,0.380,9.612
19,81271,211,0,0,242,0,Brassicaceae,1612.560,341.658,314.537,1.086,79.737,85585.500,1034.275,321.679,513.294,157.268,170.829,160.698,20.546,84402.002,0.921,35.452,31.996,0.886,0.942,0.950,0.641,4314.500,107463.966,0.756,0.921,2.546,0.041,0.627,0.393,79658.440,28.610,11.858,17.750,313.715,54226,0.994,0.047,0.002,501.458,0.945,0.747,0.958,0.593,0.770,10.564,0.691,0.831,12.278,0.717,0.847,12.747,0.667,0.431,7.658,0.138,2.563,0.718,12.750
20,67744,138,0,0,242,0,Brassicaceae,1437.506,334.229,281.000,1.189,79.341,83309.000,954.468,293.691,457.572,140.500,167.114,146.511,80.072,73763.291,0.841,16.373,30.503,0.772,0.879,0.813,0.664,15565.000,93918.339,0.721,0.841,2.427,0.017,0.642,0.412,66306.494,27.007,10.607,20.247,408.756,35473,0.995,0.037,0.002,493.885,0.944,0.758,0.959,0.481,0.694,9.769,0.538,0.734,10.907,0.551,0.743,11.166,0.524,0.328,6.751,0.082,1.805,0.553,11.207
