Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      12 |         280 |       00:11:50 |      100.00% |       93.94% |       0.0089 |       0.1692 |      1.0000e-04 |
|      12 |         285 |       00:12:03 |       98.44% |       97.47% |       0.0748 |       0.0834 |      1.0000e-04 |
|      13 |         290 |       00:12:16 |      100.00% |       97.98% |       0.0035 |       0.1061 |      1.0000e-04 |
|      13 |         295 |       00:12:29 |      100.00% |       98.99% |       0.0078 |       0.0649 |      1.0000e-04 |
|      13 |         300 |       00:12:41 |      100.00% |       96.97% |       0.0202 |       0.0898 |      1.0000e-04 |
|      13 |         305 |       00:12:54 |      100.00% |       95.45% |       0.0084 |       0.1233 |      1.0000e-04 |
|      13 |         310 |       00:13:06 |      100.00% |       94.95% |       0.0042 |       0.1588 |      1.0000e-04 |
|      14 |         315 |       00:13:19 |       98.44% |       93.43% |       0.0588 |       0.1507 |      1.0000e-04 |
|      14 |         320 |       00:13:31 |      100.00% |       95.45% |       0.0091 |       0.1102 |      1.0000e-04 |
|      14 |         325 |       00:13:44 |      100.00% |       95.96% |       0.0016 |       0.1341 |      1.0000e-04 |
|      14 |         330 |       00:13:57 |      100.00% |       93.94% |       0.0087 |       0.1571 |      1.0000e-04 |
|      14 |         335 |       00:14:09 |      100.00% |       95.96% |       0.0147 |       0.1408 |      1.0000e-04 |
|      15 |         340 |       00:14:22 |      100.00% |       95.45% |       0.0035 |       0.1630 |      1.0000e-04 |
|      15 |         345 |       00:14:34 |      100.00% |       93.94% |       0.0064 |       0.2173 |      1.0000e-04 |
|      15 |         350 |       00:14:47 |      100.00% |       95.45% |       0.0089 |       0.1354 |      1.0000e-04 |
|      15 |         355 |       00:14:59 |      100.00% |       94.95% |       0.0047 |       0.1388 |      1.0000e-04 |
|      15 |         360 |       00:15:11 |      100.00% |       95.96% |       0.0153 |       0.1075 |      1.0000e-04 |
|      16 |         365 |       00:15:24 |      100.00% |       96.97% |       0.0020 |       0.1174 |      1.0000e-04 |
|      16 |         370 |       00:15:36 |      100.00% |       97.47% |       0.0018 |       0.0962 |      1.0000e-04 |
|      16 |         375 |       00:15:49 |       98.44% |       96.97% |       0.0168 |       0.0991 |      1.0000e-04 |
|      16 |         380 |       00:16:02 |      100.00% |       96.46% |       0.0051 |       0.1174 |      1.0000e-04 |
|      17 |         385 |       00:16:14 |      100.00% |       97.98% |       0.0009 |       0.0946 |      1.0000e-04 |
|      17 |         390 |       00:16:27 |       98.44% |       95.45% |       0.0135 |       0.1056 |      1.0000e-04 |
|      17 |         395 |       00:16:39 |      100.00% |       95.45% |       0.0069 |       0.1444 |      1.0000e-04 |
|      17 |         400 |       00:16:49 |      100.00% |       93.94% |       0.0111 |       0.1770 |      1.0000e-04 |
|      17 |         405 |       00:16:58 |       98.44% |       97.47% |       0.0740 |       0.0972 |      1.0000e-04 |
|      18 |         410 |       00:17:06 |      100.00% |       96.97% |       0.0157 |       0.1377 |      1.0000e-04 |
|      18 |         415 |       00:17:15 |      100.00% |       94.44% |       0.0020 |       0.1300 |      1.0000e-04 |
|      18 |         420 |       00:17:24 |      100.00% |       94.95% |       0.0145 |       0.1660 |      1.0000e-04 |
|      18 |         425 |       00:17:33 |      100.00% |       95.96% |       0.0115 |       0.1102 |      1.0000e-04 |
|      18 |         430 |       00:17:42 |       98.44% |       96.46% |       0.0218 |       0.1183 |      1.0000e-04 |
|      19 |         435 |       00:17:51 |      100.00% |       96.97% |       0.0085 |       0.1286 |      1.0000e-04 |
|      19 |         440 |       00:17:59 |      100.00% |       94.44% |       0.0082 |       0.1450 |      1.0000e-04 |
|      19 |         445 |       00:18:08 |      100.00% |       95.45% |       0.0011 |       0.1323 |      1.0000e-04 |
|      19 |         450 |       00:18:17 |      100.00% |       95.96% |       0.0029 |       0.1214 |      1.0000e-04 |
|      19 |         455 |       00:18:27 |      100.00% |       95.45% |       0.0123 |       0.1336 |      1.0000e-04 |
|      20 |         460 |       00:18:35 |      100.00% |       94.95% |       0.0018 |       0.1285 |      1.0000e-04 |
|      20 |         465 |       00:18:44 |      100.00% |       96.46% |       0.0016 |       0.0942 |      1.0000e-04 |
|      20 |         470 |       00:18:53 |       96.88% |       97.47% |       0.1091 |       0.0651 |      1.0000e-04 |
|      20 |         475 |       00:19:01 |      100.00% |       97.47% |       0.0030 |       0.0850 |      1.0000e-04 |
|      20 |         480 |       00:19:10 |      100.00% |       96.97% |       0.0024 |       0.1313 |      1.0000e-04 |
|      21 |         485 |       00:19:19 |      100.00% |       96.46% |       0.0022 |       0.1276 |      1.0000e-04 |
|      21 |         490 |       00:19:28 |      100.00% |       94.95% |       0.0010 |       0.1150 |      1.0000e-04 |
|      21 |         495 |       00:19:37 |      100.00% |       96.46% |       0.0066 |       0.1219 |      1.0000e-04 |
|      21 |         500 |       00:19:46 |       98.44% |       95.45% |       0.0142 |       0.1269 |      1.0000e-04 |
|      22 |         505 |       00:19:54 |      100.00% |       95.96% |       0.0007 |       0.1523 |      1.0000e-04 |
|      22 |         510 |       00:20:03 |      100.00% |       97.98% |       0.0029 |       0.0658 |      1.0000e-04 |
|      22 |         515 |       00:20:12 |       98.44% |       96.46% |       0.0235 |       0.1181 |      1.0000e-04 |
|      22 |         520 |       00:20:21 |      100.00% |       95.96% |       0.0052 |       0.1138 |      1.0000e-04 |
|      22 |         525 |       00:20:30 |       98.44% |       95.96% |       0.0408 |       0.1894 |      1.0000e-04 |
|      23 |         530 |       00:20:39 |      100.00% |       92.93% |       0.0076 |       0.2995 |      1.0000e-04 |
|      23 |         535 |       00:20:48 |      100.00% |       94.95% |       0.0019 |       0.1605 |      1.0000e-04 |
|      23 |         540 |       00:20:56 |      100.00% |       94.95% |       0.0083 |       0.1219 |      1.0000e-04 |
|      23 |         545 |       00:21:05 |      100.00% |       96.97% |       0.0055 |       0.0778 |      1.0000e-04 |
|      23 |         550 |       00:21:14 |      100.00% |       96.97% |       0.0056 |       0.0968 |      1.0000e-04 |
|      24 |         555 |       00:21:22 |       98.44% |       95.96% |       0.0200 |       0.1390 |      1.0000e-04 |
|      24 |         560 |       00:21:31 |      100.00% |       94.95% |       0.0006 |       0.1701 |      1.0000e-04 |
|      24 |         565 |       00:21:40 |      100.00% |       96.97% |       0.0013 |       0.1681 |      1.0000e-04 |
|      24 |         570 |       00:21:49 |      100.00% |       95.96% |       0.0049 |       0.1300 |      1.0000e-04 |
|      24 |         575 |       00:21:58 |      100.00% |       95.96% |       0.0012 |       0.0992 |      1.0000e-04 |
|      25 |         580 |       00:22:07 |      100.00% |       96.97% |       0.0011 |       0.0775 |      1.0000e-04 |
|      25 |         585 |       00:22:16 |      100.00% |       97.98% |       0.0010 |       0.0563 |      1.0000e-04 |
|      25 |         590 |       00:22:24 |      100.00% |       96.46% |       0.0050 |       0.0962 |      1.0000e-04 |
|      25 |         595 |       00:22:33 |      100.00% |       96.46% |       0.0039 |       0.1110 |      1.0000e-04 |
|      25 |         600 |       00:22:42 |      100.00% |       96.46% |       0.0033 |       0.0971 |      1.0000e-04 |
|      26 |         605 |       00:22:51 |      100.00% |       95.45% |       0.0007 |       0.1028 |      1.0000e-04 |
|      26 |         610 |       00:23:00 |      100.00% |       96.46% |       0.0035 |       0.2133 |      1.0000e-04 |
|      26 |         615 |       00:23:09 |      100.00% |       95.96% |       0.0047 |       0.2200 |      1.0000e-04 |
|      26 |         620 |       00:23:17 |       98.44% |       97.47% |       0.0247 |       0.1031 |      1.0000e-04 |
|      27 |         625 |       00:23:26 |      100.00% |       96.97% |       0.0012 |       0.1382 |      1.0000e-04 |
|      27 |         630 |       00:23:35 |      100.00% |       96.97% |       0.0005 |       0.1049 |      1.0000e-04 |
|      27 |         635 |       00:23:44 |      100.00% |       97.98% |       0.0006 |       0.0772 |      1.0000e-04 |
|      27 |         640 |       00:23:53 |      100.00% |       96.46% |       0.0114 |       0.1027 |      1.0000e-04 |
|      27 |         645 |       00:24:02 |      100.00% |       95.96% |       0.0042 |       0.1317 |      1.0000e-04 |
|      28 |         650 |       00:24:10 |      100.00% |       95.45% |       0.0085 |       0.1055 |      1.0000e-04 |
|      28 |         655 |       00:24:19 |      100.00% |       96.97% |       0.0012 |       0.1536 |      1.0000e-04 |
|      28 |         660 |       00:24:28 |       98.44% |       94.95% |       0.0134 |       0.2201 |      1.0000e-04 |
|      28 |         665 |       00:24:37 |      100.00% |       97.98% |       0.0040 |       0.1003 |      1.0000e-04 |
|      28 |         670 |       00:24:45 |      100.00% |       95.45% |       0.0007 |       0.1428 |      1.0000e-04 |
|      29 |         675 |       00:24:54 |      100.00% |       94.44% |       0.0027 |       0.2491 |      1.0000e-04 |
|      29 |         680 |       00:25:03 |       98.44% |       95.45% |       0.0228 |       0.2444 |      1.0000e-04 |
|      29 |         685 |       00:25:13 |      100.00% |       92.93% |       0.0191 |       0.2113 |      1.0000e-04 |
|      29 |         690 |       00:25:22 |      100.00% |       96.97% |       0.0148 |       0.1277 |      1.0000e-04 |
|      29 |         695 |       00:25:34 |       96.88% |       94.95% |       0.0583 |       0.1952 |      1.0000e-04 |
|      30 |         700 |       00:25:45 |      100.00% |       95.96% |       0.0396 |       0.1537 |      1.0000e-04 |
|      30 |         705 |       00:25:55 |       98.44% |       95.45% |       0.0538 |       0.1137 |      1.0000e-04 |
|      30 |         710 |       00:26:06 |       95.31% |       96.46% |       0.1168 |       0.1742 |      1.0000e-04 |
|      30 |         715 |       00:26:17 |      100.00% |       94.44% |       0.0022 |       0.1790 |      1.0000e-04 |
|      30 |         720 |       00:26:28 |       98.44% |       93.94% |       0.0467 |       0.2535 |      1.0000e-04 |
|      31 |         725 |       00:26:39 |      100.00% |       93.94% |       0.0039 |       0.1819 |      1.0000e-04 |
|      31 |         730 |       00:26:50 |       98.44% |       92.93% |       0.0472 |       0.2719 |      1.0000e-04 |
|      31 |         735 |       00:27:01 |       96.88% |       91.41% |       0.0397 |       0.2606 |      1.0000e-04 |
|      31 |         740 |       00:27:12 |      100.00% |       96.46% |       0.0161 |       0.1208 |      1.0000e-04 |
|      32 |         745 |       00:27:23 |       98.44% |       95.96% |       0.0407 |       0.1831 |      1.0000e-04 |
|      32 |         750 |       00:27:34 |      100.00% |       91.41% |       0.0098 |       0.2189 |      1.0000e-04 |
|      32 |         755 |       00:27:45 |      100.00% |       94.44% |       0.0178 |       0.1506 |      1.0000e-04 |
|      32 |         760 |       00:27:56 |       98.44% |       92.42% |       0.0557 |       0.3310 |      1.0000e-04 |
|      32 |         765 |       00:28:07 |      100.00% |       93.43% |       0.0211 |       0.2296 |      1.0000e-04 |
|      33 |         770 |       00:28:19 |       98.44% |       93.94% |       0.0479 |       0.2187 |      1.0000e-04 |
|      33 |         775 |       00:28:29 |       96.88% |       94.95% |       0.0750 |       0.2204 |      1.0000e-04 |
|      33 |         780 |       00:28:40 |       95.31% |       92.93% |       0.1517 |       0.2083 |      1.0000e-04 |
|      33 |         785 |       00:28:51 |       98.44% |       92.42% |       0.0447 |       0.2439 |      1.0000e-04 |
|      33 |         790 |       00:29:01 |      100.00% |       92.93% |       0.0192 |       0.2357 |      1.0000e-04 |
|      34 |         795 |       00:29:12 |       93.75% |       95.45% |       0.2057 |       0.1816 |      1.0000e-04 |
|      34 |         800 |       00:29:23 |      100.00% |       93.94% |       0.0196 |       0.2189 |      1.0000e-04 |
|      34 |         805 |       00:29:34 |      100.00% |       93.94% |       0.0056 |       0.2365 |      1.0000e-04 |
|      34 |         810 |       00:29:44 |      100.00% |       97.47% |       0.0350 |       0.0923 |      1.0000e-04 |
|      34 |         815 |       00:29:55 |      100.00% |       95.45% |       0.0139 |       0.1591 |      1.0000e-04 |
|      35 |         820 |       00:30:06 |       98.44% |       96.46% |       0.0329 |       0.1464 |      1.0000e-04 |
|      35 |         825 |       00:30:17 |      100.00% |       95.45% |       0.0043 |       0.2493 |      1.0000e-04 |
|      35 |         830 |       00:30:28 |      100.00% |       95.96% |       0.0184 |       0.1032 |      1.0000e-04 |
|      35 |         835 |       00:30:39 |      100.00% |       95.96% |       0.0036 |       0.1362 |      1.0000e-04 |
|      35 |         840 |       00:30:50 |       96.88% |       96.46% |       0.0589 |       0.1282 |      1.0000e-04 |
|      36 |         845 |       00:31:00 |      100.00% |       95.96% |       0.0028 |       0.1319 |      1.0000e-04 |
|      36 |         850 |       00:31:12 |      100.00% |       95.45% |       0.0121 |       0.1745 |      1.0000e-04 |
|      36 |         855 |       00:31:23 |      100.00% |       97.47% |       0.0077 |       0.0972 |      1.0000e-04 |
|      36 |         860 |       00:31:38 |      100.00% |       96.97% |       0.0013 |       0.0976 |      1.0000e-04 |
|      37 |         865 |       00:31:57 |      100.00% |       94.95% |       0.0075 |       0.1650 |      1.0000e-04 |
|      37 |         870 |       00:32:16 |      100.00% |       97.98% |       0.0054 |       0.0714 |      1.0000e-04 |
|      37 |         875 |       00:32:36 |      100.00% |       96.97% |       0.0055 |       0.1330 |      1.0000e-04 |
|      37 |         880 |       00:32:56 |      100.00% |       95.96% |       0.0011 |       0.0971 |      1.0000e-04 |
[Warning: GPU is low on memory, which can slow performance due to additional
data transfers with main memory. Try reducing the 'MiniBatchSize' training
option. This warning will not appear again unless you run the command: <a
href="matlab:warning('on','nnet_cnn:warning:GPULowOnMemory')">warning('on','nnet_cnn:warning:GPULowOnMemory')</a>.] 
|      37 |         885 |       00:33:27 |      100.00% |       96.97% |       0.0013 |       0.0955 |      1.0000e-04 |
|      38 |         890 |       00:33:46 |      100.00% |       96.46% |       0.0034 |       0.0590 |      1.0000e-04 |
|      38 |         895 |       00:34:05 |      100.00% |       97.47% |       0.0017 |       0.0782 |      1.0000e-04 |
|      38 |         900 |       00:34:25 |      100.00% |       97.98% |       0.0105 |       0.0729 |      1.0000e-04 |
|      38 |         905 |       00:34:44 |      100.00% |       95.96% |       0.0010 |       0.1050 |      1.0000e-04 |
|      38 |         910 |       00:35:04 |      100.00% |       97.98% |       0.0024 |       0.0775 |      1.0000e-04 |
|      39 |         915 |       00:35:24 |      100.00% |       96.97% |       0.0031 |       0.1131 |      1.0000e-04 |
|      39 |         920 |       00:35:45 |      100.00% |       96.97% |       0.0007 |       0.1045 |      1.0000e-04 |
|      39 |         925 |       00:36:03 |      100.00% |       95.96% |       0.0003 |       0.0956 |      1.0000e-04 |
|      39 |         930 |       00:36:22 |      100.00% |       97.98% |       0.0069 |       0.0737 |      1.0000e-04 |
|      39 |         935 |       00:36:42 |      100.00% |       95.96% |       0.0022 |       0.1127 |      1.0000e-04 |
|      40 |         940 |       00:37:01 |      100.00% |       97.47% |       0.0011 |       0.1062 |      1.0000e-04 |
|      40 |         945 |       00:37:20 |      100.00% |       95.96% |       0.0016 |       0.1075 |      1.0000e-04 |
|      40 |         950 |       00:37:39 |      100.00% |       97.47% |       0.0008 |       0.0943 |      1.0000e-04 |
|      40 |         955 |       00:37:58 |      100.00% |       96.97% |       0.0008 |       0.0691 |      1.0000e-04 |
|      40 |         960 |       00:38:17 |      100.00% |       97.47% |       0.0010 |       0.0934 |      1.0000e-04 |
