Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      29 |         695 |       00:07:49 |       98.44% |       93.94% |       0.0570 |       0.1789 |      1.0000e-04 |
|      30 |         700 |       00:07:52 |       95.31% |       94.44% |       0.0965 |       0.1491 |      1.0000e-04 |
|      30 |         705 |       00:07:55 |       92.19% |       93.94% |       0.2067 |       0.1410 |      1.0000e-04 |
|      30 |         710 |       00:07:57 |      100.00% |       95.45% |       0.0346 |       0.1243 |      1.0000e-04 |
|      30 |         715 |       00:08:00 |       96.88% |       94.44% |       0.1268 |       0.2078 |      1.0000e-04 |
|      30 |         720 |       00:08:03 |       98.44% |       96.97% |       0.0836 |       0.0911 |      1.0000e-04 |
|      31 |         725 |       00:08:05 |       96.88% |       95.96% |       0.0711 |       0.1327 |      1.0000e-04 |
|      31 |         730 |       00:08:08 |      100.00% |       94.95% |       0.0317 |       0.1416 |      1.0000e-04 |
|      31 |         735 |       00:08:11 |       93.75% |       93.94% |       0.1764 |       0.2175 |      1.0000e-04 |
|      31 |         740 |       00:08:13 |       98.44% |       93.43% |       0.0633 |       0.2372 |      1.0000e-04 |
|      32 |         745 |       00:08:16 |      100.00% |       95.45% |       0.0227 |       0.1136 |      1.0000e-04 |
|      32 |         750 |       00:08:19 |       95.31% |       94.95% |       0.1128 |       0.1150 |      1.0000e-04 |
|      32 |         755 |       00:08:21 |      100.00% |       96.97% |       0.0300 |       0.1120 |      1.0000e-04 |
|      32 |         760 |       00:08:24 |       98.44% |       94.95% |       0.0581 |       0.1821 |      1.0000e-04 |
|      32 |         765 |       00:08:27 |       96.88% |       94.44% |       0.1130 |       0.1541 |      1.0000e-04 |
|      33 |         770 |       00:08:29 |       95.31% |       96.46% |       0.1470 |       0.1146 |      1.0000e-04 |
|      33 |         775 |       00:08:32 |       98.44% |       95.45% |       0.0446 |       0.1650 |      1.0000e-04 |
|      33 |         780 |       00:08:34 |       95.31% |       96.97% |       0.1265 |       0.1243 |      1.0000e-04 |
|      33 |         785 |       00:08:37 |       96.88% |       94.95% |       0.0760 |       0.1469 |      1.0000e-04 |
|      33 |         790 |       00:08:40 |       96.88% |       93.94% |       0.0747 |       0.2228 |      1.0000e-04 |
|      34 |         795 |       00:08:42 |      100.00% |       94.44% |       0.0126 |       0.1786 |      1.0000e-04 |
|      34 |         800 |       00:08:45 |       96.88% |       92.93% |       0.0556 |       0.1514 |      1.0000e-04 |
|      34 |         805 |       00:08:48 |       96.88% |       95.45% |       0.0626 |       0.1216 |      1.0000e-04 |
|      34 |         810 |       00:08:50 |      100.00% |       93.43% |       0.0308 |       0.1318 |      1.0000e-04 |
|      34 |         815 |       00:08:53 |       98.44% |       95.45% |       0.0636 |       0.1485 |      1.0000e-04 |
|      35 |         820 |       00:08:56 |      100.00% |       96.97% |       0.0379 |       0.0986 |      1.0000e-04 |
|      35 |         825 |       00:08:58 |       96.88% |       95.96% |       0.0899 |       0.1231 |      1.0000e-04 |
|      35 |         830 |       00:09:01 |       96.88% |       94.95% |       0.0454 |       0.1705 |      1.0000e-04 |
|      35 |         835 |       00:09:03 |       95.31% |       95.45% |       0.1005 |       0.1636 |      1.0000e-04 |
|      35 |         840 |       00:09:06 |       95.31% |       93.94% |       0.0715 |       0.1677 |      1.0000e-04 |
|      36 |         845 |       00:09:09 |       95.31% |       96.46% |       0.0975 |       0.1106 |      1.0000e-04 |
|      36 |         850 |       00:09:12 |       98.44% |       95.45% |       0.0518 |       0.1514 |      1.0000e-04 |
|      36 |         855 |       00:09:15 |       96.88% |       92.42% |       0.0796 |       0.1887 |      1.0000e-04 |
|      36 |         860 |       00:09:17 |       98.44% |       94.95% |       0.0291 |       0.1857 |      1.0000e-04 |
|      37 |         865 |       00:09:20 |       98.44% |       93.94% |       0.0279 |       0.2008 |      1.0000e-04 |
|      37 |         870 |       00:09:23 |       92.19% |       93.94% |       0.2053 |       0.1528 |      1.0000e-04 |
|      37 |         875 |       00:09:26 |       89.06% |       92.42% |       0.3185 |       0.2934 |      1.0000e-04 |
|      37 |         880 |       00:09:29 |       93.75% |       92.93% |       0.1616 |       0.2565 |      1.0000e-04 |
|      37 |         885 |       00:09:32 |       95.31% |       92.42% |       0.1596 |       0.1976 |      1.0000e-04 |
|      38 |         890 |       00:09:34 |       96.88% |       93.94% |       0.1372 |       0.2557 |      1.0000e-04 |
|      38 |         895 |       00:09:37 |       98.44% |       94.44% |       0.0380 |       0.1757 |      1.0000e-04 |
|      38 |         900 |       00:09:40 |       95.31% |       93.94% |       0.1894 |       0.1819 |      1.0000e-04 |
|      38 |         905 |       00:09:43 |       98.44% |       94.44% |       0.0419 |       0.1700 |      1.0000e-04 |
|      38 |         910 |       00:09:46 |       98.44% |       95.96% |       0.0336 |       0.1808 |      1.0000e-04 |
|      39 |         915 |       00:09:48 |       98.44% |       94.44% |       0.0576 |       0.1756 |      1.0000e-04 |
|      39 |         920 |       00:09:51 |       98.44% |       94.44% |       0.0572 |       0.1546 |      1.0000e-04 |
