Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      12 |         280 |       00:03:02 |       79.69% |       90.40% |       0.4259 |       0.2726 |      1.0000e-04 |
|      12 |         285 |       00:03:07 |       95.31% |       92.93% |       0.3512 |       0.2475 |      1.0000e-04 |
|      13 |         290 |       00:03:11 |       92.19% |       91.41% |       0.2044 |       0.2873 |      1.0000e-04 |
|      13 |         295 |       00:03:15 |       96.88% |       90.40% |       0.1030 |       0.2849 |      1.0000e-04 |
|      13 |         300 |       00:03:19 |       92.19% |       90.91% |       0.2306 |       0.3084 |      1.0000e-04 |
|      13 |         305 |       00:03:23 |       87.50% |       91.41% |       0.3156 |       0.2415 |      1.0000e-04 |
|      13 |         310 |       00:03:28 |       89.06% |       91.92% |       0.2487 |       0.2632 |      1.0000e-04 |
|      14 |         315 |       00:03:32 |       90.62% |       90.91% |       0.2189 |       0.2831 |      1.0000e-04 |
|      14 |         320 |       00:03:36 |       93.75% |       90.40% |       0.1758 |       0.2665 |      1.0000e-04 |
|      14 |         325 |       00:03:40 |       96.88% |       92.42% |       0.1547 |       0.2332 |      1.0000e-04 |
|      14 |         330 |       00:03:45 |       96.88% |       92.42% |       0.1349 |       0.2576 |      1.0000e-04 |
|      14 |         335 |       00:03:49 |       90.62% |       93.43% |       0.2024 |       0.2466 |      1.0000e-04 |
|      15 |         340 |       00:03:54 |       89.06% |       93.43% |       0.1861 |       0.2137 |      1.0000e-04 |
|      15 |         345 |       00:03:58 |       93.75% |       94.44% |       0.2373 |       0.1483 |      1.0000e-04 |
|      15 |         350 |       00:04:02 |       96.88% |       92.93% |       0.0953 |       0.1981 |      1.0000e-04 |
|      15 |         355 |       00:04:06 |       93.75% |       93.94% |       0.2323 |       0.2302 |      1.0000e-04 |
|      15 |         360 |       00:04:11 |       92.19% |       93.43% |       0.1924 |       0.2229 |      1.0000e-04 |
|      16 |         365 |       00:04:15 |       89.06% |       93.43% |       0.2419 |       0.1833 |      1.0000e-04 |
|      16 |         370 |       00:04:19 |       98.44% |       93.43% |       0.1052 |       0.2267 |      1.0000e-04 |
