Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      28 |         280 |       00:00:57 |      100.00% |       95.24% |   3.8289e-05 |       0.1757 |      1.0000e-04 |
|      29 |         285 |       00:00:58 |      100.00% |       95.24% |       0.0266 |       0.5103 |      1.0000e-04 |
|      29 |         290 |       00:00:59 |      100.00% |       80.95% |       0.0421 |       1.6999 |      1.0000e-04 |
|      30 |         295 |       00:01:00 |       93.75% |       85.71% |       0.1086 |       0.5173 |      1.0000e-04 |
|      30 |         300 |       00:01:01 |      100.00% |       90.48% |       0.0007 |       0.3822 |      1.0000e-04 |
|      31 |         305 |       00:01:02 |       93.75% |       85.71% |       0.1531 |       1.6179 |      1.0000e-04 |
|      31 |         310 |       00:01:03 |       93.75% |       95.24% |       0.4029 |       0.1346 |      1.0000e-04 |
|      32 |         315 |       00:01:04 |      100.00% |      100.00% |       0.0409 |       0.0223 |      1.0000e-04 |
|      32 |         320 |       00:01:05 |      100.00% |       90.48% |       0.0156 |       0.2782 |      1.0000e-04 |
|      33 |         325 |       00:01:06 |       93.75% |       95.24% |       0.4236 |       0.4752 |      1.0000e-04 |
|      33 |         330 |       00:01:07 |      100.00% |       85.71% |       0.0057 |       0.6415 |      1.0000e-04 |
|      34 |         335 |       00:01:08 |       93.75% |      100.00% |       0.6303 |       0.0030 |      1.0000e-04 |
|      34 |         340 |       00:01:09 |       93.75% |      100.00% |       0.1938 |       0.0411 |      1.0000e-04 |
|      35 |         345 |       00:01:10 |      100.00% |       90.48% |       0.0423 |       0.1447 |      1.0000e-04 |
|      35 |         350 |       00:01:11 |      100.00% |       85.71% |       0.0023 |       0.3970 |      1.0000e-04 |
|      36 |         355 |       00:01:12 |      100.00% |       80.95% |       0.0011 |       0.5590 |      1.0000e-04 |
|      36 |         360 |       00:01:13 |      100.00% |       85.71% |   8.5511e-05 |       0.8162 |      1.0000e-04 |
|      37 |         365 |       00:01:14 |      100.00% |       85.71% |       0.0014 |       0.9138 |      1.0000e-04 |
|      37 |         370 |       00:01:15 |      100.00% |      100.00% |       0.0273 |       0.0562 |      1.0000e-04 |
|      38 |         375 |       00:01:16 |      100.00% |       80.95% |       0.0372 |       1.0644 |      1.0000e-04 |
|      38 |         380 |       00:01:17 |      100.00% |       95.24% |       0.0003 |       0.1996 |      1.0000e-04 |
|      39 |         385 |       00:01:18 |      100.00% |       95.24% |       0.0062 |       0.0740 |      1.0000e-04 |
|      39 |         390 |       00:01:19 |      100.00% |       95.24% |       0.0030 |       0.0487 |      1.0000e-04 |
|      40 |         395 |       00:01:19 |      100.00% |      100.00% |       0.0304 |       0.0471 |      1.0000e-04 |
|      40 |         400 |       00:01:20 |      100.00% |       95.24% |       0.0002 |       0.2383 |      1.0000e-04 |
|      41 |         405 |       00:01:21 |      100.00% |       90.48% |       0.0190 |       0.2691 |      1.0000e-04 |
|      41 |         410 |       00:01:22 |      100.00% |       90.48% |       0.0006 |       0.7380 |      1.0000e-04 |
|      42 |         415 |       00:01:23 |      100.00% |       85.71% |       0.0064 |       0.2639 |      1.0000e-04 |
|      42 |         420 |       00:01:24 |      100.00% |      100.00% |   9.3021e-05 |       0.0079 |      1.0000e-04 |
|      43 |         425 |       00:01:25 |       93.75% |       95.24% |       0.1906 |       0.4159 |      1.0000e-04 |
|      43 |         430 |       00:01:26 |      100.00% |       90.48% |       0.0013 |       0.8771 |      1.0000e-04 |
|      44 |         435 |       00:01:27 |      100.00% |       95.24% |       0.0189 |       0.1867 |      1.0000e-04 |
|      44 |         440 |       00:01:28 |       93.75% |       95.24% |       0.0832 |       0.1417 |      1.0000e-04 |
|      45 |         445 |       00:01:29 |      100.00% |      100.00% |   2.1928e-05 |       0.0298 |      1.0000e-04 |
|      45 |         450 |       00:01:30 |       93.75% |      100.00% |       0.1949 |       0.0128 |      1.0000e-04 |
|      46 |         455 |       00:01:31 |      100.00% |       85.71% |       0.0025 |       0.5164 |      1.0000e-04 |
|      46 |         460 |       00:01:32 |      100.00% |       95.24% |   4.1003e-05 |       0.0524 |      1.0000e-04 |
|      47 |         465 |       00:01:33 |      100.00% |      100.00% |       0.0212 |       0.0208 |      1.0000e-04 |
|      47 |         470 |       00:01:34 |       93.75% |       95.24% |       0.1507 |       0.0552 |      1.0000e-04 |
|      48 |         475 |       00:01:35 |      100.00% |       90.48% |   2.7029e-05 |       0.3629 |      1.0000e-04 |
|      48 |         480 |       00:01:36 |      100.00% |      100.00% |       0.0120 |       0.0080 |      1.0000e-04 |
|      49 |         485 |       00:01:37 |      100.00% |      100.00% |       0.0009 |       0.0558 |      1.0000e-04 |
|      49 |         490 |       00:01:38 |      100.00% |       90.48% |       0.0429 |       0.3816 |      1.0000e-04 |
|      50 |         495 |       00:01:39 |       93.75% |       90.48% |       0.2771 |       0.3266 |      1.0000e-04 |
|      50 |         500 |       00:01:40 |      100.00% |       90.48% |       0.0125 |       0.4896 |      1.0000e-04 |
|      51 |         505 |       00:01:41 |      100.00% |       95.24% |       0.0018 |       0.2276 |      1.0000e-04 |
|      51 |         510 |       00:01:42 |      100.00% |      100.00% |       0.0133 |       0.0172 |      1.0000e-04 |
|      52 |         515 |       00:01:43 |       87.50% |      100.00% |       0.5078 |       0.0125 |      1.0000e-04 |
|      52 |         520 |       00:01:44 |      100.00% |       95.24% |   5.5584e-06 |       0.5724 |      1.0000e-04 |
|      53 |         525 |       00:01:45 |       93.75% |       95.24% |       0.2500 |       0.1961 |      1.0000e-04 |
|      53 |         530 |       00:01:45 |      100.00% |       95.24% |       0.0075 |       0.0876 |      1.0000e-04 |
|      54 |         535 |       00:01:46 |       93.75% |       90.48% |       0.0815 |       0.2708 |      1.0000e-04 |
|      54 |         540 |       00:01:48 |      100.00% |       95.24% |       0.0035 |       0.0543 |      1.0000e-04 |
|      55 |         545 |       00:01:49 |       87.50% |       95.24% |       0.7637 |       0.1351 |      1.0000e-04 |
|      55 |         550 |       00:01:49 |      100.00% |       85.71% |       0.0217 |       0.6639 |      1.0000e-04 |
|      56 |         555 |       00:01:50 |       93.75% |       85.71% |       0.1801 |       0.8802 |      1.0000e-04 |
|      56 |         560 |       00:01:51 |       87.50% |       95.24% |       0.4197 |       0.3413 |      1.0000e-04 |
|      57 |         565 |       00:01:52 |       81.25% |       80.95% |       0.8322 |       1.1552 |      1.0000e-04 |
|      57 |         570 |       00:01:53 |      100.00% |       90.48% |       0.0221 |       0.9154 |      1.0000e-04 |
|      58 |         575 |       00:01:54 |       81.25% |       80.95% |       1.4201 |       1.4667 |      1.0000e-04 |
|      58 |         580 |       00:01:55 |       81.25% |       76.19% |       1.1188 |       2.3609 |      1.0000e-04 |
|      59 |         585 |       00:01:56 |       81.25% |       85.71% |       1.6803 |       0.8566 |      1.0000e-04 |
|      59 |         590 |       00:01:57 |       75.00% |       90.48% |       0.4285 |       0.2978 |      1.0000e-04 |
|      60 |         595 |       00:01:58 |       87.50% |       95.24% |       0.2238 |       0.1201 |      1.0000e-04 |
|      60 |         600 |       00:01:59 |      100.00% |       90.48% |       0.0321 |       0.5895 |      1.0000e-04 |
|      61 |         605 |       00:02:00 |       87.50% |       85.71% |       0.6019 |       0.7001 |      1.0000e-04 |
|      61 |         610 |       00:02:01 |      100.00% |       76.19% |       0.0009 |       0.7844 |      1.0000e-04 |
|      62 |         615 |       00:02:02 |      100.00% |       85.71% |       0.0330 |       0.4083 |      1.0000e-04 |
|      62 |         620 |       00:02:03 |      100.00% |       90.48% |       0.0676 |       0.2013 |      1.0000e-04 |
|      63 |         625 |       00:02:04 |      100.00% |      100.00% |       0.0020 |       0.0455 |      1.0000e-04 |
|      63 |         630 |       00:02:04 |      100.00% |       85.71% |       0.0550 |       0.3967 |      1.0000e-04 |
|      64 |         635 |       00:02:05 |      100.00% |      100.00% |       0.0011 |       0.0491 |      1.0000e-04 |
|      64 |         640 |       00:02:06 |      100.00% |       90.48% |       0.0066 |       0.1570 |      1.0000e-04 |
|      65 |         645 |       00:02:07 |       93.75% |      100.00% |       0.1694 |       0.0042 |      1.0000e-04 |
|      65 |         650 |       00:02:08 |      100.00% |       95.24% |       0.0046 |       0.1151 |      1.0000e-04 |
|      66 |         655 |       00:02:09 |      100.00% |       95.24% |       0.0011 |       0.3692 |      1.0000e-04 |
|      66 |         660 |       00:02:10 |      100.00% |       95.24% |   7.5224e-05 |       0.2979 |      1.0000e-04 |
|      67 |         665 |       00:02:11 |       93.75% |       85.71% |       0.2178 |       1.1032 |      1.0000e-04 |
|      67 |         670 |       00:02:12 |       93.75% |       90.48% |       0.6912 |       0.3825 |      1.0000e-04 |
|      68 |         675 |       00:02:13 |      100.00% |       85.71% |       0.0059 |       1.0666 |      1.0000e-04 |
|      68 |         680 |       00:02:14 |       93.75% |       80.95% |       0.0880 |       2.5191 |      1.0000e-04 |
|      69 |         685 |       00:02:15 |       93.75% |       85.71% |       0.1105 |       0.6637 |      1.0000e-04 |
|      69 |         690 |       00:02:16 |       93.75% |       90.48% |       0.0674 |       0.2579 |      1.0000e-04 |
|      70 |         695 |       00:02:17 |       87.50% |       80.95% |       0.5116 |       1.2279 |      1.0000e-04 |
|      70 |         700 |       00:02:18 |      100.00% |       85.71% |       0.0169 |       0.2635 |      1.0000e-04 |
|      71 |         705 |       00:02:19 |       93.75% |       85.71% |       0.0788 |       0.4769 |      1.0000e-04 |
|      71 |         710 |       00:02:20 |      100.00% |       90.48% |       0.0081 |       0.2074 |      1.0000e-04 |
|      72 |         715 |       00:02:21 |      100.00% |      100.00% |       0.0057 |       0.0076 |      1.0000e-04 |
|      72 |         720 |       00:02:21 |      100.00% |       90.48% |       0.0007 |       0.1178 |      1.0000e-04 |
|      73 |         725 |       00:02:23 |       93.75% |       90.48% |       0.0836 |       0.5127 |      1.0000e-04 |
|      73 |         730 |       00:02:23 |      100.00% |       95.24% |       0.0072 |       0.0857 |      1.0000e-04 |
|      74 |         735 |       00:02:24 |      100.00% |      100.00% |       0.0244 |       0.0236 |      1.0000e-04 |
|      74 |         740 |       00:02:25 |      100.00% |       95.24% |       0.0012 |       0.7181 |      1.0000e-04 |
|      75 |         745 |       00:02:26 |      100.00% |       95.24% |       0.0023 |       0.2032 |      1.0000e-04 |
|      75 |         750 |       00:02:27 |       93.75% |       95.24% |       0.1938 |       0.0610 |      1.0000e-04 |
|      76 |         755 |       00:02:28 |      100.00% |       90.48% |       0.0108 |       0.5094 |      1.0000e-04 |
|      76 |         760 |       00:02:29 |       93.75% |       95.24% |       0.8221 |       0.2548 |      1.0000e-04 |
|      77 |         765 |       00:02:30 |       93.75% |       90.48% |       0.1857 |       0.2127 |      1.0000e-04 |
|      77 |         770 |       00:02:31 |       93.75% |       85.71% |       0.5877 |       0.3027 |      1.0000e-04 |
|      78 |         775 |       00:02:32 |      100.00% |       90.48% |       0.0095 |       0.4684 |      1.0000e-04 |
|      78 |         780 |       00:02:33 |      100.00% |      100.00% |       0.0090 |       0.0529 |      1.0000e-04 |
