Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:04 |        1.56% |       15.15% |       3.4055 |       2.8714 |      1.0000e-04 |
|       1 |           5 |       00:00:12 |       51.56% |       55.05% |       1.8607 |       1.7603 |      1.0000e-04 |
|       1 |          10 |       00:00:21 |       62.50% |       66.16% |       1.1969 |       1.1857 |      1.0000e-04 |
|       1 |          15 |       00:00:29 |       57.81% |       73.74% |       1.1223 |       0.8845 |      1.0000e-04 |
|       1 |          20 |       00:00:38 |       85.94% |       82.32% |       0.5399 |       0.6086 |      1.0000e-04 |
|       2 |          25 |       00:00:46 |       84.38% |       83.84% |       0.4571 |       0.4976 |      1.0000e-04 |
|       2 |          30 |       00:00:55 |       90.62% |       85.86% |       0.2754 |       0.4730 |      1.0000e-04 |
|       2 |          35 |       00:01:04 |       87.50% |       91.92% |       0.4326 |       0.3342 |      1.0000e-04 |
|       2 |          40 |       00:01:13 |       90.62% |       90.91% |       0.2610 |       0.3097 |      1.0000e-04 |
|       2 |          45 |       00:01:22 |       93.75% |       89.90% |       0.1746 |       0.2909 |      1.0000e-04 |
|       3 |          50 |       00:01:31 |       96.88% |       92.93% |       0.1212 |       0.2637 |      1.0000e-04 |
|       3 |          55 |       00:01:40 |       96.88% |       91.41% |       0.0975 |       0.2764 |      1.0000e-04 |
|       3 |          60 |       00:01:48 |       93.75% |       92.93% |       0.2271 |       0.2302 |      1.0000e-04 |
|       3 |          65 |       00:01:57 |       93.75% |       91.92% |       0.1500 |       0.2413 |      1.0000e-04 |
|       3 |          70 |       00:02:06 |       93.75% |       90.91% |       0.1333 |       0.2461 |      1.0000e-04 |
|       4 |          75 |       00:02:15 |       96.88% |       92.42% |       0.0525 |       0.1898 |      1.0000e-04 |
|       4 |          80 |       00:02:23 |       96.88% |       92.42% |       0.0578 |       0.2298 |      1.0000e-04 |
|       4 |          85 |       00:02:32 |      100.00% |       91.92% |       0.0315 |       0.2247 |      1.0000e-04 |
|       4 |          90 |       00:02:41 |       98.44% |       93.94% |       0.0959 |       0.1678 |      1.0000e-04 |
