Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:02 |       10.94% |        8.08% |       3.7239 |       3.5041 |      1.0000e-04 |
|       1 |           5 |       00:00:06 |       34.38% |       44.95% |       2.3967 |       2.0531 |      1.0000e-04 |
|       1 |          10 |       00:00:10 |       57.81% |       69.70% |       1.3526 |       1.1986 |      1.0000e-04 |
|       1 |          15 |       00:00:13 |       65.62% |       76.26% |       1.1125 |       0.8422 |      1.0000e-04 |
|       1 |          20 |       00:00:17 |       75.00% |       82.83% |       0.7857 |       0.6327 |      1.0000e-04 |
|       2 |          25 |       00:00:20 |       76.56% |       85.86% |       0.5721 |       0.4810 |      1.0000e-04 |
|       2 |          30 |       00:00:24 |       89.06% |       88.89% |       0.5003 |       0.3894 |      1.0000e-04 |
|       2 |          35 |       00:00:28 |       87.50% |       89.90% |       0.3926 |       0.3171 |      1.0000e-04 |
|       2 |          40 |       00:00:31 |       87.50% |       91.41% |       0.3321 |       0.3338 |      1.0000e-04 |
|       2 |          45 |       00:00:35 |       85.94% |       93.43% |       0.4026 |       0.2186 |      1.0000e-04 |
|       3 |          50 |       00:00:39 |       90.62% |       91.92% |       0.3507 |       0.2514 |      1.0000e-04 |
|       3 |          55 |       00:00:42 |       93.75% |       91.41% |       0.2090 |       0.2464 |      1.0000e-04 |
|       3 |          60 |       00:00:46 |       95.31% |       93.43% |       0.2283 |       0.2379 |      1.0000e-04 |
|       3 |          65 |       00:00:49 |       98.44% |       93.43% |       0.1363 |       0.2269 |      1.0000e-04 |
|       3 |          70 |       00:00:53 |       90.62% |       93.94% |       0.2944 |       0.1658 |      1.0000e-04 |
|       4 |          75 |       00:00:57 |       90.62% |       95.96% |       0.2129 |       0.1670 |      1.0000e-04 |
|       4 |          80 |       00:01:00 |      100.00% |       95.45% |       0.0447 |       0.1397 |      1.0000e-04 |
|       4 |          85 |       00:01:04 |       95.31% |       94.95% |       0.1757 |       0.1683 |      1.0000e-04 |
|       4 |          90 |       00:01:07 |       98.44% |       95.96% |       0.0747 |       0.1476 |      1.0000e-04 |
