Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      28 |         280 |       00:03:28 |       93.75% |       76.19% |       0.2125 |       0.4920 |      1.0000e-04 |
|      29 |         285 |       00:03:32 |       87.50% |       85.71% |       0.3271 |       0.5025 |      1.0000e-04 |
|      29 |         290 |       00:03:35 |       93.75% |       71.43% |       0.1070 |       0.7386 |      1.0000e-04 |
|      30 |         295 |       00:03:39 |       93.75% |       80.95% |       0.1773 |       0.8367 |      1.0000e-04 |
|      30 |         300 |       00:03:42 |       87.50% |       80.95% |       0.3421 |       0.6644 |      1.0000e-04 |
|      31 |         305 |       00:03:46 |       93.75% |       95.24% |       0.2621 |       0.3043 |      1.0000e-04 |
|      31 |         310 |       00:03:50 |      100.00% |       90.48% |       0.0108 |       0.7439 |      1.0000e-04 |
|      32 |         315 |       00:03:53 |      100.00% |       76.19% |       0.0392 |       1.1048 |      1.0000e-04 |
|      32 |         320 |       00:03:57 |      100.00% |       71.43% |       0.0012 |       1.0300 |      1.0000e-04 |
|      33 |         325 |       00:04:01 |      100.00% |       90.48% |       0.0144 |       0.4230 |      1.0000e-04 |
|      33 |         330 |       00:04:04 |      100.00% |       85.71% |       0.0022 |       0.9921 |      1.0000e-04 |
|      34 |         335 |       00:04:08 |      100.00% |       71.43% |       0.0246 |       1.3488 |      1.0000e-04 |
|      34 |         340 |       00:04:12 |      100.00% |       80.95% |       0.0072 |       0.9416 |      1.0000e-04 |
|      35 |         345 |       00:04:15 |      100.00% |       90.48% |       0.0010 |       0.6534 |      1.0000e-04 |
|      35 |         350 |       00:04:19 |      100.00% |       80.95% |   6.8164e-05 |       0.7869 |      1.0000e-04 |
|      36 |         355 |       00:04:23 |      100.00% |       95.24% |       0.0145 |       0.5541 |      1.0000e-04 |
|      36 |         360 |       00:04:26 |      100.00% |       71.43% |   1.5118e-05 |       1.5293 |      1.0000e-04 |
|      37 |         365 |       00:04:30 |       93.75% |       95.24% |       0.2206 |       0.0773 |      1.0000e-04 |
|      37 |         370 |       00:04:34 |      100.00% |       71.43% |       0.0255 |       3.1345 |      1.0000e-04 |
|      38 |         375 |       00:04:37 |       93.75% |       85.71% |       0.5348 |       0.9365 |      1.0000e-04 |
|      38 |         380 |       00:04:41 |      100.00% |       80.95% |       0.0565 |       0.9072 |      1.0000e-04 |
|      39 |         385 |       00:04:44 |       93.75% |       80.95% |       0.2531 |       0.6961 |      1.0000e-04 |
|      39 |         390 |       00:04:48 |       93.75% |       90.48% |       0.1033 |       0.3732 |      1.0000e-04 |
|      40 |         395 |       00:04:52 |       81.25% |       90.48% |       0.2916 |       0.6750 |      1.0000e-04 |
|      40 |         400 |       00:04:55 |       93.75% |       95.24% |       0.2155 |       0.1568 |      1.0000e-04 |
|      41 |         405 |       00:04:59 |       93.75% |       95.24% |       0.1513 |       0.5068 |      1.0000e-04 |
|      41 |         410 |       00:05:03 |      100.00% |       85.71% |       0.0026 |       0.5496 |      1.0000e-04 |
|      42 |         415 |       00:05:06 |      100.00% |       85.71% |       0.0198 |       0.6153 |      1.0000e-04 |
|      42 |         420 |       00:05:10 |      100.00% |       80.95% |       0.0048 |       1.3824 |      1.0000e-04 |
|      43 |         425 |       00:05:13 |      100.00% |       90.48% |       0.0186 |       0.1589 |      1.0000e-04 |
|      43 |         430 |       00:05:17 |      100.00% |       66.67% |       0.0002 |       2.2291 |      1.0000e-04 |
|      44 |         435 |       00:05:21 |       87.50% |       90.48% |       0.1818 |       0.4311 |      1.0000e-04 |
|      44 |         440 |       00:05:24 |       75.00% |       90.48% |       0.6259 |       0.1046 |      1.0000e-04 |
|      45 |         445 |       00:05:28 |       87.50% |       71.43% |       0.5040 |       2.4074 |      1.0000e-04 |
|      45 |         450 |       00:05:32 |       93.75% |       80.95% |       0.3031 |       0.8365 |      1.0000e-04 |
|      46 |         455 |       00:05:35 |      100.00% |       80.95% |       0.0369 |       2.6478 |      1.0000e-04 |
|      46 |         460 |       00:05:39 |      100.00% |       85.71% |       0.0154 |       0.4717 |      1.0000e-04 |
|      47 |         465 |       00:05:43 |       81.25% |       90.48% |       0.4128 |       0.5726 |      1.0000e-04 |
|      47 |         470 |       00:05:46 |      100.00% |       66.67% |       0.0784 |       0.7843 |      1.0000e-04 |
|      48 |         475 |       00:05:50 |       93.75% |       85.71% |       0.1795 |       0.3575 |      1.0000e-04 |
|      48 |         480 |       00:05:54 |      100.00% |       76.19% |       0.0068 |       1.5791 |      1.0000e-04 |
|      49 |         485 |       00:05:57 |      100.00% |       80.95% |       0.0407 |       0.3488 |      1.0000e-04 |
|      49 |         490 |       00:06:01 |      100.00% |       90.48% |       0.0056 |       0.2421 |      1.0000e-04 |
|      50 |         495 |       00:06:05 |      100.00% |       95.24% |       0.0333 |       0.0762 |      1.0000e-04 |
