Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      12 |         280 |       00:04:20 |      100.00% |       95.96% |       0.0534 |       0.1779 |      1.0000e-04 |
|      12 |         285 |       00:04:26 |       98.44% |       95.45% |       0.0697 |       0.1496 |      1.0000e-04 |
|      13 |         290 |       00:04:30 |       98.44% |       94.95% |       0.0846 |       0.1817 |      1.0000e-04 |
|      13 |         295 |       00:04:35 |       96.88% |       95.96% |       0.1340 |       0.1427 |      1.0000e-04 |
|      13 |         300 |       00:04:40 |       98.44% |       94.95% |       0.1028 |       0.1806 |      1.0000e-04 |
|      13 |         305 |       00:04:44 |      100.00% |       96.46% |       0.0827 |       0.1521 |      1.0000e-04 |
|      13 |         310 |       00:04:49 |       98.44% |       93.94% |       0.1108 |       0.1752 |      1.0000e-04 |
|      14 |         315 |       00:04:53 |       98.44% |       94.95% |       0.0723 |       0.1571 |      1.0000e-04 |
|      14 |         320 |       00:04:58 |       96.88% |       94.95% |       0.0819 |       0.1759 |      1.0000e-04 |
|      14 |         325 |       00:05:03 |       96.88% |       95.45% |       0.1634 |       0.1617 |      1.0000e-04 |
|      14 |         330 |       00:05:07 |       98.44% |       96.46% |       0.1025 |       0.1083 |      1.0000e-04 |
|      14 |         335 |       00:05:12 |      100.00% |       93.94% |       0.0530 |       0.1668 |      1.0000e-04 |
|      15 |         340 |       00:05:16 |       98.44% |       94.44% |       0.0708 |       0.1555 |      1.0000e-04 |
|      15 |         345 |       00:05:21 |      100.00% |       95.45% |       0.0514 |       0.1504 |      1.0000e-04 |
|      15 |         350 |       00:05:25 |      100.00% |       97.47% |       0.0351 |       0.1155 |      1.0000e-04 |
|      15 |         355 |       00:05:29 |       95.31% |       96.46% |       0.1045 |       0.1622 |      1.0000e-04 |
|      15 |         360 |       00:05:34 |      100.00% |       96.46% |       0.0548 |       0.1322 |      1.0000e-04 |
|      16 |         365 |       00:05:38 |      100.00% |       94.44% |       0.0381 |       0.1595 |      1.0000e-04 |
|      16 |         370 |       00:05:43 |       96.88% |       95.96% |       0.1057 |       0.1316 |      1.0000e-04 |
|      16 |         375 |       00:05:47 |       95.31% |       96.46% |       0.0829 |       0.1102 |      1.0000e-04 |
|      16 |         380 |       00:05:52 |      100.00% |       95.45% |       0.0335 |       0.1436 |      1.0000e-04 |
|      17 |         385 |       00:05:56 |      100.00% |       96.97% |       0.0316 |       0.1320 |      1.0000e-04 |
|      17 |         390 |       00:06:01 |      100.00% |       94.95% |       0.0788 |       0.1389 |      1.0000e-04 |
|      17 |         395 |       00:06:05 |       98.44% |       94.95% |       0.0615 |       0.1820 |      1.0000e-04 |
|      17 |         400 |       00:06:10 |      100.00% |       95.45% |       0.0360 |       0.1547 |      1.0000e-04 |
|      17 |         405 |       00:06:14 |      100.00% |       95.45% |       0.0358 |       0.1275 |      1.0000e-04 |
|      18 |         410 |       00:06:19 |      100.00% |       95.45% |       0.0378 |       0.1491 |      1.0000e-04 |
|      18 |         415 |       00:06:23 |      100.00% |       96.46% |       0.0542 |       0.1471 |      1.0000e-04 |
|      18 |         420 |       00:06:28 |      100.00% |       96.46% |       0.0560 |       0.1329 |      1.0000e-04 |
|      18 |         425 |       00:06:32 |      100.00% |       96.46% |       0.0511 |       0.1192 |      1.0000e-04 |
|      18 |         430 |       00:06:37 |       98.44% |       97.98% |       0.0797 |       0.1035 |      1.0000e-04 |
|      19 |         435 |       00:06:41 |       98.44% |       97.98% |       0.0375 |       0.1226 |      1.0000e-04 |
|      19 |         440 |       00:06:45 |      100.00% |       95.96% |       0.0371 |       0.1137 |      1.0000e-04 |
|      19 |         445 |       00:06:50 |       95.31% |       96.97% |       0.1183 |       0.1157 |      1.0000e-04 |
|      19 |         450 |       00:06:55 |      100.00% |       96.97% |       0.0571 |       0.1215 |      1.0000e-04 |
|      19 |         455 |       00:06:59 |      100.00% |       96.97% |       0.0258 |       0.1107 |      1.0000e-04 |
|      20 |         460 |       00:07:04 |       96.88% |       96.46% |       0.0462 |       0.1057 |      1.0000e-04 |
|      20 |         465 |       00:07:08 |       98.44% |       95.45% |       0.0619 |       0.1352 |      1.0000e-04 |
|      20 |         470 |       00:07:13 |      100.00% |       95.96% |       0.0255 |       0.1227 |      1.0000e-04 |
|      20 |         475 |       00:07:17 |       98.44% |       95.96% |       0.0862 |       0.1281 |      1.0000e-04 |
|      20 |         480 |       00:07:22 |       98.44% |       94.95% |       0.0479 |       0.1309 |      1.0000e-04 |
|      21 |         485 |       00:07:26 |      100.00% |       97.47% |       0.0366 |       0.1147 |      1.0000e-04 |
|      21 |         490 |       00:07:31 |      100.00% |       96.46% |       0.0376 |       0.1409 |      1.0000e-04 |
|      21 |         495 |       00:07:35 |      100.00% |       97.47% |       0.0271 |       0.1058 |      1.0000e-04 |
|      21 |         500 |       00:07:39 |      100.00% |       96.97% |       0.0205 |       0.1181 |      1.0000e-04 |
|      22 |         505 |       00:07:44 |       98.44% |       96.97% |       0.0384 |       0.1288 |      1.0000e-04 |
|      22 |         510 |       00:07:49 |      100.00% |       97.47% |       0.0244 |       0.1001 |      1.0000e-04 |
|      22 |         515 |       00:07:53 |      100.00% |       97.47% |       0.0256 |       0.1052 |      1.0000e-04 |
|      22 |         520 |       00:07:58 |      100.00% |       95.96% |       0.0220 |       0.1259 |      1.0000e-04 |
|      22 |         525 |       00:08:02 |      100.00% |       96.46% |       0.0185 |       0.1148 |      1.0000e-04 |
|      23 |         530 |       00:08:07 |       98.44% |       97.47% |       0.0328 |       0.0918 |      1.0000e-04 |
|      23 |         535 |       00:08:11 |      100.00% |       96.46% |       0.0240 |       0.1216 |      1.0000e-04 |
|      23 |         540 |       00:08:16 |       98.44% |       94.95% |       0.0456 |       0.1412 |      1.0000e-04 |
|      23 |         545 |       00:08:20 |      100.00% |       96.97% |       0.0212 |       0.0981 |      1.0000e-04 |
|      23 |         550 |       00:08:25 |       98.44% |       94.95% |       0.0819 |       0.1295 |      1.0000e-04 |
|      24 |         555 |       00:08:29 |      100.00% |       95.96% |       0.0236 |       0.1286 |      1.0000e-04 |
|      24 |         560 |       00:08:34 |      100.00% |       97.47% |       0.0170 |       0.1203 |      1.0000e-04 |
|      24 |         565 |       00:08:38 |       96.88% |       97.47% |       0.0595 |       0.1224 |      1.0000e-04 |
|      24 |         570 |       00:08:43 |       98.44% |       96.46% |       0.0614 |       0.1115 |      1.0000e-04 |
|      24 |         575 |       00:08:47 |      100.00% |       96.46% |       0.0476 |       0.1315 |      1.0000e-04 |
|      25 |         580 |       00:08:52 |      100.00% |       95.96% |       0.0124 |       0.1124 |      1.0000e-04 |
|      25 |         585 |       00:08:56 |      100.00% |       97.47% |       0.0124 |       0.0863 |      1.0000e-04 |
|      25 |         590 |       00:09:01 |       98.44% |       95.96% |       0.0392 |       0.1290 |      1.0000e-04 |
|      25 |         595 |       00:09:05 |       98.44% |       97.47% |       0.0669 |       0.1133 |      1.0000e-04 |
|      25 |         600 |       00:09:10 |      100.00% |       96.46% |       0.0215 |       0.1068 |      1.0000e-04 |
|      26 |         605 |       00:09:15 |      100.00% |       96.46% |       0.0145 |       0.1058 |      1.0000e-04 |
|      26 |         610 |       00:09:19 |       98.44% |       96.97% |       0.0472 |       0.1021 |      1.0000e-04 |
|      26 |         615 |       00:09:24 |      100.00% |       96.46% |       0.0207 |       0.1163 |      1.0000e-04 |
|      26 |         620 |       00:09:28 |      100.00% |       95.45% |       0.0058 |       0.1010 |      1.0000e-04 |
|      27 |         625 |       00:09:33 |      100.00% |       98.48% |       0.0155 |       0.0599 |      1.0000e-04 |
|      27 |         630 |       00:09:37 |      100.00% |       96.46% |       0.0227 |       0.0960 |      1.0000e-04 |
|      27 |         635 |       00:09:42 |      100.00% |       96.97% |       0.0203 |       0.1022 |      1.0000e-04 |
|      27 |         640 |       00:09:46 |      100.00% |       96.46% |       0.0177 |       0.0915 |      1.0000e-04 |
|      27 |         645 |       00:09:51 |      100.00% |       97.98% |       0.0088 |       0.0896 |      1.0000e-04 |
|      28 |         650 |       00:09:55 |      100.00% |       97.47% |       0.0088 |       0.1064 |      1.0000e-04 |
|      28 |         655 |       00:10:00 |      100.00% |       96.46% |       0.0297 |       0.1078 |      1.0000e-04 |
|      28 |         660 |       00:10:05 |      100.00% |       96.97% |       0.0165 |       0.1027 |      1.0000e-04 |
|      28 |         665 |       00:10:09 |      100.00% |       96.97% |       0.0159 |       0.1086 |      1.0000e-04 |
|      28 |         670 |       00:10:14 |       96.88% |       98.99% |       0.0457 |       0.0677 |      1.0000e-04 |
|      29 |         675 |       00:10:18 |       98.44% |       97.47% |       0.0293 |       0.0790 |      1.0000e-04 |
|      29 |         680 |       00:10:23 |      100.00% |       96.97% |       0.0379 |       0.0846 |      1.0000e-04 |
|      29 |         685 |       00:10:27 |      100.00% |       96.46% |       0.0237 |       0.0993 |      1.0000e-04 |
|      29 |         690 |       00:10:32 |       98.44% |       97.47% |       0.0406 |       0.1032 |      1.0000e-04 |
|      29 |         695 |       00:10:36 |      100.00% |       96.97% |       0.0138 |       0.0995 |      1.0000e-04 |
|      30 |         700 |       00:10:40 |      100.00% |       95.96% |       0.0053 |       0.1245 |      1.0000e-04 |
|      30 |         705 |       00:10:45 |      100.00% |       96.97% |       0.0197 |       0.0882 |      1.0000e-04 |
|      30 |         710 |       00:10:49 |      100.00% |       97.98% |       0.0165 |       0.0928 |      1.0000e-04 |
|      30 |         715 |       00:10:54 |      100.00% |       95.96% |       0.0214 |       0.1195 |      1.0000e-04 |
|      30 |         720 |       00:10:58 |      100.00% |       96.97% |       0.0161 |       0.0739 |      1.0000e-04 |
|      31 |         725 |       00:11:03 |      100.00% |       96.46% |       0.0157 |       0.0956 |      1.0000e-04 |
|      31 |         730 |       00:11:07 |       98.44% |       96.46% |       0.0366 |       0.0926 |      1.0000e-04 |
|      31 |         735 |       00:11:12 |       98.44% |       97.47% |       0.0293 |       0.0792 |      1.0000e-04 |
|      31 |         740 |       00:11:16 |      100.00% |       95.45% |       0.0080 |       0.0967 |      1.0000e-04 |
|      32 |         745 |       00:11:21 |      100.00% |       96.97% |       0.0102 |       0.1000 |      1.0000e-04 |
|      32 |         750 |       00:11:25 |      100.00% |       97.47% |       0.0231 |       0.0787 |      1.0000e-04 |
|      32 |         755 |       00:11:30 |      100.00% |       97.47% |       0.0097 |       0.0719 |      1.0000e-04 |
|      32 |         760 |       00:11:34 |      100.00% |       97.47% |       0.0183 |       0.1016 |      1.0000e-04 |
|      32 |         765 |       00:11:39 |      100.00% |       96.46% |       0.0085 |       0.0857 |      1.0000e-04 |
|      33 |         770 |       00:11:43 |      100.00% |       98.48% |       0.0107 |       0.0637 |      1.0000e-04 |
|      33 |         775 |       00:11:48 |      100.00% |       95.45% |       0.0095 |       0.1018 |      1.0000e-04 |
|      33 |         780 |       00:11:52 |      100.00% |       97.47% |       0.0162 |       0.0942 |      1.0000e-04 |
|      33 |         785 |       00:11:56 |      100.00% |       96.97% |       0.0097 |       0.0881 |      1.0000e-04 |
|      33 |         790 |       00:12:01 |      100.00% |       97.98% |       0.0104 |       0.0658 |      1.0000e-04 |
|      34 |         795 |       00:12:05 |       98.44% |       98.48% |       0.0298 |       0.0772 |      1.0000e-04 |
|      34 |         800 |       00:12:10 |      100.00% |       97.98% |       0.0140 |       0.0731 |      1.0000e-04 |
|      34 |         805 |       00:12:14 |      100.00% |       97.47% |       0.0145 |       0.0949 |      1.0000e-04 |
|      34 |         810 |       00:12:19 |       98.44% |       96.97% |       0.0444 |       0.1077 |      1.0000e-04 |
|      34 |         815 |       00:12:23 |      100.00% |       97.98% |       0.0145 |       0.0895 |      1.0000e-04 |
|      35 |         820 |       00:12:27 |      100.00% |       96.97% |       0.0090 |       0.0856 |      1.0000e-04 |
|      35 |         825 |       00:12:32 |       98.44% |       96.46% |       0.0258 |       0.1166 |      1.0000e-04 |
|      35 |         830 |       00:12:36 |      100.00% |       96.46% |       0.0159 |       0.0794 |      1.0000e-04 |
|      35 |         835 |       00:12:41 |       98.44% |       96.97% |       0.0330 |       0.0710 |      1.0000e-04 |
|      35 |         840 |       00:12:45 |      100.00% |       97.47% |       0.0098 |       0.0874 |      1.0000e-04 |
|      36 |         845 |       00:12:49 |      100.00% |       96.97% |       0.0048 |       0.0758 |      1.0000e-04 |
|      36 |         850 |       00:12:54 |      100.00% |       97.47% |       0.0182 |       0.0807 |      1.0000e-04 |
|      36 |         855 |       00:12:58 |      100.00% |       95.96% |       0.0228 |       0.0911 |      1.0000e-04 |
|      36 |         860 |       00:13:03 |      100.00% |       97.47% |       0.0069 |       0.0919 |      1.0000e-04 |
|      37 |         865 |       00:13:07 |      100.00% |       97.47% |       0.0039 |       0.0866 |      1.0000e-04 |
|      37 |         870 |       00:13:12 |      100.00% |       96.46% |       0.0092 |       0.1136 |      1.0000e-04 |
|      37 |         875 |       00:13:16 |      100.00% |       96.46% |       0.0109 |       0.1159 |      1.0000e-04 |
|      37 |         880 |       00:13:21 |      100.00% |       96.97% |       0.0061 |       0.0963 |      1.0000e-04 |
|      37 |         885 |       00:13:25 |      100.00% |       96.97% |       0.0072 |       0.0943 |      1.0000e-04 |
|      38 |         890 |       00:13:30 |      100.00% |       97.47% |       0.0153 |       0.0887 |      1.0000e-04 |
|      38 |         895 |       00:13:34 |      100.00% |       97.98% |       0.0151 |       0.0794 |      1.0000e-04 |
|      38 |         900 |       00:13:39 |      100.00% |       96.46% |       0.0076 |       0.0949 |      1.0000e-04 |
|      38 |         905 |       00:13:43 |      100.00% |       97.98% |       0.0112 |       0.0676 |      1.0000e-04 |
|      38 |         910 |       00:13:48 |       98.44% |       96.97% |       0.0253 |       0.0978 |      1.0000e-04 |
|      39 |         915 |       00:13:52 |      100.00% |       95.96% |       0.0212 |       0.1129 |      1.0000e-04 |
|      39 |         920 |       00:13:57 |      100.00% |       95.96% |       0.0061 |       0.1131 |      1.0000e-04 |
|      39 |         925 |       00:14:01 |      100.00% |       95.45% |       0.0135 |       0.1204 |      1.0000e-04 |
|      39 |         930 |       00:14:06 |      100.00% |       95.96% |       0.0228 |       0.0927 |      1.0000e-04 |
|      39 |         935 |       00:14:10 |      100.00% |       96.46% |       0.0082 |       0.1212 |      1.0000e-04 |
|      40 |         940 |       00:14:15 |      100.00% |       97.47% |       0.0061 |       0.1046 |      1.0000e-04 |
|      40 |         945 |       00:14:19 |      100.00% |       96.46% |       0.0183 |       0.0908 |      1.0000e-04 |
|      40 |         950 |       00:14:24 |      100.00% |       98.48% |       0.0046 |       0.0603 |      1.0000e-04 |
|      40 |         955 |       00:14:28 |       98.44% |       97.98% |       0.0222 |       0.0656 |      1.0000e-04 |
|      40 |         960 |       00:14:33 |      100.00% |       95.45% |       0.0067 |       0.1063 |      1.0000e-04 |
|      41 |         965 |       00:14:37 |      100.00% |       97.98% |       0.0038 |       0.0626 |      1.0000e-04 |
|      41 |         970 |       00:14:41 |      100.00% |       97.47% |       0.0056 |       0.0726 |      1.0000e-04 |
