Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      12 |         280 |       00:09:07 |       95.31% |       95.45% |       0.0829 |       0.1474 |      1.0000e-04 |
|      12 |         285 |       00:09:17 |      100.00% |       95.96% |       0.0377 |       0.1505 |      1.0000e-04 |
|      13 |         290 |       00:09:26 |       98.44% |       96.46% |       0.0443 |       0.1456 |      1.0000e-04 |
|      13 |         295 |       00:09:36 |       96.88% |       94.95% |       0.1150 |       0.1439 |      1.0000e-04 |
|      13 |         300 |       00:09:46 |      100.00% |       95.96% |       0.0334 |       0.1399 |      1.0000e-04 |
|      13 |         305 |       00:09:55 |       96.88% |       93.94% |       0.0673 |       0.1473 |      1.0000e-04 |
|      13 |         310 |       00:10:05 |       96.88% |       95.45% |       0.0674 |       0.1357 |      1.0000e-04 |
|      14 |         315 |       00:10:15 |       95.31% |       95.45% |       0.1023 |       0.1481 |      1.0000e-04 |
|      14 |         320 |       00:10:24 |       98.44% |       93.94% |       0.0610 |       0.1422 |      1.0000e-04 |
|      14 |         325 |       00:10:34 |       95.31% |       94.95% |       0.1799 |       0.1408 |      1.0000e-04 |
|      14 |         330 |       00:10:44 |      100.00% |       96.46% |       0.0294 |       0.1234 |      1.0000e-04 |
|      14 |         335 |       00:10:54 |      100.00% |       94.44% |       0.0307 |       0.1407 |      1.0000e-04 |
|      15 |         340 |       00:11:03 |      100.00% |       95.45% |       0.0196 |       0.1380 |      1.0000e-04 |
|      15 |         345 |       00:11:13 |      100.00% |       95.96% |       0.0408 |       0.1323 |      1.0000e-04 |
|      15 |         350 |       00:11:22 |      100.00% |       95.45% |       0.0312 |       0.1493 |      1.0000e-04 |
|      15 |         355 |       00:11:32 |      100.00% |       94.44% |       0.0171 |       0.1393 |      1.0000e-04 |
|      15 |         360 |       00:11:41 |      100.00% |       95.45% |       0.0101 |       0.1360 |      1.0000e-04 |
|      16 |         365 |       00:11:51 |      100.00% |       95.96% |       0.0252 |       0.1358 |      1.0000e-04 |
|      16 |         370 |       00:12:00 |      100.00% |       95.96% |       0.0108 |       0.1218 |      1.0000e-04 |
