Loading Data 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       3 |         280 |       00:08:30 |       68.75% |       78.79% |       0.7460 |       0.6419 |      1.0000e-04 |
|       3 |         285 |       00:08:38 |       81.25% |       77.27% |       0.4497 |       0.6735 |      1.0000e-04 |
|       3 |         290 |       00:08:47 |       68.75% |       73.74% |       0.8602 |       0.7562 |      1.0000e-04 |
|       3 |         295 |       00:08:57 |       62.50% |       73.74% |       1.4228 |       0.8370 |      1.0000e-04 |
|       4 |         300 |       00:09:06 |       62.50% |       74.75% |       1.0547 |       0.6811 |      1.0000e-04 |
|       4 |         305 |       00:09:15 |       62.50% |       75.25% |       1.1655 |       0.7605 |      1.0000e-04 |
|       4 |         310 |       00:09:24 |       93.75% |       76.77% |       0.1800 |       0.9258 |      1.0000e-04 |
|       4 |         315 |       00:09:32 |       81.25% |       72.73% |       0.5178 |       0.7923 |      1.0000e-04 |
|       4 |         320 |       00:09:41 |       87.50% |       80.30% |       0.4856 |       0.7061 |      1.0000e-04 |
|       4 |         325 |       00:09:50 |       75.00% |       68.69% |       0.9857 |       0.7794 |      1.0000e-04 |
|       4 |         330 |       00:09:59 |       68.75% |       81.31% |       0.9865 |       0.6829 |      1.0000e-04 |
|       4 |         335 |       00:10:08 |       81.25% |       75.76% |       0.7337 |       0.8298 |      1.0000e-04 |
|       4 |         340 |       00:10:17 |       87.50% |       71.72% |       1.0074 |       0.8704 |      1.0000e-04 |
|       4 |         345 |       00:10:26 |       75.00% |       77.78% |       0.7104 |       0.6260 |      1.0000e-04 |
|       4 |         350 |       00:10:35 |       68.75% |       81.82% |       0.7119 |       0.6325 |      1.0000e-04 |
|       4 |         355 |       00:10:44 |       81.25% |       73.74% |       0.8688 |       0.7055 |      1.0000e-04 |
|       4 |         360 |       00:10:53 |       62.50% |       81.31% |       0.8629 |       0.5681 |      1.0000e-04 |
|       4 |         365 |       00:11:03 |       56.25% |       69.70% |       1.7523 |       1.0029 |      1.0000e-04 |
|       4 |         370 |       00:11:12 |       68.75% |       74.24% |       0.9406 |       0.9094 |      1.0000e-04 |
|       4 |         375 |       00:11:21 |       68.75% |       66.16% |       1.0429 |       1.0834 |      1.0000e-04 |
|       4 |         380 |       00:11:30 |       93.75% |       77.27% |       0.2694 |       0.7670 |      1.0000e-04 |
|       4 |         385 |       00:11:39 |       62.50% |       82.32% |       1.2620 |       0.6676 |      1.0000e-04 |
|       4 |         390 |       00:11:48 |       68.75% |       74.24% |       0.7840 |       0.6795 |      1.0000e-04 |
|       4 |         395 |       00:11:57 |       75.00% |       75.25% |       0.8312 |       0.8824 |      1.0000e-04 |
|       5 |         400 |       00:12:06 |       87.50% |       71.21% |       0.4459 |       0.7997 |      1.0000e-04 |
